round,team_home,team_away,score_home,score_away,expected_goals_home,expected_goals_away,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corners_home,corners_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possession_lost_home,possession_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Athletic Club,Barcelona,1,0,,,28,72,11,11,5,2,6,6,0,3,3,8,2,1,14,9,1,1,0,0,9,14,16,17,15,10,0,1,0,1,,,,,6,9,5,2,2,4,259,674,183,577,19,29,4,4,5,9,112,133,37,43,16,13,9,8,11,5,16,11
1,Celta Vigo,Real Madrid,1,3,,,56,44,7,17,4,11,2,3,1,3,6,4,5,1,17,12,6,2,0,1,11,15,16,19,9,5,5,2,4,0,3,0,,,5,10,2,7,8,2,521,413,462,348,18,39,5,4,14,11,115,100,44,51,5,13,14,13,7,7,5,17
1,Valencia,Real Sociedad,1,1,,,37,63,14,12,6,3,4,5,4,4,3,3,2,2,13,14,4,4,1,0,14,10,13,22,9,6,3,2,2,1,2,1,,,7,7,7,5,2,5,370,620,303,547,32,28,1,5,10,10,106,121,52,50,11,16,17,14,9,3,21,11
1,Mallorca,Eibar,2,1,,,36,64,15,11,3,5,10,6,2,0,9,3,3,0,13,14,2,3,0,0,11,12,25,24,10,11,3,1,2,0,,,,,10,9,5,2,4,1,278,498,197,393,29,31,6,9,3,5,131,136,61,65,34,33,14,15,8,8,30,18
1,Leganés,Osasuna,0,1,,,51,49,13,4,2,2,6,2,5,0,8,0,5,2,17,11,1,4,1,0,11,15,37,23,5,10,2,0,2,0,,,,,7,1,6,3,1,2,332,330,229,229,22,35,6,2,5,4,163,148,51,60,19,30,16,11,6,6,10,24
1,Villarreal,Granada,4,4,,,54,46,12,14,7,7,3,4,2,3,2,7,3,6,10,16,3,1,0,0,16,10,18,12,11,7,3,2,2,0,,,,,6,11,6,3,4,3,465,381,382,310,37,31,3,5,10,7,120,130,60,39,18,12,18,10,5,8,17,4
1,Deportivo Alavés,Levante UD,1,0,,,37,63,9,16,2,4,6,7,1,5,2,9,0,1,18,15,2,1,0,0,14,17,24,24,13,8,1,1,0,1,0,1,,,6,7,3,9,4,1,270,448,184,366,30,34,5,7,8,7,132,140,61,54,23,17,17,15,9,6,32,11
1,Espanyol,Sevilla,0,2,,,44,56,7,12,2,4,4,6,1,2,8,4,2,4,11,17,2,2,0,0,17,10,23,15,9,6,0,4,0,2,0,1,,,3,11,4,1,2,2,415,524,330,436,18,38,2,3,3,13,130,130,50,49,18,17,13,11,10,5,13,18
1,Real Betis,Real Valladolid,1,2,,,47,53,13,14,4,3,5,7,4,4,6,1,2,1,11,19,2,6,1,0,18,11,23,16,8,4,2,0,1,0,1,1,,,8,7,5,7,1,3,378,421,313,360,18,31,1,3,19,4,113,91,51,37,6,7,8,15,4,12,11,16
1,Atlético Madrid,Getafe,1,0,,,57,43,5,6,5,0,0,4,0,2,3,4,3,0,19,22,3,4,1,1,20,17,21,20,9,1,4,0,3,0,2,0,,,5,3,0,3,0,4,420,287,347,219,31,37,3,7,7,0,112,115,58,45,21,21,12,9,13,6,15,7
2,Granada,Sevilla,0,1,,,45,55,12,11,0,6,7,2,5,3,6,6,2,4,13,14,1,1,0,0,11,13,27,18,8,14,0,2,0,1,0,3,,,7,6,5,5,5,0,378,472,287,381,17,46,4,4,11,14,146,133,47,77,14,31,13,21,7,7,14,24
