round,team_home,team_away,score_home,score_away,expected_goals_home,expected_goals_away,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corners_home,corners_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possession_lost_home,possession_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,AS Monaco,Nantes,1,1,,,75,25,15,5,3,1,9,3,3,1,5,2,1,0,6,14,,,0,0,14,6,34,23,5,15,3,0,2,0,,,,,10,3,5,2,0,1,737,243,650,149,25,17,5,3,11,10,151,139,60,49,15,14,20,19,11,14,5,26
1,Olympique Lyonnais,Stade Brestois,1,1,,,69,31,17,13,4,8,9,4,4,1,9,4,1,1,10,12,1,1,0,0,12,9,25,26,5,10,1,2,1,2,0,2,0,2,13,9,4,4,6,3,681,298,604,225,19,32,6,6,4,2,137,127,48,45,16,18,16,16,7,15,11,24
1,Troyes,Paris Saint-Germain,1,2,,,43,57,15,12,7,3,4,6,4,3,9,1,1,1,3,15,1,4,0,0,14,3,23,11,8,6,0,2,0,1,,,,,8,8,7,4,0,6,443,605,379,560,31,28,5,5,4,10,111,94,37,33,2,10,17,10,8,14,14,18
1,Stade Rennais,RC Lens,1,1,,,60,40,10,11,2,6,3,4,5,1,3,9,,,10,14,0,2,0,0,13,10,17,20,7,7,0,4,0,3,2,0,1,0,5,6,5,5,5,1,526,343,470,288,41,29,2,6,9,9,102,106,46,48,10,12,15,18,7,5,14,14
1,Bordeaux,Clermont Foot,0,2,,,44,56,10,19,6,10,3,4,1,5,5,10,0,2,13,9,1,0,0,0,9,13,19,23,6,5,1,6,1,4,0,2,0,1,5,16,5,3,8,6,439,552,366,475,30,37,8,6,6,9,117,136,44,58,10,18,19,18,11,9,23,12
1,Nice,Stade de Reims,0,0,,,61,39,12,5,2,0,6,2,4,3,4,2,,,10,8,1,1,0,0,8,10,18,20,4,10,1,0,1,0,,,,,9,2,3,3,0,2,554,346,475,263,21,23,7,2,18,4,121,130,61,44,14,12,21,18,11,11,6,21
1,RC Strasbourg,Angers,0,2,,,57,43,7,9,1,2,4,5,2,2,5,4,3,2,18,18,2,3,0,0,18,14,32,20,5,9,0,2,,,,,,,4,7,3,2,0,1,513,391,415,305,41,29,3,3,6,9,163,146,67,54,17,14,27,18,8,11,10,29
1,Saint-Étienne,Lorient,1,1,,,61,39,20,12,3,3,11,7,6,2,8,4,0,1,10,14,2,3,0,0,14,10,22,15,7,12,2,2,1,2,,,,,10,8,10,4,2,2,546,352,466,263,41,28,11,4,20,6,151,149,74,52,17,13,23,23,12,10,13,25
1,Metz,Lille,3,3,,,38,62,12,17,5,6,3,7,4,4,4,5,0,2,9,10,1,2,1,0,9,9,22,28,10,3,1,2,0,1,2,0,2,0,6,9,6,8,4,2,335,538,243,438,20,20,3,7,6,8,151,157,46,54,16,16,16,21,19,10,13,14
