EventId,Team,Formation,Player1_Name,Player1_code,Player1_Position,Player1_substitute,Player1_Rating,Player1_accuratePass,Player1_totalLongBalls,Player1_accurateLongBalls,Player1_totalClearance,Player1_savedShotsFromInsideTheBox,Player1_saves,Player1_punches,Player1_minutesPlayed,Player2_Name,Player2_code,Player2_Position,Player2_substitute,Player2_Rating,Player2_accuratePass,Player2_totalLongBalls,Player2_accurateLongBalls,Player2_totalClearance,Player2_savedShotsFromInsideTheBox,Player2_saves,Player2_punches,Player2_minutesPlayed,Player3_Name,Player3_code,Player3_Position,Player3_substitute,Player3_Rating,Player3_accuratePass,Player3_totalLongBalls,Player3_accurateLongBalls,Player3_totalClearance,Player3_savedShotsFromInsideTheBox,Player3_saves,Player3_punches,Player3_minutesPlayed,Player4_Name,Player4_code,Player4_Position,Player4_substitute,Player4_Rating,Player4_accuratePass,Player4_totalLongBalls,Player4_accurateLongBalls,Player4_totalClearance,Player4_savedShotsFromInsideTheBox,Player4_saves,Player4_punches,Player4_minutesPlayed,Player5_Name,Player5_code,Player5_Position,Player5_substitute,Player5_Rating,Player5_accuratePass,Player5_totalLongBalls,Player5_accurateLongBalls,Player5_totalClearance,Player5_savedShotsFromInsideTheBox,Player5_saves,Player5_punches,Player5_minutesPlayed,Player6_Name,Player6_code,Player6_Position,Player6_substitute,Player6_Rating,Player6_accuratePass,Player6_totalLongBalls,Player6_accurateLongBalls,Player6_totalClearance,Player6_savedShotsFromInsideTheBox,Player6_saves,Player6_punches,Player6_minutesPlayed,Player7_Name,Player7_code,Player7_Position,Player7_substitute,Player7_Rating,Player7_accuratePass,Player7_totalLongBalls,Player7_accurateLongBalls,Player7_totalClearance,Player7_savedShotsFromInsideTheBox,Player7_saves,Player7_punches,Player7_minutesPlayed,Player8_Name,Player8_code,Player8_Position,Player8_substitute,Player8_Rating,Player8_accuratePass,Player8_totalLongBalls,Player8_accurateLongBalls,Player8_totalClearance,Player8_savedShotsFromInsideTheBox,Player8_saves,Player8_punches,Player8_minutesPlayed,Player9_Name,Player9_code,Player9_Position,Player9_substitute,Player9_Rating,Player9_accuratePass,Player9_totalLongBalls,Player9_accurateLongBalls,Player9_totalClearance,Player9_savedShotsFromInsideTheBox,Player9_saves,Player9_punches,Player9_minutesPlayed,Player10_Name,Player10_code,Player10_Position,Player10_substitute,Player10_Rating,Player10_accuratePass,Player10_totalLongBalls,Player10_accurateLongBalls,Player10_totalClearance,Player10_savedShotsFromInsideTheBox,Player10_saves,Player10_punches,Player10_minutesPlayed,Player11_Name,Player11_code,Player11_Position,Player11_substitute,Player11_Rating,Player11_accuratePass,Player11_totalLongBalls,Player11_accurateLongBalls,Player11_totalClearance,Player11_savedShotsFromInsideTheBox,Player11_saves,Player11_punches,Player11_minutesPlayed,Player12_Name,Player12_code,Player12_Position,Player12_substitute,Player12_Rating,Player12_accuratePass,Player12_totalLongBalls,Player12_accurateLongBalls,Player12_totalClearance,Player12_savedShotsFromInsideTheBox,Player12_saves,Player12_punches,Player12_minutesPlayed,Player13_Name,Player13_code,Player13_Position,Player13_substitute,Player13_Rating,Player13_accuratePass,Player13_totalLongBalls,Player13_accurateLongBalls,Player13_totalClearance,Player13_savedShotsFromInsideTheBox,Player13_saves,Player13_punches,Player13_minutesPlayed,Player14_Name,Player14_code,Player14_Position,Player14_substitute,Player14_Rating,Player14_accuratePass,Player14_totalLongBalls,Player14_accurateLongBalls,Player14_totalClearance,Player14_savedShotsFromInsideTheBox,Player14_saves,Player14_punches,Player14_minutesPlayed,Player15_Name,Player15_code,Player15_Position,Player15_substitute,Player15_Rating,Player15_accuratePass,Player15_totalLongBalls,Player15_accurateLongBalls,Player15_totalClearance,Player15_savedShotsFromInsideTheBox,Player15_saves,Player15_punches,Player15_minutesPlayed,PlayerCount,AverageTeamRating,Player16_Name,Player16_code,Player16_Position,Player16_substitute,Player16_Rating,Player16_accuratePass,Player16_totalLongBalls,Player16_accurateLongBalls,Player16_totalClearance,Player16_savedShotsFromInsideTheBox,Player16_saves,Player16_punches,Player16_minutesPlayed,Player19_Name,Player19_code,Player19_Position,Player19_substitute,Player19_Rating,Player19_accuratePass,Player19_totalLongBalls,Player19_accurateLongBalls,Player19_totalClearance,Player19_savedShotsFromInsideTheBox,Player19_saves,Player19_punches,Player19_minutesPlayed
9291259,Home,4-1-4-1,Jailson,jailson,G,False,0,22,7,3,1,1,2,1,90,Mayke,mayke,D,False,0,49,4,2,0,0,0,0,90,Benjamin Kuscevic,benjamin-kuscevic,D,False,0,55,9,3,2,0,0,0,90,Alan Empereur,alan-empereur,D,False,0,72,8,5,7,0,0,0,90,Renan,renan,D,False,0,40,11,5,1,0,0,0,90,Felipe Melo,felipe-melo,D,False,0,23,3,2,1,0,0,0,58,Breno Lopes,breno-lopes,F,False,0,17,1,0,0,0,0,0,76,Lucas Lima,lucas-lima,M,False,0,16,2,1,0,0,0,0,58,Gustavo Scarpa,gustavo-scarpa,M,False,0,34,7,6,0,0,0,0,90,Lucas Esteves,lucas-esteves,D,False,0.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,90.0,Gabriel Silva,gabriel-silva,F,False,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,Vanderlan,vanderlan,D,True,0.0,16.0,2.0,0.0,1.0,0.0,0.0,0.0,32.0,Patrick de Paula,patrick-de-paula,M,True,0.0,15.0,2.0,2.0,1.0,0.0,0.0,0.0,32.0,Fabrício,fabricio,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,Gabriel Veron,gabriel-veron,F,True,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9291259,Away,4-2-3-1,Fernando Miguel,fernando-miguel,G,False,0,13,7,1,1,1,2,1,90,Léo Matos,leo-matos,D,False,0,24,2,0,2,0,0,0,78,Marcelo Alves,marcelo-alves,D,False,0,27,8,1,2,0,0,0,90,Ricardo Graça,ricardo-graca,D,False,0,17,7,0,1,0,0,0,90,Henrique,henrique,D,False,0,33,1,1,2,0,0,0,90,Bruno Gomes,bruno-gomes,M,False,0,35,3,2,1,0,0,0,90,Leonardo Gil,leonardo-gil,M,False,0,54,6,5,0,0,0,0,77,Yago Pikachu,yago-pikachu,M,False,0,18,1,1,2,0,0,0,63,Martín Benítez,martin-benitez,M,False,0,18,1,0,0,0,0,0,71,Talles Magno,talles-magno,F,False,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,62.0,Germán Cano,german-cano,F,False,0.0,22.0,3.0,3.0,0.0,0.0,0.0,0.0,90.0,Gabriel Pec,gabriel-pec,F,True,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,28.0,Carlinhos,carlinhos,M,True,0.0,9.0,3.0,3.0,0.0,0.0,0.0,0.0,27.0,Vinicius Paiva,vinicius-paiva,M,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,Andrey,andrey,M,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16,0.0,Cayo Tenório,cayo-tenorio,D,True,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,
8747800,Home,4-3-3,Vladimir,vladimir,G,False,0,24,11,3,0,1,5,0,90,Pará,para,D,False,0,42,6,3,1,0,0,0,90,Lucas Veríssimo,lucas-verissimo,D,False,0,49,7,0,6,0,0,0,90,Luan Peres,luan-peres,D,False,0,36,5,2,6,0,0,0,90,Felipe Jonatan,felipe-jonatan,D,False,0,40,5,3,1,0,0,0,90,Diego Pituca,diego-pituca,M,False,0,47,3,3,2,0,0,0,90,Alison,alison,M,False,0,41,8,7,1,0,0,0,90,Carlos Sánchez,carlos-sanchez,M,False,0,24,3,1,0,0,0,0,90,Marinho,marinho,M,False,0,18,4,3,0,0,0,0,80,Kaio Jorge,kaio-jorge,F,False,0.0,12.0,2.0,2.0,2.0,0.0,0.0,0.0,66.0,Yeferson Soteldo,yeferson-soteldo,M,False,0.0,22.0,2.0,1.0,0.0,0.0,0.0,0.0,90.0,Fernando Uribe,fernando-uribe,F,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Jean Mota,jean-mota,M,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8747800,Away,4-2-3-1,Cleiton,cleiton,G,False,0,16,17,7,2,1,3,0,90,Aderlan,aderlan,D,False,0,34,2,1,0,0,0,0,90,Léo Ortiz,leo-ortiz,D,False,0,32,3,0,5,0,0,0,90,Fabrício Bruno,fabricio-bruno,D,False,0,31,8,5,2,0,0,0,90,Edimar,edimar,D,False,0,32,7,6,2,0,0,0,90,Matheus Jesus,matheus-jesus,M,False,0,37,1,1,0,0,0,0,90,Ricardo Ryller,ricardo-ryller,M,False,0,31,6,3,2,0,0,0,80,Artur,artur,M,False,0,34,4,1,0,0,0,0,90,Weverson,weverson,D,False,0,14,0,0,1,0,0,0,89,Morato,morato,M,False,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,Alerrandro,alerrandro,F,False,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,Ytalo,ytalo,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,Claudinho,claudinho,M,True,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,Bruno Tubarão,bruno-tubarao,D,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,Robinho,robinho,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8747946,Home,4-3-1-2,Douglas Friedrich,douglas-friedrich,G,False,0,9,14,4,2,3,3,1,90,Nino Paraíba,nino-paraiba,D,False,0,32,6,3,1,0,0,0,90,Ernando,ernando,D,False,0,27,5,1,9,0,0,0,90,Juninho,juninho,D,False,0,25,5,2,0,0,0,0,90,Juninho Capixaba,juninho-capixaba,D,False,0,38,2,2,1,0,0,0,79,Rossi,rossi,M,False,0,16,2,1,0,0,0,0,63,Ronaldo,ronaldo,M,False,0,44,1,0,2,0,0,0,90,Danielzinho,danielzinho,M,False,0,38,5,4,0,0,0,0,75,Flávio,flavio,M,False,0,41,6,2,0,0,0,0,90,Rodriguinho,rodriguinho,M,False,0.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,80.0,Élber,elber,M,False,0.0,31.0,2.0,2.0,0.0,0.0,0.0,0.0,90.0,Matheus Saldanha,matheus-saldanha,F,True,0.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,27.0,Marco Antônio,marco-antonio,M,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,Zeca,zeca,D,True,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,11.0,Alesson,alesson,F,True,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
8747946,Away,4-2-3-1,Wilson,wilson,G,False,0,18,5,3,1,1,4,1,90,Natanael,natanael,D,False,0,24,2,1,0,0,0,0,45,Rodolfo Filemon,rodolfo-filemon,D,False,0,58,13,5,1,0,0,0,90,Sabino,sabino,D,False,0,52,10,5,0,0,0,0,90,William Matheus,william-matheus,D,False,0,36,4,1,0,0,0,0,90,Matheus Galdezani,matheus-galdezani,M,False,0,40,3,3,0,0,0,0,78,Nathan Silva,nathan-silva,D,False,0,45,5,4,0,0,0,0,70,Igor Jesus,igor-jesus,F,False,0,25,3,3,1,0,0,0,90,Ruy,ruy,M,False,0,32,4,4,0,0,0,0,64,Robson,robson,M,False,0.0,26.0,1.0,1.0,0.0,0.0,0.0,0.0,90.0,Sassá,sassa,F,False,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,Jonathan,jonathan,D,True,0.0,17.0,2.0,0.0,2.0,0.0,0.0,0.0,45.0,Yan Sasse,yan-sasse,M,True,0.0,5.0,2.0,1.0,1.0,0.0,0.0,0.0,26.0,Renê Júnior,rene-junior,M,True,0.0,13.0,2.0,1.0,0.0,0.0,0.0,0.0,20.0,Luiz Henrique,luiz-henrique,M,True,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,16,0.0,Nathan Fogaça,nathan-fogaca,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,
8894041,Home,4-4-2,Cássio,cassio,G,False,0,24,8,2,1,2,5,1,90,Michel Macedo,michel-macedo,D,False,0,48,7,5,1,0,0,0,90,Gil,gil,D,False,0,59,8,2,6,0,0,0,90,Danilo Avelar,danilo-avelar,D,False,0,59,5,4,8,0,0,0,90,Lucas Piton,lucas-piton,D,False,0,30,1,1,1,0,0,0,90,Léo Natel,leo-natel,M,False,0,23,2,1,0,0,0,0,90,Roni,roni,M,False,0,11,6,0,0,0,0,0,45,Victor Cantillo,victor-cantillo,M,False,0,31,3,2,2,0,0,0,72,Rómulo Otero,romulo-otero,M,False,0,12,1,1,0,0,0,0,84,Jô,jo,F,False,0.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,72.0,Luan,luan,F,False,0.0,24.0,1.0,0.0,0.0,0.0,0.0,0.0,71.0,Ramiro,ramiro,M,True,0.0,31.0,6.0,3.0,2.0,0.0,0.0,0.0,45.0,Juan Cazares,juan-cazares,M,True,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,Guilherme Camacho,guilherme-camacho,M,True,0.0,11.0,1.0,1.0,1.0,0.0,0.0,0.0,18.0,Mauro Boselli,mauro-boselli,F,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,16,0.0,Gustavo Mantuan,gustavo-mantuan,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,,,,,
8894041,Away,4-2-3-1,Jean,jean,G,False,0,43,19,10,1,4,4,0,90,Dudu,dudu,D,False,0,32,2,1,2,0,0,0,90,Éder Ferreira,eder-ferreira,D,False,0,45,14,11,3,0,0,0,90,Gilvan,gilvan,D,False,0,13,4,2,3,0,0,0,57,Nicolas,nicolas,D,False,0,27,6,4,2,0,0,0,90,Marlon Freitas,marlon-freitas,M,False,0,39,5,5,3,0,0,0,90,Edson,edson,M,False,0,29,1,0,1,0,0,0,90,Matheuzinho,matheuzinho,M,False,0,15,1,0,0,0,0,0,67,Chico,chico,M,False,0,27,2,1,0,0,0,0,84,Gustavo Ferrareis,gustavo-ferrareis,D,False,0.0,18.0,0.0,0.0,2.0,0.0,0.0,0.0,83.0,Hyuri,hyuri,F,False,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,Lucas Oliveira,lucas-oliveira,D,True,0.0,14.0,2.0,2.0,3.0,0.0,0.0,0.0,33.0,Matheus Vargas,vargas-matheus,M,True,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,23.0,Zé Roberto,ze-roberto,F,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,Natanael,natanael,D,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16,0.0,Everton Felipe,everton-felipe,M,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,,,,,,,,,,,,,
8747940,Home,4-2-3-1,Vanderlei,vanderlei,G,False,0,14,16,9,2,1,4,2,90,Luis Orejuela,luis-orejuela,D,False,0,26,1,0,1,0,0,0,89,Pedro Geromel,pedro-geromel,D,False,0,37,13,6,6,0,0,0,90,Walter Kannemann,walter-kannemann,D,False,0,29,2,1,5,0,0,0,90,Bruno Cortez,bruno-cortez,D,False,0,37,6,2,0,0,0,0,90,Lucas Silva,lucas-silva,M,False,0,41,3,3,0,0,0,0,71,Maicon,maicon,M,False,0,75,5,4,0,0,0,0,83,Pepê,pepe,M,False,0,27,0,0,0,0,0,0,90,Isaque,isaque,M,False,0,17,1,0,1,0,0,0,71,Alisson,alisson,M,False,0.0,41.0,3.0,1.0,0.0,0.0,0.0,0.0,90.0,Diego Souza,diego-souza,F,False,0.0,16.0,2.0,1.0,1.0,0.0,0.0,0.0,83.0,Thaciano,thaciano,M,True,0.0,10.0,2.0,2.0,0.0,0.0,0.0,0.0,19.0,Darlan,darlan,M,True,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,Thiago Neves,thiago-neves,M,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Luciano,luciano,F,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16,0.0,David Braz,david-braz,D,True,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,
8747940,Away,4-3-3,Muriel,muriel,G,False,0,13,18,6,1,2,3,1,90,Igor Julião,igor-juliao,D,False,0,17,3,1,2,0,0,0,90,Luccas Claro,luccas-claro,D,False,0,41,4,1,8,0,0,0,90,Nino,nino,D,False,0,47,5,3,7,0,0,0,90,Egídio,egidio,D,False,0,45,9,5,1,0,0,0,90,Yago Felipe,yago-felipe,M,False,0,19,2,0,0,0,0,0,78,Yuri,yuri,M,False,0,18,2,1,0,0,0,0,45,Dodi,dodi,M,False,0,64,6,4,1,0,0,0,90,Nenê,nene,M,False,0,20,4,2,0,0,0,0,70,Evanilson,evanilson,F,False,0.0,17.0,1.0,0.0,0.0,0.0,0.0,0.0,78.0,Marcos Paulo,marcos-paulo,M,False,0.0,19.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,Michel Araújo,michel-araujo,M,True,0.0,23.0,2.0,1.0,0.0,0.0,0.0,0.0,45.0,Fred,fred,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,Wellington Silva,wellington-silva,M,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,Fernando Pacheco,fernando-pacheco,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16,0.0,Miguel,miguel,M,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,
