EventId,Team,Formation,Player1_Name,Player1_code,Player1_Position,Player1_substitute,Player1_Rating,Player1_accuratePass,Player1_totalLongBalls,Player1_accurateLongBalls,Player1_totalClearance,Player1_savedShotsFromInsideTheBox,Player1_saves,Player1_punches,Player1_minutesPlayed,Player2_Name,Player2_code,Player2_Position,Player2_substitute,Player2_Rating,Player2_accuratePass,Player2_totalLongBalls,Player2_accurateLongBalls,Player2_totalClearance,Player2_savedShotsFromInsideTheBox,Player2_saves,Player2_punches,Player2_minutesPlayed,Player3_Name,Player3_code,Player3_Position,Player3_substitute,Player3_Rating,Player3_accuratePass,Player3_totalLongBalls,Player3_accurateLongBalls,Player3_totalClearance,Player3_savedShotsFromInsideTheBox,Player3_saves,Player3_punches,Player3_minutesPlayed,Player4_Name,Player4_code,Player4_Position,Player4_substitute,Player4_Rating,Player4_accuratePass,Player4_totalLongBalls,Player4_accurateLongBalls,Player4_totalClearance,Player4_savedShotsFromInsideTheBox,Player4_saves,Player4_punches,Player4_minutesPlayed,Player5_Name,Player5_code,Player5_Position,Player5_substitute,Player5_Rating,Player5_accuratePass,Player5_totalLongBalls,Player5_accurateLongBalls,Player5_totalClearance,Player5_savedShotsFromInsideTheBox,Player5_saves,Player5_punches,Player5_minutesPlayed,Player6_Name,Player6_code,Player6_Position,Player6_substitute,Player6_Rating,Player6_accuratePass,Player6_totalLongBalls,Player6_accurateLongBalls,Player6_totalClearance,Player6_savedShotsFromInsideTheBox,Player6_saves,Player6_punches,Player6_minutesPlayed,Player7_Name,Player7_code,Player7_Position,Player7_substitute,Player7_Rating,Player7_accuratePass,Player7_totalLongBalls,Player7_accurateLongBalls,Player7_totalClearance,Player7_savedShotsFromInsideTheBox,Player7_saves,Player7_punches,Player7_minutesPlayed,Player8_Name,Player8_code,Player8_Position,Player8_substitute,Player8_Rating,Player8_accuratePass,Player8_totalLongBalls,Player8_accurateLongBalls,Player8_totalClearance,Player8_savedShotsFromInsideTheBox,Player8_saves,Player8_punches,Player8_minutesPlayed,Player9_Name,Player9_code,Player9_Position,Player9_substitute,Player9_Rating,Player9_accuratePass,Player9_totalLongBalls,Player9_accurateLongBalls,Player9_totalClearance,Player9_savedShotsFromInsideTheBox,Player9_saves,Player9_punches,Player9_minutesPlayed,Player10_Name,Player10_code,Player10_Position,Player10_substitute,Player10_Rating,Player10_accuratePass,Player10_totalLongBalls,Player10_accurateLongBalls,Player10_totalClearance,Player10_savedShotsFromInsideTheBox,Player10_saves,Player10_punches,Player10_minutesPlayed,Player11_Name,Player11_code,Player11_Position,Player11_substitute,Player11_Rating,Player11_accuratePass,Player11_totalLongBalls,Player11_accurateLongBalls,Player11_totalClearance,Player11_savedShotsFromInsideTheBox,Player11_saves,Player11_punches,Player11_minutesPlayed,Player12_Name,Player12_code,Player12_Position,Player12_substitute,Player12_Rating,Player12_accuratePass,Player12_totalLongBalls,Player12_accurateLongBalls,Player12_totalClearance,Player12_savedShotsFromInsideTheBox,Player12_saves,Player12_punches,Player12_minutesPlayed,Player13_Name,Player13_code,Player13_Position,Player13_substitute,Player13_Rating,Player13_accuratePass,Player13_totalLongBalls,Player13_accurateLongBalls,Player13_totalClearance,Player13_savedShotsFromInsideTheBox,Player13_saves,Player13_punches,Player13_minutesPlayed,Player14_Name,Player14_code,Player14_Position,Player14_substitute,Player14_Rating,Player14_accuratePass,Player14_totalLongBalls,Player14_accurateLongBalls,Player14_totalClearance,Player14_savedShotsFromInsideTheBox,Player14_saves,Player14_punches,Player14_minutesPlayed,PlayerCount,AverageTeamRating,Player18_Name,Player18_code,Player18_Position,Player18_substitute,Player18_Rating,Player18_accuratePass,Player18_totalLongBalls,Player18_accurateLongBalls,Player18_totalClearance,Player18_savedShotsFromInsideTheBox,Player18_saves,Player18_punches,Player18_minutesPlayed,Player19_Name,Player19_code,Player19_Position,Player19_substitute,Player19_Rating,Player19_accuratePass,Player19_totalLongBalls,Player19_accurateLongBalls,Player19_totalClearance,Player19_savedShotsFromInsideTheBox,Player19_saves,Player19_punches,Player19_minutesPlayed,Player23_Name,Player23_code,Player23_Position,Player23_substitute,Player23_Rating,Player23_accuratePass,Player23_totalLongBalls,Player23_accurateLongBalls,Player23_totalClearance,Player23_savedShotsFromInsideTheBox,Player23_saves,Player23_punches,Player23_minutesPlayed,Player22_Name,Player22_code,Player22_Position,Player22_substitute,Player22_Rating,Player22_accuratePass,Player22_totalLongBalls,Player22_accurateLongBalls,Player22_totalClearance,Player22_savedShotsFromInsideTheBox,Player22_saves,Player22_punches,Player22_minutesPlayed,Player15_Name,Player15_code,Player15_Position,Player15_substitute,Player15_Rating,Player15_accuratePass,Player15_totalLongBalls,Player15_accurateLongBalls,Player15_totalClearance,Player15_savedShotsFromInsideTheBox,Player15_saves,Player15_punches,Player15_minutesPlayed,Player21_Name,Player21_code,Player21_Position,Player21_substitute,Player21_Rating,Player21_accuratePass,Player21_totalLongBalls,Player21_accurateLongBalls,Player21_totalClearance,Player21_savedShotsFromInsideTheBox,Player21_saves,Player21_punches,Player21_minutesPlayed,Player24_Name,Player24_code,Player24_Position,Player24_substitute,Player24_Rating,Player24_accuratePass,Player24_totalLongBalls,Player24_accurateLongBalls,Player24_totalClearance,Player24_savedShotsFromInsideTheBox,Player24_saves,Player24_punches,Player24_minutesPlayed,Player20_Name,Player20_code,Player20_Position,Player20_substitute,Player20_Rating,Player20_accuratePass,Player20_totalLongBalls,Player20_accurateLongBalls,Player20_totalClearance,Player20_savedShotsFromInsideTheBox,Player20_saves,Player20_punches,Player20_minutesPlayed
6696477,Home,4-2-3-1,Marcelo Grohe,marcelo-grohe,G,False,0,4,7,2,1,2,5,1,90,Rafael Galhardo,rafael-galhardo,D,False,0,32,1,1,0,0,0,0,74,Pedro Geromel,pedro-geromel,D,False,0,38,4,0,5,0,0,0,90,Rhodolfo,rhodolfo,D,False,0,32,11,7,6,0,0,0,90,Marcelo Oliveira,marcelo-oliveira,D,False,0,33,6,2,11,0,0,0,90,Walace,walace,M,False,0,39,6,6,4,0,0,0,90,Maicon,maicon,M,False,0,46,7,5,1,0,0,0,90,Giuliano,giuliano,M,False,0,26,1,0,0,0,0,0,75,Lincoln,lincoln,M,False,0,16,0,0,0,0,0,0,72,Luan,luan,F,False,0,30,1,0,0,0,0,0,90,Yuri Mamute,yuri-mamute,F,False,0,19,0,0,0,0,0,0,90,Everton,everton,M,True,0,4,0,0,0,0,0,0,18,Matías Rodríguez,matias-rodriguez,D,True,0.0,3.0,1.0,1.0,2.0,0.0,0.0,0.0,16.0,Douglas,douglas,M,True,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6696477,Away,4-3-1-2,Marcelo Lomba,marcelo-lomba,G,False,0,11,9,2,1,1,3,1,90,Rodinei,rodinei,D,False,0,37,1,0,0,0,0,0,90,Tiago Alves,tiago-alves,D,False,0,34,6,2,6,0,0,0,89,Pablo,pablo,D,False,0,29,4,1,4,0,0,0,90,Gilson,gilson,D,False,0,30,2,2,0,0,0,0,90,Paulinho,paulinho,M,False,0,21,1,0,1,0,0,0,45,Josimar,josimar,M,False,0,23,3,0,0,0,0,0,70,Fernando Bob,fernando-bob,M,False,0,72,18,12,0,0,0,0,90,Renato Cajá,renato-caja,M,False,0,51,9,7,0,0,0,0,90,Rildo,rildo,M,False,0,26,0,0,0,0,0,0,75,Biro Biro,biro-biro,F,False,0,30,2,1,0,0,0,0,90,Diego Oliveira,diego-oliveira,F,True,0,13,0,0,1,0,0,0,45,Juninho,juninho,M,True,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,Felipe Azevedo,felipe-azevedo,F,True,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6698251,Home,4-2-3-1,Bruno Brígido,bruno-brigido,G,False,0,8,10,4,3,2,4,1,90,Norberto Neto,norberto-neto,D,False,0,21,4,0,1,0,0,0,90,Welinton,welinton,D,False,0,15,5,0,0,0,0,0,90,Leandro Almeida,almeida-leandro,D,False,0,25,17,9,1,0,0,0,90,Ivan,ivan,D,False,0,29,2,1,0,0,0,0,90,Helder,helder,M,False,0,31,6,4,1,0,0,0,90,João Paulo,joao-paulo,M,False,0,32,3,2,1,0,0,0,90,Rosinei,rosinei,M,False,0,27,2,0,2,0,0,0,89,Ruy,ruy,M,False,0,30,5,3,1,0,0,0,90,Thiago Galhardo,thiago-galhardo,F,False,0,20,2,2,0,0,0,0,89,Rafhael Lucas,rafhael-lucas,F,False,0,16,0,0,1,0,0,0,80,Negueba,negueba,F,True,0,2,0,0,0,0,0,0,10,Fabricio Baiano,fabricio-baiano,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Wallyson,wallyson,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6698251,Away,4-2-3-1,Marcelo Grohe,marcelo-grohe,G,False,0,8,15,4,1,1,2,0,90,Matías Rodríguez,matias-rodriguez,D,False,0,41,5,2,4,0,0,0,90,Pedro Geromel,pedro-geromel,D,False,0,38,7,4,2,0,0,0,90,Frickson Erazo,frickson-erazo,D,False,0,36,1,0,4,0,0,0,90,Júnior Tavares,junior-tavares,D,False,0,10,0,0,0,0,0,0,33,Walace,walace,M,False,0,38,6,3,0,0,0,0,76,Marcelo Oliveira,marcelo-oliveira,D,False,0,43,5,0,1,0,0,0,90,Giuliano,giuliano,M,False,0,37,0,0,1,0,0,0,90,Maicon,maicon,M,False,0,58,11,7,0,0,0,0,90,Luan,luan,F,False,0,26,2,0,0,0,0,0,90,Pedro Rocha,pedro-rocha,M,False,0,6,0,0,0,0,0,0,64,Yuri Mamute,yuri-mamute,F,True,0,8,0,0,0,0,0,0,57,Everton,everton,M,True,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,26.0,Fellipe Bastos,fellipe-bastos,M,True,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,14.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6698282,Home,4-2-3-1,Danilo Fernandes,danilo-fernandes,G,False,0,10,1,0,1,2,4,1,90,Samuel Xavier,xavier-samuel,D,False,0,62,3,3,0,0,0,0,90,Matheus Ferraz,matheus-ferraz,D,False,0,50,3,2,1,0,0,0,90,Durval,durval,D,False,0,73,5,0,4,0,0,0,90,Renê,rene,D,False,0,53,3,2,1,0,0,0,90,Rithely,rithely,M,False,0,70,9,5,3,0,0,0,90,Wendel,wendel,M,False,0,53,0,0,0,0,0,0,73,Neto Moura,neto-moura,M,False,0,16,0,0,1,0,0,0,45,Régis,regis,M,False,0,11,1,1,0,0,0,0,45,Diego Souza,diego-souza,F,False,0,48,1,1,0,0,0,0,90,Joelinton,joelinton,M,False,0,20,1,0,0,0,0,0,90,Maikon Leite,maikon-leite,M,True,0,12,0,0,0,0,0,0,45,Mike,mike,F,True,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,Rodrigo Mancha,rodrigo-mancha,M,True,0.0,17.0,2.0,2.0,0.0,0.0,0.0,0.0,17.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6698282,Away,4-3-1-2,Renan,renan,G,False,0,5,22,4,1,2,3,0,90,Everton Pereira,everton-pereira,D,False,0,22,2,1,0,0,0,0,90,Felipe Amorim,felipe-amorim,M,False,0,12,4,2,8,0,0,0,90,Alex Alves,alex-alves,D,False,0,9,0,0,3,0,0,0,90,Rafael Forster,rafael-forster,D,False,0,28,2,1,4,0,0,0,90,Rodrigo,rodrigo,M,False,0,21,2,1,2,0,0,0,74,Patrick,patrick,M,False,0,23,2,1,2,0,0,0,90,Diogo Barbosa,diogo-barbosa,D,False,0,17,1,1,3,0,0,0,75,Felipe Menezes,felipe-menezes,M,False,0,26,3,2,0,0,0,0,66,Carlos Eduardo,carlos-eduardo,F,False,0,16,2,1,0,0,0,0,90,Bruno Henrique,bruno-henrique,M,False,0,11,1,0,2,0,0,0,90,Arthur Rezende,arthur-rezende,M,True,0,13,2,0,0,0,0,0,24,Pericles,pericles,M,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Wiliam Kozlowski,kozlowski-wiliam,M,True,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6698317,Home,4-4-2,Charles,charles,G,False,0,4,8,2,3,1,1,2,90,Madson,madson,D,False,0,9,7,2,3,0,0,0,90,Anderson Salles,anderson-salles,D,False,0,10,8,3,6,0,0,0,90,Rodrigo,rodrigo,D,False,0,16,15,7,8,0,0,0,90,Christianno,christianno,D,False,0,20,8,2,3,0,0,0,90,Jhon Cley,jhon-cley,M,False,0,4,6,2,0,0,0,0,58,Serginho,serginho,M,False,0,16,4,3,3,0,0,0,90,Pablo Guiñazú,pablo-guinazu,M,False,0,20,3,1,2,0,0,0,90,Júlio César,julio-cesar,D,False,0,17,1,0,1,0,0,0,90,Duvier Riascos,duvier-riascos,F,False,0,12,0,0,0,0,0,0,60,Gilberto,gilberto,F,False,0,9,1,0,0,0,0,0,71,Rafael Silva,rafael-silva,F,True,0,6,0,0,0,0,0,0,32,Thalles,thalles,F,True,0.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,30.0,Lucas Siqueira,lucas-siqueira,M,True,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,19.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6698317,Away,4-2-3-1,César Dutra,cesar-dutra,G,False,0,11,16,0,0,0,0,0,90,Luiz Antônio,luiz-antonio,M,False,0,27,5,4,1,0,0,0,90,Wallace Reis,wallace-reis,D,False,0,72,9,3,4,0,0,0,90,Samir Caetano,samir-caetano,D,False,0,51,7,1,2,0,0,0,90,Anderson Pico,anderson-pico,D,False,0,27,7,2,0,0,0,0,45,Márcio Araújo,marcio-araujo,M,False,0,63,3,1,0,0,0,0,90,Jonas,jonas,M,False,0,25,6,1,1,0,0,0,90,Éverton,everton,M,False,0,25,6,3,0,0,0,0,69,Héctor Canteros,hector-canteros,M,False,0,53,2,2,0,0,0,0,90,Emerson Sheik,emerson-sheik,F,False,0,34,3,2,0,0,0,0,90,Eduardo Da Silva,eduardo-da-silva,F,False,0,14,0,0,1,0,0,0,64,Alan Patrick,alan-patrick,M,True,0,20,0,0,0,0,0,0,45,Marcelo Cirino,marcelo-cirino,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,Paulinho,paulinho,M,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6698336,Home,4-2-3-1,Marcelo Lomba,marcelo-lomba,G,False,0,10,6,3,0,1,1,0,90,Rodinei,rodinei,D,False,0,36,4,2,2,0,0,0,90,Renato Chaves,renato-chaves,D,False,0,41,8,2,3,0,0,0,90,Pablo,pablo,D,False,0,31,8,2,7,0,0,0,90,Gilson,gilson,D,False,0,44,2,1,2,0,0,0,90,Juninho,juninho,M,False,0,40,6,4,1,0,0,0,90,Vitor Xavier,vitor-xavier,M,False,0,62,8,4,1,0,0,0,90,Felipe Azevedo,felipe-azevedo,F,False,0,35,0,0,0,0,0,0,90,Roni,roni,M,False,0,22,2,1,0,0,0,0,74,Paulinho,paulinho,M,False,0,37,3,1,1,0,0,0,63,Cesinha,cesinha,F,False,0,19,1,0,1,0,0,0,80,Biro Biro,biro-biro,F,True,0,8,1,1,0,0,0,0,16,Diego Oliveira,diego-oliveira,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,14,0.0,Leandrinho,leandrinho,M,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6698336,Away,4-2-3-1,Fernando Prass,fernando-prass,G,False,0,16,28,9,2,0,2,2,90,Lucas,lucas,D,False,0,22,10,2,0,0,0,0,90,Victor Ramos,victor-ramos,D,False,0,23,15,6,3,0,0,0,90,Vitor Hugo,vitor-hugo,D,False,0,35,6,4,3,0,0,0,90,Egídio,egidio,D,False,0,48,8,4,3,0,0,0,90,Arouca,arouca,M,False,0,34,3,0,0,0,0,0,90,Gabriel,gabriel,M,False,0,44,5,4,0,0,0,0,90,Rafael Marques,rafael-marques,F,False,0,28,1,0,0,0,0,0,74,Robinho,robinho,M,False,0,16,0,0,0,0,0,0,45,Dudu,dudu,M,False,0,32,4,1,0,0,0,0,90,Leandro Pereira,leandro-pereira,F,False,0,7,0,0,0,0,0,0,60,Zé Roberto,ze-roberto,M,True,0,15,4,2,0,0,0,0,45,Jonathan Cristaldo,jonathan-cristaldo,F,True,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,Cleiton Xavier,cleiton-xavier,M,True,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
