EventId,Team,Formation,Player1_Name,Player1_code,Player1_Position,Player1_substitute,Player1_Rating,Player1_accuratePass,Player1_totalLongBalls,Player1_accurateLongBalls,Player1_totalClearance,Player1_savedShotsFromInsideTheBox,Player1_saves,Player1_punches,Player1_minutesPlayed,Player2_Name,Player2_code,Player2_Position,Player2_substitute,Player2_Rating,Player2_accuratePass,Player2_totalLongBalls,Player2_accurateLongBalls,Player2_totalClearance,Player2_savedShotsFromInsideTheBox,Player2_saves,Player2_punches,Player2_minutesPlayed,Player3_Name,Player3_code,Player3_Position,Player3_substitute,Player3_Rating,Player3_accuratePass,Player3_totalLongBalls,Player3_accurateLongBalls,Player3_totalClearance,Player3_savedShotsFromInsideTheBox,Player3_saves,Player3_punches,Player3_minutesPlayed,Player4_Name,Player4_code,Player4_Position,Player4_substitute,Player4_Rating,Player4_accuratePass,Player4_totalLongBalls,Player4_accurateLongBalls,Player4_totalClearance,Player4_savedShotsFromInsideTheBox,Player4_saves,Player4_punches,Player4_minutesPlayed,Player5_Name,Player5_code,Player5_Position,Player5_substitute,Player5_Rating,Player5_accuratePass,Player5_totalLongBalls,Player5_accurateLongBalls,Player5_totalClearance,Player5_savedShotsFromInsideTheBox,Player5_saves,Player5_punches,Player5_minutesPlayed,Player6_Name,Player6_code,Player6_Position,Player6_substitute,Player6_Rating,Player6_accuratePass,Player6_totalLongBalls,Player6_accurateLongBalls,Player6_totalClearance,Player6_savedShotsFromInsideTheBox,Player6_saves,Player6_punches,Player6_minutesPlayed,Player7_Name,Player7_code,Player7_Position,Player7_substitute,Player7_Rating,Player7_accuratePass,Player7_totalLongBalls,Player7_accurateLongBalls,Player7_totalClearance,Player7_savedShotsFromInsideTheBox,Player7_saves,Player7_punches,Player7_minutesPlayed,Player8_Name,Player8_code,Player8_Position,Player8_substitute,Player8_Rating,Player8_accuratePass,Player8_totalLongBalls,Player8_accurateLongBalls,Player8_totalClearance,Player8_savedShotsFromInsideTheBox,Player8_saves,Player8_punches,Player8_minutesPlayed,Player9_Name,Player9_code,Player9_Position,Player9_substitute,Player9_Rating,Player9_accuratePass,Player9_totalLongBalls,Player9_accurateLongBalls,Player9_totalClearance,Player9_savedShotsFromInsideTheBox,Player9_saves,Player9_punches,Player9_minutesPlayed,Player10_Name,Player10_code,Player10_Position,Player10_substitute,Player10_Rating,Player10_accuratePass,Player10_totalLongBalls,Player10_accurateLongBalls,Player10_totalClearance,Player10_savedShotsFromInsideTheBox,Player10_saves,Player10_punches,Player10_minutesPlayed,Player11_Name,Player11_code,Player11_Position,Player11_substitute,Player11_Rating,Player11_accuratePass,Player11_totalLongBalls,Player11_accurateLongBalls,Player11_totalClearance,Player11_savedShotsFromInsideTheBox,Player11_saves,Player11_punches,Player11_minutesPlayed,Player12_Name,Player12_code,Player12_Position,Player12_substitute,Player12_Rating,Player12_accuratePass,Player12_totalLongBalls,Player12_accurateLongBalls,Player12_totalClearance,Player12_savedShotsFromInsideTheBox,Player12_saves,Player12_punches,Player12_minutesPlayed,Player13_Name,Player13_code,Player13_Position,Player13_substitute,Player13_Rating,Player13_accuratePass,Player13_totalLongBalls,Player13_accurateLongBalls,Player13_totalClearance,Player13_savedShotsFromInsideTheBox,Player13_saves,Player13_punches,Player13_minutesPlayed,Player14_Name,Player14_code,Player14_Position,Player14_substitute,Player14_Rating,Player14_accuratePass,Player14_totalLongBalls,Player14_accurateLongBalls,Player14_totalClearance,Player14_savedShotsFromInsideTheBox,Player14_saves,Player14_punches,Player14_minutesPlayed,Player15_Name,Player15_code,Player15_Position,Player15_substitute,Player15_Rating,Player15_accuratePass,Player15_totalLongBalls,Player15_accurateLongBalls,Player15_totalClearance,Player15_savedShotsFromInsideTheBox,Player15_saves,Player15_punches,Player15_minutesPlayed,PlayerCount,AverageTeamRating,Player16_Name,Player16_code,Player16_Position,Player16_substitute,Player16_Rating,Player16_accuratePass,Player16_totalLongBalls,Player16_accurateLongBalls,Player16_totalClearance,Player16_savedShotsFromInsideTheBox,Player16_saves,Player16_punches,Player16_minutesPlayed
8833450,Home,4-2-3-1,Robin Zentner,robin-zentner,G,False,0,36,10,4,1,3,3,0,90,Ridle Baku,ridle-baku,M,False,0,33,7,2,2,0,0,0,90,Jeremiah St. Juste,jeremiah-st-juste,D,False,0,40,8,4,3,0,0,0,90,Moussa Niakhaté,moussa-niakhate,D,False,0,47,9,3,2,0,0,0,77,Daniel Brosinski,daniel-brosinski,D,False,0,27,3,2,5,0,0,0,82,Leandro Barreiro,leandro-barreiro,M,False,0,28,3,2,3,0,0,0,69,Danny Latza,danny-latza,M,False,0,46,5,3,2,0,0,0,90,Karim Onisiwo,karim-onisiwo,F,False,0,14,0,0,3,0,0,0,90,Jean-Paul Boëtius,jean-paul-boetius,M,False,0,20,3,0,0,0,0,0,82,Robin Quaison,robin-quaison,F,False,0,19,3,1,0,0,0,0,90,Jean-Philippe Mateta,jean-philippe-mateta,F,False,0,15,1,1,0,0,0,0,86,Levin Öztunali,levin-oztunali,M,True,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,21.0,Alexander Hack,alexander-hack,D,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Jonathan Burkardt,jonathan-burkardt,F,True,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,Paul Nebel,paul-nebel,M,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,15,0.0,,,,,,,,,,,,,
8833450,Away,3-1-4-2,Gregor Kobel,gregor-kobel,G,False,0,22,14,7,0,0,1,0,90,Pascal Stenzel,pascal-stenzel,D,False,0,56,8,7,2,0,0,0,90,Waldemar Anton,waldemar-anton,D,False,0,35,4,3,3,0,0,0,90,Marc-Oliver Kempf,marc-oliver-kempf,D,False,0,42,3,3,4,0,0,0,90,Wataru Endo,wataru-endo,M,False,0,39,5,1,2,0,0,0,90,Silas Katompa Mvumpa,silas-katompa-mvumpa,F,False,0,18,0,0,0,0,0,0,82,Orel Mangala,orel-mangala,M,False,0,23,1,0,0,0,0,0,87,Gonzalo Castro,gonzalo-castro,F,False,0,29,3,0,0,0,0,0,74,Borna Sosa,borna-sosa,D,False,0,29,4,0,4,0,0,0,90,Daniel Didavi,daniel-didavi,M,False,0,26,6,3,1,0,0,0,82,Saša Kalajdžić,sasa-kalajdzic,F,False,0,21,0,0,0,0,0,0,87,Mateo Klimowicz,mateo-klimowicz,M,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Roberto Massimo,roberto-massimo,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Tanguy Coulibaly,tanguy-coulibaly,M,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Philipp Klement,philipp-klement,M,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,16,0.0,Hamadi Al Ghaddioui,hamadi-al-ghaddioui,F,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0
8833427,Home,3-4-2-1,Andreas Luthe,andreas-luthe,G,False,0,16,20,5,0,0,0,0,90,Marvin Friedrich,marvin-friedrich,D,False,0,43,6,3,3,0,0,0,90,Robin Knoche,robin-knoche,D,False,0,59,13,5,2,0,0,0,90,Nico Schlotterbeck,nico-schlotterbeck,D,False,0,59,12,9,2,0,0,0,90,Christopher Trimmel,christopher-trimmel,M,False,0,21,6,1,4,0,0,0,69,Robert Andrich,robert-andrich,M,False,0,40,8,2,1,0,0,0,82,Grischa Prömel,grischa-promel,M,False,0,48,2,1,2,0,0,0,90,Christopher Lenz,christopher-lenz,M,False,0,37,4,2,2,0,0,0,90,Sheraldo Becker,sheraldo-becker,F,False,0,11,1,1,1,0,0,0,64,Marcus Ingvartsen,marcus-ingvartsen,F,False,0,14,2,1,1,0,0,0,82,Max Kruse,max-kruse,F,False,0,21,2,2,0,0,0,0,64,Marius Bülter,marius-bulter,M,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,Joel Pohjanpalo,joel-pohjanpalo,F,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,Julian Ryerson,julian-ryerson,D,True,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,21.0,Sebastian Griesbeck,sebastian-griesbeck,D,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16,0.0,Keita Endo,endo-keita,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
8833427,Away,4-2-3-1,Robin Zentner,robin-zentner,G,False,0,17,9,3,1,3,3,0,90,Phillipp Mwene,phillipp-mwene,D,False,0,21,5,2,2,0,0,0,71,Jeremiah St. Juste,jeremiah-st-juste,D,False,0,58,0,0,1,0,0,0,90,Alexander Hack,alexander-hack,D,False,0,50,11,0,3,0,0,0,90,Daniel Brosinski,daniel-brosinski,D,False,0,26,5,1,1,0,0,0,90,Danny Latza,danny-latza,M,False,0,49,3,1,2,0,0,0,90,Pierre Kunde,pierre-kunde,M,False,0,31,3,0,0,0,0,0,60,Karim Onisiwo,karim-onisiwo,F,False,0,10,0,0,0,0,0,0,90,Jean-Paul Boëtius,jean-paul-boetius,M,False,0,39,7,6,0,0,0,0,90,Robin Quaison,robin-quaison,F,False,0,6,3,1,0,0,0,0,71,Jean-Philippe Mateta,jean-philippe-mateta,F,False,0,14,0,0,1,0,0,0,60,Paul Nebel,paul-nebel,M,True,0.0,17.0,4.0,3.0,0.0,0.0,0.0,0.0,30.0,Jonathan Burkardt,jonathan-burkardt,F,True,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,Luca Kilian,kilian-luca,D,True,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,Aarón Martín,aaron-martin,M,True,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,15,0.0,,,,,,,,,,,,,
8833457,Home,3-4-3,Oliver Baumann,oliver-baumann,G,False,0,20,31,9,2,2,2,0,90,Stefan Posch,stefan-posch,D,False,0,19,7,4,7,0,0,0,90,Kevin Vogt,kevin-vogt,D,False,0,12,2,1,10,0,0,0,90,Ermin Bičakčić,ermin-bicakcic,D,False,0,1,0,0,1,0,0,0,39,Kevin Akpoguma,kevin-akpoguma,D,False,0,10,5,2,3,0,0,0,90,Diadié Samassékou,diadie-samassekou,M,False,0,13,5,4,5,0,0,0,90,Dennis Geiger,dennis-geiger,M,False,0,8,2,2,0,0,0,0,58,Pavel Kadeřábek,pavel-kaderabek,M,False,0,12,3,0,4,0,0,0,90,Christoph Baumgartner,christoph-baumgartner,M,False,0,8,1,0,0,0,0,0,59,Munas Dabbur,munas-dabbur,F,False,0,14,0,0,0,0,0,0,80,Andrej Kramarić,andrej-kramaric,F,False,0,15,0,0,0,0,0,0,90,Robert Skov,robert-skov,M,True,0.0,7.0,2.0,0.0,1.0,0.0,0.0,0.0,51.0,Ihlas Bebou,ihlas-bebou,F,True,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,Mijat Gaćinović,mijat-gacinovic,M,True,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,31.0,Florian Grillitsch,florian-grillitsch,M,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15,0.0,,,,,,,,,,,,,
8833457,Away,4-2-3-1,Manuel Neuer,manuel-neuer,G,False,0,22,7,5,0,4,4,0,90,Benjamin Pavard,benjamin-pavard,D,False,0,48,2,0,1,0,0,0,57,Jérôme Boateng,jerome-boateng,D,False,0,54,9,4,5,0,0,0,90,David Alaba,david-alaba,D,False,0,69,11,1,1,0,0,0,90,Alphonso Davies,alphonso-davies,D,False,0,68,2,2,1,0,0,0,90,Joshua Kimmich,joshua-kimmich,M,False,0,77,11,11,0,0,0,0,90,Corentin Tolisso,corentin-tolisso,M,False,0,50,5,5,1,0,0,0,72,Serge Gnabry,serge-gnabry,M,False,0,40,0,0,0,0,0,0,90,Thomas Müller,thomas-muller,M,False,0,36,2,1,0,0,0,0,90,Leroy Sané,leroy-sane,M,False,0,21,4,3,0,0,0,0,73,Joshua Zirkzee,joshua-zirkzee,F,False,0,12,0,0,0,0,0,0,57,Leon Goretzka,leon-goretzka,M,True,0.0,16.0,2.0,1.0,0.0,0.0,0.0,0.0,33.0,Robert Lewandowski,robert-lewandowski,F,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,Jamal Musiala,jamal-musiala,M,True,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,Kingsley Coman,kingsley-coman,M,True,0.0,11.0,2.0,2.0,0.0,0.0,0.0,0.0,17.0,15,0.0,,,,,,,,,,,,,
8833455,Home,4-2-2-2,Rafał Gikiewicz,rafal-gikiewicz,G,False,0,10,17,5,1,4,6,0,90,Raphael Framberger,raphael-framberger,D,False,0,11,5,2,6,0,0,0,90,Jeffrey Gouweleeuw,jeffrey-gouweleeuw,D,False,0,14,5,1,13,0,0,0,90,Felix Uduokhai,felix-uduokhai,D,False,0,17,1,0,11,0,0,0,90,Iago,iago,D,False,0,17,6,2,5,0,0,0,90,Rani Khedira,rani-khedira,M,False,0,7,2,0,3,0,0,0,63,Carlos Gruezo,carlos-gruezo,M,False,0,12,2,1,3,0,0,0,89,André Hahn,andre-hahn,M,False,0,10,4,1,2,0,0,0,89,Daniel Caligiuri,daniel-caligiuri,M,False,0,13,3,2,0,0,0,0,90,Michael Gregoritsch,michael-gregoritsch,F,False,0,4,0,0,2,0,0,0,57,Florian Niederlechner,florian-niederlechner,F,False,0,8,2,2,2,0,0,0,62,Fredrik Jensen,fredrik-jensen,M,True,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,33.0,Alfreð Finnbogason,alfred-finnbogason,F,True,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,28.0,Reece Oxford,reece-oxford,D,True,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,27.0,Marek Suchý,marek-suchy,D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,Tobias Strobl,tobias-strobl,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8833455,Away,3-1-4-2,Roman Bürki,roman-burki,G,False,0,22,7,5,0,2,2,0,90,Emre Can,emre-can,M,False,0,117,4,3,1,0,0,0,90,Mats Hummels,mats-hummels,D,False,0,100,11,8,3,0,0,0,90,Manuel Akanji,manuel-akanji,D,False,0,85,7,5,1,0,0,0,90,Axel Witsel,axel-witsel,D,False,0,66,1,1,1,0,0,0,83,Thomas Meunier,thomas-meunier,D,False,0,63,2,2,2,0,0,0,69,Jude Bellingham,jude-bellingham,M,False,0,43,3,3,0,0,0,0,60,Giovanni Reyna,giovanni-reyna,M,False,0,47,2,2,0,0,0,0,90,Raphaël Guerreiro,raphael-guerreiro,D,False,0,55,0,0,0,0,0,0,59,Jadon Sancho,sancho-jadon,M,False,0,70,1,1,0,0,0,0,90,Erling Haaland,erling-haaland,F,False,0,12,0,0,0,0,0,0,90,Julian Brandt,julian-brandt,M,True,0.0,34.0,2.0,1.0,0.0,0.0,0.0,0.0,31.0,Marco Reus,marco-reus,M,True,0.0,14.0,2.0,2.0,1.0,0.0,0.0,0.0,30.0,Reinier,reinier,M,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,Mahmoud Dahoud,mahmoud-dahoud,M,True,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15,0.0,,,,,,,,,,,,,
8833448,Home,4-3-3,Koen Casteels,koen-casteels,G,False,0,21,6,2,2,1,1,0,90,Jérôme Roussillon,jerome-roussillon,M,False,0,31,4,3,1,0,0,0,72,Maxence Lacroix,maxence-lacroix,D,False,0,76,13,8,3,0,0,0,90,John Brooks,john-brooks,D,False,0,84,17,11,5,0,0,0,90,Paulo Otávio,paulo-otavio,D,False,0,51,3,0,1,0,0,0,90,Xaver Schlager,xaver-schlager,M,False,0,26,2,1,1,0,0,0,63,Josuha Guilavogui,josuha-guilavogui,D,False,0,65,7,4,3,0,0,0,90,Maximilian Arnold,maximilian-arnold,M,False,0,64,6,4,0,0,0,0,90,Admir Mehmedi,admir-mehmedi,M,False,0,25,3,3,0,0,0,0,72,Wout Weghorst,wout-weghorst,F,False,0,15,0,0,1,0,0,0,90,Josip Brekalo,josip-brekalo,M,False,0,42,5,4,0,0,0,0,90,Yannick Gerhardt,yannick-gerhardt,M,True,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,27.0,Ridle Baku,ridle-baku,M,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,Daniel Ginczek,daniel-ginczek,F,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,,,,,,,,,,,,,,14,0.0,,,,,,,,,,,,,
8833448,Away,4-4-2,Rafał Gikiewicz,rafal-gikiewicz,G,False,0,14,23,6,0,4,6,0,90,Raphael Framberger,raphael-framberger,D,False,0,18,6,1,1,0,0,0,90,Jeffrey Gouweleeuw,jeffrey-gouweleeuw,D,False,0,23,9,5,7,0,0,0,90,Felix Uduokhai,felix-uduokhai,D,False,0,23,6,2,9,0,0,0,90,Iago,iago,D,False,0,34,10,3,5,0,0,0,90,André Hahn,andre-hahn,M,False,0,9,1,1,0,0,0,0,57,Rani Khedira,rani-khedira,M,False,0,10,0,0,2,0,0,0,72,Carlos Gruezo,carlos-gruezo,M,False,0,28,4,1,0,0,0,0,89,Daniel Caligiuri,daniel-caligiuri,M,False,0,27,3,3,0,0,0,0,90,Michael Gregoritsch,michael-gregoritsch,F,False,0,15,1,1,0,0,0,0,57,Florian Niederlechner,florian-niederlechner,F,False,0,9,0,0,1,0,0,0,57,Fredrik Jensen,fredrik-jensen,M,True,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,33.0,Ruben Vargas,ruben-vargas,M,True,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,33.0,Alfreð Finnbogason,alfred-finnbogason,F,True,0.0,5.0,1.0,1.0,2.0,0.0,0.0,0.0,33.0,Tobias Strobl,tobias-strobl,M,True,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,18.0,16,0.0,Reece Oxford,reece-oxford,D,True,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
