EventId,Team,Formation,Player1_Name,Player1_code,Player1_Position,Player1_substitute,Player1_Rating,Player1_accuratePass,Player1_totalLongBalls,Player1_accurateLongBalls,Player1_totalClearance,Player1_savedShotsFromInsideTheBox,Player1_saves,Player1_punches,Player1_minutesPlayed,Player2_Name,Player2_code,Player2_Position,Player2_substitute,Player2_Rating,Player2_accuratePass,Player2_totalLongBalls,Player2_accurateLongBalls,Player2_totalClearance,Player2_savedShotsFromInsideTheBox,Player2_saves,Player2_punches,Player2_minutesPlayed,Player3_Name,Player3_code,Player3_Position,Player3_substitute,Player3_Rating,Player3_accuratePass,Player3_totalLongBalls,Player3_accurateLongBalls,Player3_totalClearance,Player3_savedShotsFromInsideTheBox,Player3_saves,Player3_punches,Player3_minutesPlayed,Player4_Name,Player4_code,Player4_Position,Player4_substitute,Player4_Rating,Player4_accuratePass,Player4_totalLongBalls,Player4_accurateLongBalls,Player4_totalClearance,Player4_savedShotsFromInsideTheBox,Player4_saves,Player4_punches,Player4_minutesPlayed,Player5_Name,Player5_code,Player5_Position,Player5_substitute,Player5_Rating,Player5_accuratePass,Player5_totalLongBalls,Player5_accurateLongBalls,Player5_totalClearance,Player5_savedShotsFromInsideTheBox,Player5_saves,Player5_punches,Player5_minutesPlayed,Player6_Name,Player6_code,Player6_Position,Player6_substitute,Player6_Rating,Player6_accuratePass,Player6_totalLongBalls,Player6_accurateLongBalls,Player6_totalClearance,Player6_savedShotsFromInsideTheBox,Player6_saves,Player6_punches,Player6_minutesPlayed,Player7_Name,Player7_code,Player7_Position,Player7_substitute,Player7_Rating,Player7_accuratePass,Player7_totalLongBalls,Player7_accurateLongBalls,Player7_totalClearance,Player7_savedShotsFromInsideTheBox,Player7_saves,Player7_punches,Player7_minutesPlayed,Player8_Name,Player8_code,Player8_Position,Player8_substitute,Player8_Rating,Player8_accuratePass,Player8_totalLongBalls,Player8_accurateLongBalls,Player8_totalClearance,Player8_savedShotsFromInsideTheBox,Player8_saves,Player8_punches,Player8_minutesPlayed,Player9_Name,Player9_code,Player9_Position,Player9_substitute,Player9_Rating,Player9_accuratePass,Player9_totalLongBalls,Player9_accurateLongBalls,Player9_totalClearance,Player9_savedShotsFromInsideTheBox,Player9_saves,Player9_punches,Player9_minutesPlayed,Player10_Name,Player10_code,Player10_Position,Player10_substitute,Player10_Rating,Player10_accuratePass,Player10_totalLongBalls,Player10_accurateLongBalls,Player10_totalClearance,Player10_savedShotsFromInsideTheBox,Player10_saves,Player10_punches,Player10_minutesPlayed,Player11_Name,Player11_code,Player11_Position,Player11_substitute,Player11_Rating,Player11_accuratePass,Player11_totalLongBalls,Player11_accurateLongBalls,Player11_totalClearance,Player11_savedShotsFromInsideTheBox,Player11_saves,Player11_punches,Player11_minutesPlayed,Player12_Name,Player12_code,Player12_Position,Player12_substitute,Player12_Rating,Player12_accuratePass,Player12_totalLongBalls,Player12_accurateLongBalls,Player12_totalClearance,Player12_savedShotsFromInsideTheBox,Player12_saves,Player12_punches,Player12_minutesPlayed,Player13_Name,Player13_code,Player13_Position,Player13_substitute,Player13_Rating,Player13_accuratePass,Player13_totalLongBalls,Player13_accurateLongBalls,Player13_totalClearance,Player13_savedShotsFromInsideTheBox,Player13_saves,Player13_punches,Player13_minutesPlayed,Player14_Name,Player14_code,Player14_Position,Player14_substitute,Player14_Rating,Player14_accuratePass,Player14_totalLongBalls,Player14_accurateLongBalls,Player14_totalClearance,Player14_savedShotsFromInsideTheBox,Player14_saves,Player14_punches,Player14_minutesPlayed,PlayerCount,AverageTeamRating,Player18_Name,Player18_code,Player18_Position,Player18_substitute,Player18_Rating,Player18_accuratePass,Player18_totalLongBalls,Player18_accurateLongBalls,Player18_totalClearance,Player18_savedShotsFromInsideTheBox,Player18_saves,Player18_punches,Player18_minutesPlayed
7125608,Home,4-2-3-1,Carlos Kameni,carlos-kameni,G,False,0,14,20,9,0,2,2,0,90,Roberto Rosales,roberto-rosales,D,False,0,27,4,3,1,0,0,0,90,Diego Llorente,diego-llorente,D,False,0,26,4,1,4,0,0,0,90,Bakary Koné,bakary-kone,D,False,0,23,10,3,2,0,0,0,90,Federico Ricca,federico-ricca,D,False,0,29,3,1,1,0,0,0,90,Ignacio Camacho,ignacio-camacho,M,False,0,41,8,5,1,0,0,0,90,Recio,recio,M,False,0,38,2,1,2,0,0,0,90,Keko,keko,F,False,0,8,0,0,0,0,0,0,45,Juanpi Añor,juanpi-anor,M,False,0,29,4,2,0,0,0,0,90,Jony,jony,M,False,0,24,3,2,0,0,0,0,71,Sandro Ramírez,sandro-ramirez,F,False,0,8,1,1,0,0,0,0,78,Charles Días,charles-dias,F,True,0,10,0,0,0,0,0,0,45,Zdravko Kuzmanović,zdravko-kuzmanovic,M,True,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,Gonzalo Castro,gonzalo-castro,M,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,14,0.0,,,,,,,,,,,,,
7125608,Away,5-3-2,Nauzet Pérez,nauzet-perez,G,False,0,11,27,10,1,3,3,0,90,Javier Flaño,javier-flano,D,False,0,14,5,0,1,0,0,0,90,David García,david-garcia,D,False,0,21,4,0,3,0,0,0,90,Miguel Flaño,miguel-flano,D,False,0,21,7,2,5,0,0,0,90,Unai García,unai-garcia,D,False,0,14,11,5,6,0,0,0,90,Juan Rafael Fuentes,juan-rafael-fuentes,D,False,0,10,4,1,1,0,0,0,49,Miguel de las Cuevas,miguel-de-las-cuevas,M,False,0,23,0,0,0,0,0,0,90,Fausto Tienza,fausto-tienza,M,False,0,16,3,0,0,0,0,0,71,Oier,oier,M,False,0,25,4,1,1,0,0,0,90,Oriol Riera,oriol-riera,F,False,0,19,0,0,4,0,0,0,90,Kenan Kodro,kenan-kodro,F,False,0,15,0,0,0,0,0,0,77,Aitor Buñuel,aitor-bunuel,D,True,0,10,1,0,1,0,0,0,41,Fran Mérida,fran-merida,M,True,0.0,10.0,4.0,2.0,0.0,0.0,0.0,0.0,19.0,Jaime Romero,jaime-romero,M,True,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,14,0.0,,,,,,,,,,,,,
7127443,Home,4-3-3,Jasper Cillessen,jasper-cillessen,G,False,0,16,2,2,1,0,2,0,90,Aleix Vidal,aleix-vidal,D,False,0,57,0,0,0,0,0,0,90,Javier Mascherano,javier-mascherano,M,False,0,98,11,10,1,0,0,0,90,Jérémy Mathieu,jeremy-mathieu,D,False,0,81,4,2,1,0,0,0,90,Lucas Digne,lucas-digne,D,False,0,69,0,0,1,0,0,0,90,Ivan Rakitić,ivan-rakitic,M,False,0,49,5,3,0,0,0,0,90,Sergio Busquets,sergio-busquets,M,False,0,85,11,10,0,0,0,0,90,Denis Suárez,denis-suarez,M,False,0,39,2,1,0,0,0,0,60,Arda Turan,arda-turan,M,False,0,30,0,0,0,0,0,0,64,Paco Alcácer,paco-alcacer,F,False,0,11,1,1,0,0,0,0,66,Neymar,neymar,M,False,0,40,4,3,0,0,0,0,90,Lionel Messi,lionel-messi,F,True,0,15,1,0,0,0,0,0,30,Andrés Iniesta,andres-iniesta,F,True,0.0,13.0,2.0,2.0,0.0,0.0,0.0,0.0,26.0,Luis Suárez,luis-suarez,F,True,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,24.0,14,0.0,,,,,,,,,,,,,
7127443,Away,5-4-1,Fernando Pacheco,fernando-pacheco,G,False,0,17,33,17,1,1,1,1,90,Kiko Femenía,kiko-femenia,D,False,0,18,4,1,2,0,0,0,74,Alexis Ruano,alexis-ruano,D,False,0,6,8,1,6,0,0,0,90,Víctor Laguardia,victor-laguardia,D,False,0,3,3,3,3,0,0,0,90,Raúl Carnero,raul-carnero,D,False,0,5,4,0,5,0,0,0,90,Theo Hernández,theo-hernandez,D,False,0,12,4,0,3,0,0,0,90,Edgar Méndez,edgar-mendez,F,False,0,9,2,1,1,0,0,0,70,Daniel Torres,daniel-torres,M,False,0,21,5,2,4,0,0,0,90,Marcos Llorente,marcos-llorente,M,False,0,17,4,3,1,0,0,0,90,Ibai Gómez,ibai-gomez,M,False,0,19,2,1,0,0,0,0,79,Deyverson,deyverson,F,False,0,20,2,1,3,0,0,0,90,Cristian Espinoza,cristian-espinoza,M,True,0,3,3,0,0,0,0,0,20,Carlos Vigaray,carlos-vigaray,D,True,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,16.0,Víctor Camarasa,victor-camarasa,M,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,14,0.0,,,,,,,,,,,,,
7127434,Home,4-2-3-1,Fernando Pacheco,fernando-pacheco,G,False,0,20,11,8,3,0,1,2,90,Kiko Femenía,kiko-femenia,D,False,0,27,5,3,3,0,0,0,90,Víctor Laguardia,victor-laguardia,D,False,0,49,19,8,4,0,0,0,90,Alexis Ruano,alexis-ruano,D,False,0,40,7,4,1,0,0,0,90,Theo Hernández,theo-hernandez,D,False,0,40,8,3,3,0,0,0,90,Marcos Llorente,marcos-llorente,M,False,0,69,12,8,3,0,0,0,90,Manu García,manu-garcia,M,False,0,36,0,0,0,0,0,0,90,Edgar Méndez,edgar-mendez,F,False,0,10,2,0,2,0,0,0,85,Daniel Torres,daniel-torres,M,False,0,54,5,3,4,0,0,0,90,Ibai Gómez,ibai-gomez,M,False,0,26,1,1,0,0,0,0,73,Deyverson,deyverson,F,False,0,8,0,0,0,0,0,0,45,Christian Robert Santos,christian-robert-santos,F,True,0,7,0,0,0,0,0,0,45,Cristian Espinoza,cristian-espinoza,M,True,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,Gaizka Toquero,gaizka-toquero,F,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14,0.0,,,,,,,,,,,,,
7127434,Away,4-2-3-1,Iván Cuéllar,ivan-cuellar,G,False,0,16,24,8,2,2,2,2,90,Lillo Castellano,lillo-castellano,D,False,0,46,5,2,10,0,0,0,90,Jorge Meré,jorge-mere,D,False,0,43,6,3,4,0,0,0,90,Fernando Amorebieta,fernando-amorebieta,D,False,0,18,5,1,2,0,0,0,52,Isma López,isma-lopez,D,False,0,32,6,2,1,0,0,0,90,Sergio Álvarez,sergio-alvarez,M,False,0,42,4,2,3,0,0,0,90,Nacho Cases,nacho-cases,M,False,0,25,3,0,0,0,0,0,73,Víctor Rodríguez,victor-rodriguez,M,False,0,21,1,0,0,0,0,0,90,Burgui,burgui,M,False,0,17,1,0,0,0,0,0,80,Moi Gómez,moi-gomez,M,False,0,42,6,4,0,0,0,0,90,Duje Čop,duje-cop,F,False,0,11,0,0,0,0,0,0,90,Jean-Sylvain Babin,jean-sylvain-babin,D,True,0,27,4,1,1,0,0,0,38,Xavi Torres,xavi-torres,D,True,0.0,15.0,2.0,2.0,0.0,0.0,0.0,0.0,17.0,Carlos Castro,carlos-castro,F,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,14,0.0,,,,,,,,,,,,,
7127444,Home,4-1-4-1,Sergio Rico,sergio-rico,G,False,0,20,4,1,0,2,3,0,90,Mariano,mariano,D,False,0,31,3,2,0,0,0,0,90,Nicolás Pareja,nicolas-pareja,D,False,0,44,5,5,0,0,0,0,90,Adil Rami,adil-rami,D,False,0,61,13,9,2,0,0,0,90,Sergio Escudero,sergio-escudero,D,False,0,43,4,2,0,0,0,0,90,Steven​ N'Zonzi,steven-nzonzi,M,False,0,75,7,4,0,0,0,0,90,Samir Nasri,samir-nasri,M,False,0,63,4,3,0,0,0,0,90,Franco Vázquez,franco-vazquez,F,False,0,39,5,5,0,0,0,0,90,Ganso,ganso,M,False,0,17,0,0,0,0,0,0,45,Joaquín Correa,joaquin-correa,F,False,0,18,1,1,0,0,0,0,67,Wissam Ben Yedder,wissam-ben-yedder,F,False,0,6,0,0,0,0,0,0,66,Vitolo,vitolo,M,True,0,19,0,0,0,0,0,0,45,Carlos Fernández,carlos-fernandez,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Pablo Sarabia,pablo-sarabia,F,True,0.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,23.0,14,0.0,,,,,,,,,,,,,
7127444,Away,4-1-4-1,Javi Varas,javi-varas,G,False,0,14,32,9,2,4,5,0,90,Michel Macedo,michel-macedo,D,False,0,22,0,0,2,0,0,0,90,David García,david-garcia,D,False,0,18,2,1,3,0,0,0,90,Pedro Bigas,pedro-bigas,D,False,0,13,0,0,4,0,0,0,88,Dani Castellano,dani-castellano,D,False,0,14,1,0,5,0,0,0,90,Roque Mesa,roque-mesa,M,False,0,33,1,0,0,0,0,0,90,Nabil El Zhar,nabil-el-zhar,M,False,0,13,1,0,0,0,0,0,90,Tana,tana,M,False,0,23,1,1,0,0,0,0,76,Vicente Gómez,vicente-gomez,M,False,0,32,0,0,1,0,0,0,79,Mateo García,mateo-garcia,M,False,0,12,1,1,2,0,0,0,56,Marko Livaja,marko-livaja,F,False,0,13,1,0,0,0,0,0,90,Momo,momo,M,True,0,5,1,1,0,0,0,0,34,Sergio Araujo,sergio-araujo,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Ángel Montoro,angel-montoro,M,True,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,14,0.0,,,,,,,,,,,,,
7127427,Home,4-2-3-1,Gorka Iraizoz,gorka-iraizoz,G,False,0,20,20,10,2,1,1,0,90,Óscar de Marcos,oscar-de-marcos,D,False,0,23,6,3,1,0,0,0,90,Eneko Bóveda,eneko-boveda,D,False,0,31,5,2,3,0,0,0,90,Aymeric Laporte,aymeric-laporte,D,False,0,23,4,1,2,0,0,0,90,Mikel Balenziaga,mikel-balenziaga,D,False,0,20,5,2,1,0,0,0,90,Ander Iturraspe,ander-iturraspe,M,False,0,29,4,1,0,0,0,0,62,Beñat Etxebarria,benat-etxebarria,M,False,0,36,6,2,0,0,0,0,90,Iñaki Williams,inaki-williams,M,False,0,13,2,1,1,0,0,0,90,Javier Eraso,javier-eraso,M,False,0,12,1,1,0,0,0,0,62,Markel Susaeta,markel-susaeta,M,False,0,13,1,0,0,0,0,0,76,Aritz Aduriz,aritz-aduriz,F,False,0,19,1,1,0,0,0,0,90,Raúl García,raul-garcia,M,True,0,5,0,0,0,0,0,0,28,Mikel Vesga,mikel-vesga,M,True,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,28.0,Iker Muniain,iker-muniain,M,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14,0.0,,,,,,,,,,,,,
7127427,Away,4-3-3,Marc-André ter Stegen,marc-andre-ter-stegen,G,False,0,51,23,14,1,2,4,1,90,Sergi Roberto,sergi-roberto,D,False,0,55,7,3,2,0,0,0,90,Gerard Piqué,gerard-pique,D,False,0,65,11,4,9,0,0,0,90,Samuel Umtiti,samuel-umtiti,D,False,0,66,7,3,5,0,0,0,71,Jordi Alba,jordi-alba,D,False,0,46,3,3,4,0,0,0,90,Ivan Rakitić,ivan-rakitic,M,False,0,51,6,5,2,0,0,0,90,Sergio Busquets,sergio-busquets,M,False,0,54,7,6,0,0,0,0,90,Denis Suárez,denis-suarez,M,False,0,26,0,0,1,0,0,0,71,Lionel Messi,lionel-messi,F,False,0,38,5,5,0,0,0,0,90,Luis Suárez,luis-suarez,F,False,0,17,1,1,0,0,0,0,90,Arda Turan,arda-turan,M,False,0,23,2,1,1,0,0,0,84,Javier Mascherano,javier-mascherano,M,True,0,8,4,3,0,0,0,0,19,André Gomes,andre-gomes,M,True,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,19.0,Rafinha Alcântara,rafinha-alcantara,M,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14,0.0,,,,,,,,,,,,,
