EventId,Team,Formation,Player1_Name,Player1_code,Player1_Position,Player1_substitute,Player1_Rating,Player1_accuratePass,Player1_totalLongBalls,Player1_accurateLongBalls,Player1_totalClearance,Player1_savedShotsFromInsideTheBox,Player1_saves,Player1_punches,Player1_minutesPlayed,Player2_Name,Player2_code,Player2_Position,Player2_substitute,Player2_Rating,Player2_accuratePass,Player2_totalLongBalls,Player2_accurateLongBalls,Player2_totalClearance,Player2_savedShotsFromInsideTheBox,Player2_saves,Player2_punches,Player2_minutesPlayed,Player3_Name,Player3_code,Player3_Position,Player3_substitute,Player3_Rating,Player3_accuratePass,Player3_totalLongBalls,Player3_accurateLongBalls,Player3_totalClearance,Player3_savedShotsFromInsideTheBox,Player3_saves,Player3_punches,Player3_minutesPlayed,Player4_Name,Player4_code,Player4_Position,Player4_substitute,Player4_Rating,Player4_accuratePass,Player4_totalLongBalls,Player4_accurateLongBalls,Player4_totalClearance,Player4_savedShotsFromInsideTheBox,Player4_saves,Player4_punches,Player4_minutesPlayed,Player5_Name,Player5_code,Player5_Position,Player5_substitute,Player5_Rating,Player5_accuratePass,Player5_totalLongBalls,Player5_accurateLongBalls,Player5_totalClearance,Player5_savedShotsFromInsideTheBox,Player5_saves,Player5_punches,Player5_minutesPlayed,Player6_Name,Player6_code,Player6_Position,Player6_substitute,Player6_Rating,Player6_accuratePass,Player6_totalLongBalls,Player6_accurateLongBalls,Player6_totalClearance,Player6_savedShotsFromInsideTheBox,Player6_saves,Player6_punches,Player6_minutesPlayed,Player7_Name,Player7_code,Player7_Position,Player7_substitute,Player7_Rating,Player7_accuratePass,Player7_totalLongBalls,Player7_accurateLongBalls,Player7_totalClearance,Player7_savedShotsFromInsideTheBox,Player7_saves,Player7_punches,Player7_minutesPlayed,Player8_Name,Player8_code,Player8_Position,Player8_substitute,Player8_Rating,Player8_accuratePass,Player8_totalLongBalls,Player8_accurateLongBalls,Player8_totalClearance,Player8_savedShotsFromInsideTheBox,Player8_saves,Player8_punches,Player8_minutesPlayed,Player9_Name,Player9_code,Player9_Position,Player9_substitute,Player9_Rating,Player9_accuratePass,Player9_totalLongBalls,Player9_accurateLongBalls,Player9_totalClearance,Player9_savedShotsFromInsideTheBox,Player9_saves,Player9_punches,Player9_minutesPlayed,Player10_Name,Player10_code,Player10_Position,Player10_substitute,Player10_Rating,Player10_accuratePass,Player10_totalLongBalls,Player10_accurateLongBalls,Player10_totalClearance,Player10_savedShotsFromInsideTheBox,Player10_saves,Player10_punches,Player10_minutesPlayed,Player11_Name,Player11_code,Player11_Position,Player11_substitute,Player11_Rating,Player11_accuratePass,Player11_totalLongBalls,Player11_accurateLongBalls,Player11_totalClearance,Player11_savedShotsFromInsideTheBox,Player11_saves,Player11_punches,Player11_minutesPlayed,Player12_Name,Player12_code,Player12_Position,Player12_substitute,Player12_Rating,Player12_accuratePass,Player12_totalLongBalls,Player12_accurateLongBalls,Player12_totalClearance,Player12_savedShotsFromInsideTheBox,Player12_saves,Player12_punches,Player12_minutesPlayed,Player13_Name,Player13_code,Player13_Position,Player13_substitute,Player13_Rating,Player13_accuratePass,Player13_totalLongBalls,Player13_accurateLongBalls,Player13_totalClearance,Player13_savedShotsFromInsideTheBox,Player13_saves,Player13_punches,Player13_minutesPlayed,Player14_Name,Player14_code,Player14_Position,Player14_substitute,Player14_Rating,Player14_accuratePass,Player14_totalLongBalls,Player14_accurateLongBalls,Player14_totalClearance,Player14_savedShotsFromInsideTheBox,Player14_saves,Player14_punches,Player14_minutesPlayed,Player15_Name,Player15_code,Player15_Position,Player15_substitute,Player15_Rating,Player15_accuratePass,Player15_totalLongBalls,Player15_accurateLongBalls,Player15_totalClearance,Player15_savedShotsFromInsideTheBox,Player15_saves,Player15_punches,Player15_minutesPlayed,PlayerCount,AverageTeamRating,Player16_Name,Player16_code,Player16_Position,Player16_substitute,Player16_Rating,Player16_accuratePass,Player16_totalLongBalls,Player16_accurateLongBalls,Player16_totalClearance,Player16_savedShotsFromInsideTheBox,Player16_saves,Player16_punches,Player16_minutesPlayed
8738554,Home,4-4-2,Mike Maignan,mike-maignan,G,False,0,16,5,4,1,1,1,1,90,Jérémy Pied,jeremy-pied,D,False,0,30,2,2,2,0,0,0,83,José Fonte,jose-fonte,D,False,0,57,5,4,2,0,0,0,90,Sven Botman,sven-botman,D,False,0,61,11,4,4,0,0,0,90,Domagoj Bradarić,domagoj-bradaric,M,False,0,67,8,4,1,0,0,0,90,Jonathan Ikoné,jonathan-ikone,M,False,0,25,4,1,0,0,0,0,73,Benjamin André,benjamin-andre,M,False,0,47,0,0,0,0,0,0,86,Boubakary Soumaré,boubakary-soumare,M,False,0,61,4,1,0,0,0,0,90,Jonathan Bamba,jonathan-bamba,M,False,0,46,2,1,0,0,0,0,90,Burak Yılmaz,burak-yilmaz,F,False,0,13,0,0,1,0,0,0,90,Jonathan David,jonathan-david,F,False,0,22,0,0,0,0,0,0,83,Luiz Araújo,luiz-araujo,M,True,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,Zeki Çelik,zeki-celik,D,True,0.0,4.0,3.0,1.0,1.0,0.0,0.0,0.0,13.0,Timothy Weah,weah-timothy,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Yusuf Yazıcı,yusuf-yazici,M,True,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,15,0.0,,,,,,,,,,,,,
8738554,Away,5-4-1,Alexandre Oukidja,alexandre-oukidja,G,False,0,11,27,9,4,1,5,2,90,Fabien Centonze,fabien-centonze,D,False,0,20,2,1,2,0,0,0,90,Dylan Bronn,dylan-bronn,D,False,0,35,8,3,7,0,0,0,90,John Boye,john-boye,D,False,0,19,3,0,3,0,0,0,90,Mamadou Fofana,mamadou-fofana,D,False,0,26,9,3,5,0,0,0,89,Matthieu Udol,matthieu-udol,D,False,0,22,7,3,2,0,0,0,90,Habib Maïga,habib-maiga,M,False,0,26,7,3,3,0,0,0,90,Vincent Pajot,vincent-pajot,M,False,0,24,3,3,2,0,0,0,90,Victorien Angban,victorien-angban,M,False,0,35,7,6,0,0,0,0,89,Opa Nguette,opa-nguette,M,False,0,16,1,0,0,0,0,0,89,Ibrahima Niane,ibrahima-niane,F,False,0,12,0,0,1,0,0,0,67,Habib Diallo,habib-diallo,F,True,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,23.0,Warren Tchimbembé,warren-tchimbembe,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Papa Ndiaga Yade,papa-ndiaga-yade,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Lamine Gueye,lamine-gueye,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,0.0,,,,,,,,,,,,,
8738536,Home,4-3-3,Sergio Rico,sergio-rico,G,False,0,9,3,1,0,0,1,0,90,Alessandro Florenzi,alessandro-florenzi,D,False,0,37,3,2,0,0,0,0,84,Thilo Kehrer,thilo-kehrer,D,False,0,71,3,2,1,0,0,0,90,Presnel Kimpembe,presnel-kimpembe,D,False,0,67,1,1,1,0,0,0,90,Juan Bernat,juan-bernat,D,False,0,46,1,0,2,0,0,0,84,Ander Herrera,ander-herrera,M,False,0,25,2,0,0,0,0,0,61,Idrissa Gueye,idrissa-gueye,M,False,0,62,4,3,1,0,0,0,90,Marco Verratti,marco-verratti,M,False,0,56,12,7,0,0,0,0,71,Pablo Sarabia,pablo-sarabia,F,False,0,13,0,0,0,0,0,0,90,Ángel Di María,angel-di-maria,M,False,0,16,0,0,0,0,0,0,90,Neymar,neymar,M,False,0,25,4,3,0,0,0,0,90,Julian Draxler,julian-draxler,M,True,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,29.0,Leandro Paredes,leandro-paredes,M,True,0.0,20.0,2.0,2.0,1.0,0.0,0.0,0.0,26.0,Colin Dagba,dagba-colin,D,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Layvin Kurzawa,layvin-kurzawa,D,True,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,13.0,15,0.0,,,,,,,,,,,,,
8738536,Away,4-3-3,Steve Mandanda,steve-mandanda,G,False,0,16,26,14,0,3,4,0,90,Hiroki Sakai,hiroki-sakai,D,False,0,13,4,2,1,0,0,0,90,Álvaro González,alvaro-gonzalez,D,False,0,14,6,4,8,0,0,0,90,Duje Ćaleta-Car,duje-caleta-car,D,False,0,12,2,1,6,0,0,0,90,Jordan Amavi,jordan-amavi,D,False,0,21,5,1,5,0,0,0,90,Valentin Rongier,valentin-rongier,M,False,0,30,1,1,1,0,0,0,90,Boubacar Kamara,boubacar-kamara,M,False,0,23,11,7,3,0,0,0,90,Pape Gueye,pape-gueye,M,False,0,13,1,1,0,0,0,0,58,Florian Thauvin,florian-thauvin,F,False,0,14,1,1,0,0,0,0,77,Maxime López,maxime-lopez,M,False,0,17,1,0,1,0,0,0,68,Dimitri Payet,dimitri-payet,M,False,0,22,1,1,0,0,0,0,77,Darío Benedetto,dario-benedetto,F,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0,Kevin Strootman,kevin-strootman,M,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,Valère Germain,valere-germain,F,True,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,Nemanja Radonjić,nemanja-radonjic,F,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,15,0.0,,,,,,,,,,,,,
8738528,Home,4-1-4-1,Predrag Rajković,predrag-rajkovic,G,False,0,32,18,8,0,2,2,0,90,Dario Marešić,dario-maresic,D,False,0,38,8,2,1,0,0,0,90,Wout Faes,wout-faes,D,False,0,62,9,6,3,0,0,0,90,Yunis Abdelhamid,yunis-abdelhamid,D,False,0,86,9,5,0,0,0,0,90,Ghislain Konan,ghislain-konan,D,False,0,54,3,2,0,0,0,0,90,Moreto Cassama,moreto-cassama,M,False,0,54,11,6,0,0,0,0,76,Dereck Kutesa,dereck-kutesa,M,False,0,7,0,0,0,0,0,0,60,Xavier Chavalerin,xavier-chavalerin,M,False,0,43,1,0,0,0,0,0,90,Marshall Munetsi,marshall-munetsi,M,False,0,5,0,0,0,0,0,0,31,Mathieu Cafaro,mathieu-cafaro,M,False,0,12,0,0,0,0,0,0,60,El Bilal Touré,el-bilal-toure,F,False,0,7,0,0,0,0,0,0,76,Valon Berisha,valon-berisha,M,True,0.0,32.0,3.0,3.0,0.0,0.0,0.0,0.0,59.0,Arbër Zeneli,arber-zeneli,M,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,Anastasios Donis,anastasios-donis,M,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,Fraser Hornby,fraser-hornby,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16,0.0,Kaj Sierhuis,kaj-sierhuis,F,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
8738528,Away,4-4-2,Mike Maignan,mike-maignan,G,False,0,14,21,8,0,0,0,0,90,Zeki Çelik,zeki-celik,D,False,0,39,6,4,0,0,0,0,87,José Fonte,jose-fonte,D,False,0,55,7,4,1,0,0,0,90,Sven Botman,sven-botman,D,False,0,70,8,2,4,0,0,0,90,Domagoj Bradarić,domagoj-bradaric,M,False,0,33,3,1,2,0,0,0,90,Jonathan Ikoné,jonathan-ikone,M,False,0,16,1,0,0,0,0,0,79,Benjamin André,benjamin-andre,M,False,0,55,4,2,2,0,0,0,90,Xeka,xeka,M,False,0,65,3,3,0,0,0,0,90,Jonathan Bamba,jonathan-bamba,M,False,0,42,3,2,0,0,0,0,90,Burak Yılmaz,burak-yilmaz,F,False,0,10,0,0,1,0,0,0,79,Jonathan David,jonathan-david,F,False,0,8,1,0,1,0,0,0,69,Luiz Araújo,luiz-araujo,M,True,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,21.0,Yusuf Yazıcı,yusuf-yazici,M,True,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Timothy Weah,weah-timothy,M,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,Jérémy Pied,jeremy-pied,D,True,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,8.0,15,0.0,,,,,,,,,,,,,
8738541,Home,4-1-4-1,Paul Bernardoni,paul-bernardoni,G,False,0,8,2,1,2,5,5,0,90,Abdoulaye Bamba,abdoulaye-bamba,D,False,0,45,3,1,2,0,0,0,90,Ismaël Traoré,ismael-traore,D,False,0,76,10,8,2,0,0,0,90,Romain Thomas,romain-thomas,D,False,0,48,7,5,3,0,0,0,90,Souleyman Doumbia,souleyman-doumbia,D,False,0,32,3,1,1,0,0,0,90,Baptiste Santamaria,baptiste-santamaria,M,False,0,45,4,2,3,0,0,0,90,Farid El Melali,farid-el-melali,M,False,0,21,1,1,0,0,0,0,66,Angelo Fulgini,angelo-fulgini,F,False,0,61,2,2,0,0,0,0,89,Thomas Mangani,thomas-mangani,M,False,0,59,7,6,0,0,0,0,80,Sada Thioub,thioub-sada,M,False,0,36,5,4,0,0,0,0,81,Wilfried Kanga,wilfried-kanga,F,False,0,11,0,0,2,0,0,0,66,Pierrick Capelle,pierrick-capelle,M,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Stéphane Bahoken,stephane-bahoken,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Antonin Bobichon,antonin-bobichon,M,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,Mohamed-Ali Cho,mohamed-ali-cho,F,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16,0.0,Lassana Coulibaly,coulibaly-lassana,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8738541,Away,4-2-3-1,Benoît Costil,benoit-costil,G,False,0,13,22,6,1,2,2,0,90,Youssouf Sabaly,youssouf-sabaly,D,False,0,29,4,1,2,0,0,0,90,Paul Baysse,paul-baysse,D,False,0,51,4,3,6,0,0,0,90,Laurent Koscielny,laurent-koscielny,D,False,0,34,3,2,5,0,0,0,90,Loris Benito,loris-benito,D,False,0,31,4,0,5,0,0,0,90,Toma Bašić,toma-basic,M,False,0,38,6,5,1,0,0,0,90,Otávio,otavio,M,False,0,58,2,1,0,0,0,0,90,Ui-Jo Hwang,ui-jo-hwang,F,False,0,11,0,0,1,0,0,0,78,Nicolas de Préville,nicolas-de-preville,F,False,0,21,4,3,2,0,0,0,78,Rémi Oudin,remi-oudin,M,False,0,21,1,1,2,0,0,0,89,Josh Maja,josh-maja,F,False,0,11,0,0,0,0,0,0,66,Jimmy Briand,jimmy-briand,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,Rubén Pardo,ruben-pardo,M,True,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,Samuel Kalu,kalu-samuel,F,True,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,Maxime Poundjé,maxime-poundje,D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,0.0,,,,,,,,,,,,,
8738562,Home,4-2-3-1,Benoît Costil,benoit-costil,G,False,0,18,21,8,1,1,3,0,90,Youssouf Sabaly,youssouf-sabaly,D,False,0,47,2,1,1,0,0,0,90,Paul Baysse,paul-baysse,D,False,0,34,7,2,3,0,0,0,90,Laurent Koscielny,laurent-koscielny,D,False,0,29,2,1,4,0,0,0,90,Loris Benito,loris-benito,D,False,0,35,6,3,5,0,0,0,90,Toma Bašić,toma-basic,M,False,0,26,2,2,2,0,0,0,90,Otávio,otavio,M,False,0,26,4,2,2,0,0,0,90,Samuel Kalu,kalu-samuel,F,False,0,10,0,0,0,0,0,0,62,Nicolas de Préville,nicolas-de-preville,F,False,0,21,3,3,2,0,0,0,74,Rémi Oudin,remi-oudin,M,False,0,23,2,1,3,0,0,0,89,Ui-Jo Hwang,ui-jo-hwang,F,False,0,3,1,0,0,0,0,0,74,Yacine Adli,yacine-adli,M,True,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,28.0,Jimmy Briand,jimmy-briand,F,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Josh Maja,josh-maja,F,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Maxime Poundjé,maxime-poundje,D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15,0.0,,,,,,,,,,,,,
8738562,Away,3-4-3,Anthony Lopes,anthony-lopes,G,False,0,19,8,3,0,0,0,0,90,Joachim Andersen,joachim-andersen,D,False,0,34,10,5,3,0,0,0,90,Marcelo,marcelo,D,False,0,53,16,9,5,0,0,0,90,Jason Denayer,jason-denayer,D,False,0,67,3,2,4,0,0,0,90,Léo Dubois,leo-dubois,D,False,0,24,3,1,0,0,0,0,90,Maxence Caqueret,maxence-caqueret,M,False,0,40,3,2,1,0,0,0,90,Bruno Guimarães,bruno-guimaraes,M,False,0,39,4,1,0,0,0,0,59,Maxwel Cornet,maxwel-cornet,F,False,0,34,6,2,4,0,0,0,90,Karl Toko Ekambi,karl-toko-ekambi,F,False,0,12,2,1,0,0,0,0,83,Memphis Depay,memphis-depay,F,False,0,13,2,2,0,0,0,0,73,Moussa Dembélé,moussa-dembele,F,False,0,14,0,0,0,0,0,0,59,Thiago Mendes,thiago-mendes,M,True,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,31.0,Houssem Aouar,aouar-houssem,M,True,0.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,31.0,Tino Kadewere,tino-kadewere,F,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,Rayan Cherki,cherki-rayan,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,15,0.0,,,,,,,,,,,,,
