EventId,Team,Formation,Player1_Name,Player1_code,Player1_Position,Player1_substitute,Player1_Rating,Player1_accuratePass,Player1_totalLongBalls,Player1_accurateLongBalls,Player1_totalClearance,Player1_savedShotsFromInsideTheBox,Player1_saves,Player1_punches,Player1_minutesPlayed,Player2_Name,Player2_code,Player2_Position,Player2_substitute,Player2_Rating,Player2_accuratePass,Player2_totalLongBalls,Player2_accurateLongBalls,Player2_totalClearance,Player2_savedShotsFromInsideTheBox,Player2_saves,Player2_punches,Player2_minutesPlayed,Player3_Name,Player3_code,Player3_Position,Player3_substitute,Player3_Rating,Player3_accuratePass,Player3_totalLongBalls,Player3_accurateLongBalls,Player3_totalClearance,Player3_savedShotsFromInsideTheBox,Player3_saves,Player3_punches,Player3_minutesPlayed,Player4_Name,Player4_code,Player4_Position,Player4_substitute,Player4_Rating,Player4_accuratePass,Player4_totalLongBalls,Player4_accurateLongBalls,Player4_totalClearance,Player4_savedShotsFromInsideTheBox,Player4_saves,Player4_punches,Player4_minutesPlayed,Player5_Name,Player5_code,Player5_Position,Player5_substitute,Player5_Rating,Player5_accuratePass,Player5_totalLongBalls,Player5_accurateLongBalls,Player5_totalClearance,Player5_savedShotsFromInsideTheBox,Player5_saves,Player5_punches,Player5_minutesPlayed,Player6_Name,Player6_code,Player6_Position,Player6_substitute,Player6_Rating,Player6_accuratePass,Player6_totalLongBalls,Player6_accurateLongBalls,Player6_totalClearance,Player6_savedShotsFromInsideTheBox,Player6_saves,Player6_punches,Player6_minutesPlayed,Player7_Name,Player7_code,Player7_Position,Player7_substitute,Player7_Rating,Player7_accuratePass,Player7_totalLongBalls,Player7_accurateLongBalls,Player7_totalClearance,Player7_savedShotsFromInsideTheBox,Player7_saves,Player7_punches,Player7_minutesPlayed,Player8_Name,Player8_code,Player8_Position,Player8_substitute,Player8_Rating,Player8_accuratePass,Player8_totalLongBalls,Player8_accurateLongBalls,Player8_totalClearance,Player8_savedShotsFromInsideTheBox,Player8_saves,Player8_punches,Player8_minutesPlayed,Player9_Name,Player9_code,Player9_Position,Player9_substitute,Player9_Rating,Player9_accuratePass,Player9_totalLongBalls,Player9_accurateLongBalls,Player9_totalClearance,Player9_savedShotsFromInsideTheBox,Player9_saves,Player9_punches,Player9_minutesPlayed,Player10_Name,Player10_code,Player10_Position,Player10_substitute,Player10_Rating,Player10_accuratePass,Player10_totalLongBalls,Player10_accurateLongBalls,Player10_totalClearance,Player10_savedShotsFromInsideTheBox,Player10_saves,Player10_punches,Player10_minutesPlayed,Player11_Name,Player11_code,Player11_Position,Player11_substitute,Player11_Rating,Player11_accuratePass,Player11_totalLongBalls,Player11_accurateLongBalls,Player11_totalClearance,Player11_savedShotsFromInsideTheBox,Player11_saves,Player11_punches,Player11_minutesPlayed,Player12_Name,Player12_code,Player12_Position,Player12_substitute,Player12_Rating,Player12_accuratePass,Player12_totalLongBalls,Player12_accurateLongBalls,Player12_totalClearance,Player12_savedShotsFromInsideTheBox,Player12_saves,Player12_punches,Player12_minutesPlayed,Player13_Name,Player13_code,Player13_Position,Player13_substitute,Player13_Rating,Player13_accuratePass,Player13_totalLongBalls,Player13_accurateLongBalls,Player13_totalClearance,Player13_savedShotsFromInsideTheBox,Player13_saves,Player13_punches,Player13_minutesPlayed,Player14_Name,Player14_code,Player14_Position,Player14_substitute,Player14_Rating,Player14_accuratePass,Player14_totalLongBalls,Player14_accurateLongBalls,Player14_totalClearance,Player14_savedShotsFromInsideTheBox,Player14_saves,Player14_punches,Player14_minutesPlayed,Player15_Name,Player15_code,Player15_Position,Player15_substitute,Player15_Rating,Player15_accuratePass,Player15_totalLongBalls,Player15_accurateLongBalls,Player15_totalClearance,Player15_savedShotsFromInsideTheBox,Player15_saves,Player15_punches,Player15_minutesPlayed,Player16_Name,Player16_code,Player16_Position,Player16_substitute,Player16_Rating,Player16_accuratePass,Player16_totalLongBalls,Player16_accurateLongBalls,Player16_totalClearance,Player16_savedShotsFromInsideTheBox,Player16_saves,Player16_punches,Player16_minutesPlayed,PlayerCount,AverageTeamRating,Player17_Name,Player17_code,Player17_Position,Player17_substitute,Player17_Rating,Player17_accuratePass,Player17_totalLongBalls,Player17_accurateLongBalls,Player17_totalClearance,Player17_savedShotsFromInsideTheBox,Player17_saves,Player17_punches,Player17_minutesPlayed,Player19_Name,Player19_code,Player19_Position,Player19_substitute,Player19_Rating,Player19_accuratePass,Player19_totalLongBalls,Player19_accurateLongBalls,Player19_totalClearance,Player19_savedShotsFromInsideTheBox,Player19_saves,Player19_punches,Player19_minutesPlayed
9595126,Home,4-3-3,Alfred Gomis,alfred-gomis,G,False,0,26,8,3,0,3,5,0,90,Hamari Traoré,hamari-traore,D,False,0,53,7,3,1,0,0,0,90,Loïc Badé,loic-bade,D,False,0.0,74.0,4.0,3.0,5.0,0.0,0.0,0.0,90.0,Nayef Aguerd,nayef-aguerd,D,False,0,87,10,8,3,0,0,0,90,Birger Meling,birger-meling,D,False,0,45,8,5,0,0,0,0,90,Eduardo Camavinga,camavinga-eduardo,M,False,0,30,4,4,2,0,0,0,69,Lesley Ugochukwu,lesley-ugochukwu,M,False,0,48,6,3,0,0,0,0,86,Flavien Tait,flavien-tait,M,False,0,42,6,4,0,0,0,0,90,Benjamin Bourigeaud,benjamin-bourigeaud,M,False,0,25,6,4,2,0,0,0,85,Martin Terrier,martin-terrier,F,False,0.0,15.0,3.0,3.0,1.0,0.0,0.0,0.0,86.0,Kamaldeen Sulemana,kamaldeen-sulemana,M,False,0,10,1,1,0,0,0,0,58,Jérémy Doku,jeremy-doku,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,Serhou Guirassy,serhou-guirassy,F,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,Romain Del Castillo,romain-del-castillo,M,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,Andy Diouf,andy-diouf,M,True,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,Matthis Abline,abline-matthis,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9595126,Away,3-4-1-2,Jean-Louis Leca,jean-louis-leca,G,False,0,19,16,7,0,0,1,0,90,Steven Fortes,steven-fortes,D,False,0,27,6,5,4,0,0,0,90,Christopher Wooh,christopher-wooh,D,False,0.0,27.0,4.0,3.0,1.0,0.0,0.0,0.0,86.0,Ismaël Boura,ismael-boura,D,False,0,55,9,4,5,0,0,0,90,Jonathan Clauss,jonathan-clauss,D,False,0,27,3,2,0,0,0,0,90,Cheick Doucouré,cheick-doucoure,M,False,0,29,6,3,0,0,0,0,90,Seko Fofana,seko-fofana,M,False,0,34,4,1,3,0,0,0,90,Deiver Machado,deiver-machado,M,False,0,11,1,1,1,0,0,0,66,Gaël Kakuta,gael-kakuta,M,False,0,26,2,1,0,0,0,0,82,Simon Banza,simon-banza,F,False,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,65.0,Ignatius Ganago,ignatius-ganago,F,False,0,4,1,0,0,0,0,0,82,Florian Sotoca,florian-sotoca,F,True,0.0,11.0,1.0,1.0,0.0,0.0,0.0,0.0,25.0,Przemysław Frankowski,przemyslaw-frankowski,M,True,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,Yannick Cahuzac,yannick-cahuzac,M,True,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,Corentin Jean,corentin-jean,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Kevin Danso,danso-kevin,D,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9594641,Home,4-3-3,Anthony Lopes,anthony-lopes,G,False,0,19,2,2,0,4,6,0,90,Malo Gusto,gusto-malo,D,False,0,85,2,1,1,0,0,0,90,Marcelo,marcelo,D,False,0.0,103.0,6.0,4.0,5.0,0.0,0.0,0.0,90.0,Castello Lukeba,castello-lukeba,D,False,0,97,1,0,2,0,0,0,90,Léo Dubois,leo-dubois,D,False,0,77,10,6,1,0,0,0,90,Maxence Caqueret,maxence-caqueret,M,False,0,44,3,1,1,0,0,0,90,Thiago Mendes,thiago-mendes,M,False,0,32,1,0,0,0,0,0,60,Houssem Aouar,aouar-houssem,M,False,0,48,3,2,0,0,0,0,90,Karl Toko Ekambi,karl-toko-ekambi,F,False,0,33,3,2,0,0,0,0,90,Moussa Dembélé,moussa-dembele,F,False,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,90.0,Rayan Cherki,cherki-rayan,M,False,0,27,2,0,0,0,0,0,60,Lucas Paquetá,lucas-paqueta,M,True,0.0,20.0,4.0,1.0,0.0,0.0,0.0,0.0,30.0,Islam Slimani,islam-slimani,F,True,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9594641,Away,4-2-3-1,Marco Bizot,marco-bizot,G,False,0,26,14,7,2,3,3,1,90,Ronaël Pierre-Gabriel,ronael-pierre-gabriel,D,False,0,10,3,2,3,0,0,0,77,Brendan Chardonnet,brendan-chardonnet,D,False,0.0,24.0,12.0,6.0,5.0,0.0,0.0,0.0,90.0,Lilian Brassier,lilian-brassier,D,False,0,29,11,6,3,0,0,0,90,Jere Uronen,jere-uronen,D,False,0,19,4,1,2,0,0,0,90,Haris Belkebla,haris-belkebla,M,False,0,0,1,0,1,0,0,0,18,Hianga'a M'Bock,hiangaa-mbock,M,False,0,19,1,1,2,0,0,0,90,Franck Honorat,franck-honorat,M,False,0,18,1,1,1,0,0,0,78,Romain Faivre,romain-faivre,F,False,0,26,1,1,0,0,0,0,90,Irvin Cardona,irvin-cardona,F,False,0.0,12.0,3.0,2.0,2.0,0.0,0.0,0.0,64.0,Steve Mounié,steve-mounie,F,False,0,13,0,0,0,0,0,0,90,Hugo Magnetti,hugo-magnetti,M,True,0.0,22.0,8.0,4.0,1.0,0.0,0.0,0.0,72.0,Jérémy Le Douaron,jeremy-le-douaron,M,True,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,26.0,Julien Faussurier,julien-faussurier,D,True,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,Jean-Kevin Duverne,jean-kevin-duverne,D,True,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9595232,Home,4-4-1-1,Alexander Nübel,alexander-nubel,G,False,0,22,19,8,0,0,0,0,90,Ruben Aguilar,ruben-aguilar,M,False,0,69,3,3,1,0,0,0,83,Axel Disasi,axel-disasi,D,False,0.0,66.0,3.0,1.0,2.0,0.0,0.0,0.0,90.0,Strahinja Pavlović,strahinja-pavlovic,D,False,0,79,11,4,2,0,0,0,90,Caio Henrique,caio-henrique,D,False,0,41,7,1,0,0,0,0,90,Aleksandr Golovin,aleksandr-golovin,M,False,0,38,0,0,0,0,0,0,86,Aurélien Tchouaméni,aurelien-tchouameni,M,False,0,44,1,1,0,0,0,0,63,Jean Lucas,jean-lucas,M,False,0,61,5,5,0,0,0,0,90,Krépin Diatta,krepin-diatta,M,False,0,16,0,0,0,0,0,0,63,Sofiane Diop,sofiane-diop,F,False,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,76.0,Wissam Ben Yedder,wissam-ben-yedder,F,False,0,9,1,0,0,0,0,0,63,Gelson Martins,gelson-martins,M,True,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,Kevin Volland,kevin-volland,F,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,Myron Boadu,myron-boadu,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,Cesc Fàbregas,cesc-fabregas,M,True,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,14.0,Djibril Sidibé,djibril-sidibe,D,True,0.0,5.0,1.0,0.0,1.0,0.0,0.0,0.0,12.0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9595232,Away,3-4-1-2,Jean-Louis Leca,jean-louis-leca,G,False,0,10,23,8,1,0,2,1,90,Jonathan Gradit,jonathan-gradit,D,False,0,22,4,3,4,0,0,0,90,Kevin Danso,danso-kevin,D,False,0.0,16.0,4.0,2.0,9.0,0.0,0.0,0.0,90.0,Facundo Medina,facundo-medina,D,False,0,23,8,4,3,0,0,0,90,Jonathan Clauss,jonathan-clauss,D,False,0,24,4,1,4,0,0,0,90,Cheick Doucouré,cheick-doucoure,M,False,0,13,0,0,1,0,0,0,60,Seko Fofana,seko-fofana,M,False,0,18,2,2,1,0,0,0,90,Deiver Machado,deiver-machado,M,False,0,10,0,0,3,0,0,0,45,Gaël Kakuta,gael-kakuta,M,False,0,14,3,3,0,0,0,0,75,Florian Sotoca,florian-sotoca,F,False,0.0,9.0,1.0,1.0,3.0,0.0,0.0,0.0,75.0,Ignatius Ganago,ignatius-ganago,F,False,0,3,0,0,0,0,0,0,65,Przemysław Frankowski,przemyslaw-frankowski,M,True,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,45.0,Yannick Cahuzac,yannick-cahuzac,M,True,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,25.0,Massadio Haïdara,massadio-haidara,D,True,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,14.0,Simon Banza,simon-banza,F,True,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,15.0,Ismaël Boura,ismael-boura,D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9595237,Home,5-3-2,Paul Nardi,paul-nardi,G,False,0,7,21,4,0,2,3,0,90,Igor Silva,igor-silva,D,False,0,16,6,2,5,0,0,0,90,Houboulang Mendes,houboulang-mendes,D,False,0.0,10.0,5.0,1.0,6.0,0.0,0.0,0.0,90.0,Julien Laporte,julien-laporte,D,False,0,12,4,2,10,0,0,0,90,Jérémy Morel,jeremy-morel,D,False,0,14,9,1,5,0,0,0,90,Vincent Le Goff,vincent-le-goff,D,False,0,16,5,1,3,0,0,0,90,Thomas Monconduit,thomas-monconduit,M,False,0,15,2,1,3,0,0,0,68,Fabien Lemoine,fabien-lemoine,M,False,0,24,5,3,2,0,0,0,85,Laurent Abergel,laurent-abergel,M,False,0,14,4,0,0,0,0,0,90,Terem Moffi,terem-moffi,F,False,0.0,7.0,1.0,0.0,2.0,0.0,0.0,0.0,85.0,Armand Laurienté,armand-lauriente,M,False,0,11,0,0,0,0,0,0,84,Enzo Le Fée,enzo-le-fee,M,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,Pierre-Yves Hamel,pierre-yves-hamel,F,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,Redwan Bourles,redwan-bourles,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,Adrian Grbić,adrian-grbic,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9595237,Away,3-4-3,Alexander Nübel,alexander-nubel,G,False,0,21,10,9,0,0,1,0,90,Djibril Sidibé,djibril-sidibe,D,False,0,72,10,6,1,0,0,0,90,Axel Disasi,axel-disasi,D,False,0.0,78.0,13.0,9.0,1.0,0.0,0.0,0.0,90.0,Strahinja Pavlović,strahinja-pavlovic,D,False,0,64,6,3,3,0,0,0,90,Gelson Martins,gelson-martins,M,False,0,11,0,0,0,0,0,0,68,Jean Lucas,jean-lucas,M,False,0,38,6,3,0,0,0,0,57,Aurélien Tchouaméni,aurelien-tchouameni,M,False,0,73,12,7,0,0,0,0,90,Ismail Jakobs,ismail-jakobs,D,False,0,34,2,1,0,0,0,0,57,Sofiane Diop,sofiane-diop,F,False,0,31,3,1,0,0,0,0,68,Myron Boadu,myron-boadu,F,False,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,Kevin Volland,kevin-volland,F,False,0,21,4,1,0,0,0,0,90,Caio Henrique,caio-henrique,D,True,0.0,20.0,2.0,0.0,0.0,0.0,0.0,0.0,33.0,Aleksandr Golovin,aleksandr-golovin,M,True,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,Wissam Ben Yedder,wissam-ben-yedder,F,True,0.0,7.0,2.0,1.0,0.0,0.0,0.0,0.0,33.0,Cesc Fàbregas,cesc-fabregas,M,True,0.0,24.0,4.0,2.0,0.0,0.0,0.0,0.0,22.0,Krépin Diatta,krepin-diatta,M,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9595268,Home,5-3-2,Matz Sels,matz-sels,G,False,0,13,2,1,1,5,5,0,90,Karol Fila,karol-fila,D,False,0,26,0,0,0,0,0,0,63,Lucas Perrin,lucas-perrin,D,False,0.0,67.0,7.0,4.0,2.0,0.0,0.0,0.0,90.0,Ibrahima Sissoko,ibrahima-sissoko,M,False,0,71,13,6,0,0,0,0,90,Anthony Caci,anthony-caci,M,False,0,85,5,2,1,0,0,0,90,Dimitri Liénard,dimitri-lienard,M,False,0,42,4,4,0,0,0,0,90,Adrien Thomasson,adrien-thomasson,F,False,0,48,4,3,0,0,0,0,90,Sanjin Prcić,sanjin-prcic,M,False,0,34,3,3,0,0,0,0,63,Jean-Ricner Bellegarde,jean-ricner-bellegarde,M,False,0,35,2,1,1,0,0,0,90,Ludovic Ajorque,ludovic-ajorque,F,False,0.0,17.0,3.0,2.0,0.0,0.0,0.0,0.0,90.0,Kévin Gameiro,kevin-gameiro,F,False,0,19,3,1,0,0,0,0,90,Majeed Waris,majeed-waris,M,True,0.0,11.0,3.0,2.0,1.0,0.0,0.0,0.0,27.0,Habib Diallo,habib-diallo,F,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
9595268,Away,3-4-2-1,Gauthier Gallon,gauthier-gallon,G,False,0,23,32,10,2,3,3,1,90,Oualid El Hajjam,oualid-el-hajjam,D,False,0,22,8,1,1,0,0,0,87,Jimmy Giraudon,jimmy-giraudon,D,False,0.0,39.0,9.0,4.0,4.0,0.0,0.0,0.0,90.0,Yoann Salmier,yoann-salmier,D,False,0,33,6,2,7,0,0,0,90,Giulian Biancone,giulian-biancone,D,False,0,20,3,1,3,0,0,0,90,Rominigue Kouamé,rominigue-kouame,M,False,0,32,1,0,0,0,0,0,90,Florian Tardieu,florian-tardieu,M,False,0,49,11,6,1,0,0,0,90,Renaud Ripart,renaud-ripart,F,False,0,17,5,2,1,0,0,0,68,Dylan Chambost,dylan-chambost,M,False,0,16,3,2,0,0,0,0,72,Mama Baldé,mama-balde,F,False,0.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,87.0,Yoann Touzghar,yoann-touzghar,F,False,0,10,0,0,0,0,0,0,72,Karim Azamoum,karim-azamoum,M,True,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,22.0,Brandon Domingues,brandon-domingues,M,True,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,Levi Lumeka,levi-lumeka,F,True,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,Nassim Chadli,nassim-chadli,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Mykola Kukharevych,mykola-kukharevych,F,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
