EventId,Team,Formation,Player1_Name,Player1_code,Player1_Position,Player1_substitute,Player1_Rating,Player1_accuratePass,Player1_totalLongBalls,Player1_accurateLongBalls,Player1_totalClearance,Player1_savedShotsFromInsideTheBox,Player1_saves,Player1_punches,Player1_minutesPlayed,Player2_Name,Player2_code,Player2_Position,Player2_substitute,Player2_Rating,Player2_accuratePass,Player2_totalLongBalls,Player2_accurateLongBalls,Player2_totalClearance,Player2_savedShotsFromInsideTheBox,Player2_saves,Player2_punches,Player2_minutesPlayed,Player3_Name,Player3_code,Player3_Position,Player3_substitute,Player3_Rating,Player3_accuratePass,Player3_totalLongBalls,Player3_accurateLongBalls,Player3_totalClearance,Player3_savedShotsFromInsideTheBox,Player3_saves,Player3_punches,Player3_minutesPlayed,Player4_Name,Player4_code,Player4_Position,Player4_substitute,Player4_Rating,Player4_accuratePass,Player4_totalLongBalls,Player4_accurateLongBalls,Player4_totalClearance,Player4_savedShotsFromInsideTheBox,Player4_saves,Player4_punches,Player4_minutesPlayed,Player5_Name,Player5_code,Player5_Position,Player5_substitute,Player5_Rating,Player5_accuratePass,Player5_totalLongBalls,Player5_accurateLongBalls,Player5_totalClearance,Player5_savedShotsFromInsideTheBox,Player5_saves,Player5_punches,Player5_minutesPlayed,Player6_Name,Player6_code,Player6_Position,Player6_substitute,Player6_Rating,Player6_accuratePass,Player6_totalLongBalls,Player6_accurateLongBalls,Player6_totalClearance,Player6_savedShotsFromInsideTheBox,Player6_saves,Player6_punches,Player6_minutesPlayed,Player7_Name,Player7_code,Player7_Position,Player7_substitute,Player7_Rating,Player7_accuratePass,Player7_totalLongBalls,Player7_accurateLongBalls,Player7_totalClearance,Player7_savedShotsFromInsideTheBox,Player7_saves,Player7_punches,Player7_minutesPlayed,Player8_Name,Player8_code,Player8_Position,Player8_substitute,Player8_Rating,Player8_accuratePass,Player8_totalLongBalls,Player8_accurateLongBalls,Player8_totalClearance,Player8_savedShotsFromInsideTheBox,Player8_saves,Player8_punches,Player8_minutesPlayed,Player9_Name,Player9_code,Player9_Position,Player9_substitute,Player9_Rating,Player9_accuratePass,Player9_totalLongBalls,Player9_accurateLongBalls,Player9_totalClearance,Player9_savedShotsFromInsideTheBox,Player9_saves,Player9_punches,Player9_minutesPlayed,Player10_Name,Player10_code,Player10_Position,Player10_substitute,Player10_Rating,Player10_accuratePass,Player10_totalLongBalls,Player10_accurateLongBalls,Player10_totalClearance,Player10_savedShotsFromInsideTheBox,Player10_saves,Player10_punches,Player10_minutesPlayed,Player11_Name,Player11_code,Player11_Position,Player11_substitute,Player11_Rating,Player11_accuratePass,Player11_totalLongBalls,Player11_accurateLongBalls,Player11_totalClearance,Player11_savedShotsFromInsideTheBox,Player11_saves,Player11_punches,Player11_minutesPlayed,Player12_Name,Player12_code,Player12_Position,Player12_substitute,Player12_Rating,Player12_accuratePass,Player12_totalLongBalls,Player12_accurateLongBalls,Player12_totalClearance,Player12_savedShotsFromInsideTheBox,Player12_saves,Player12_punches,Player12_minutesPlayed,Player13_Name,Player13_code,Player13_Position,Player13_substitute,Player13_Rating,Player13_accuratePass,Player13_totalLongBalls,Player13_accurateLongBalls,Player13_totalClearance,Player13_savedShotsFromInsideTheBox,Player13_saves,Player13_punches,Player13_minutesPlayed,Player14_Name,Player14_code,Player14_Position,Player14_substitute,Player14_Rating,Player14_accuratePass,Player14_totalLongBalls,Player14_accurateLongBalls,Player14_totalClearance,Player14_savedShotsFromInsideTheBox,Player14_saves,Player14_punches,Player14_minutesPlayed,PlayerCount,AverageTeamRating,Player18_Name,Player18_code,Player18_Position,Player18_substitute,Player18_Rating,Player18_accuratePass,Player18_totalLongBalls,Player18_accurateLongBalls,Player18_totalClearance,Player18_savedShotsFromInsideTheBox,Player18_saves,Player18_punches,Player18_minutesPlayed,Player16_Name,Player16_code,Player16_Position,Player16_substitute,Player16_Rating,Player16_accuratePass,Player16_totalLongBalls,Player16_accurateLongBalls,Player16_totalClearance,Player16_savedShotsFromInsideTheBox,Player16_saves,Player16_punches,Player16_minutesPlayed
7700737,Home,4-2-3-1,Paulo Garces,paulo-garces,G,False,0,14,14,8,0,0,0,0,90,Paulo Magalhaes,paulo-magalhaes,D,False,0,31,5,3,0,0,0,0,90,Tomás Astaburuaga,tomas-astaburuaga,D,False,0,24,11,5,3,0,0,0,90,Cristián Rojas,cristian-rojas,D,False,0,18,7,6,3,0,0,0,90,Patricio Jerez,patricio-jerez,D,False,0,24,4,2,3,0,0,0,90,Michael Lepe,michael-lepe,M,False,0,33,3,2,0,0,0,0,90,Gabriel Sandoval,gabriel-sandoval,M,False,0,23,3,2,0,0,0,0,85,Augusto Barrios,augusto-barrios,D,False,0,19,1,0,1,0,0,0,62,Renato González,renato-gonzalez,M,False,0,26,6,4,0,0,0,0,90,Eduard Bello,eduard-bello,M,False,0,8,0,0,0,0,0,0,71,Flavio Ciampichetti,flavio-ciampichetti,F,False,0,18,1,0,4,0,0,0,90,Felipe Flores,felipe-flores,F,True,0,0,0,0,0,0,0,0,28,Jason Flores,jason-flores,M,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,Luis Valenzuela,luis-valenzuela,M,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7700737,Away,3-4-1-2,Agustín Orión,agustin-orion,G,False,0,15,19,8,1,1,4,0,90,Matías Zaldivia,matias-zaldivia,D,False,0,23,15,9,6,0,0,0,90,Julio Barroso,julio-barroso,D,False,0,19,5,2,6,0,0,0,90,Felipe Campos,felipe-campos,D,False,0,18,5,1,3,0,0,0,90,Óscar Opazo,oscar-opazo,D,False,0,12,1,0,1,0,0,0,90,Claudio Baeza,claudio-baeza,M,False,0,28,4,4,3,0,0,0,90,Jaime Valdés,jaime-valdes,M,False,0,29,10,6,1,0,0,0,90,Brayan Véjar,brayan-vejar,D,False,0,13,2,1,1,0,0,0,70,Carlo Villanueva,carlo-villanueva,M,False,0,12,1,1,1,0,0,0,61,Esteban Paredes,esteban-paredes,F,False,0,9,1,0,1,0,0,0,85,Nicolás Orellana,nicolas-orellana,F,False,0,18,2,2,2,0,0,0,90,Jorge Valdivia,jorge-valdivia,M,True,0,8,1,1,0,0,0,0,29,Benjamín Berríos,benjamin-berrios,M,True,0.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,Jorge Araya,jorge-araya,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7701582,Home,4-3-3,Nicolas Peric,nicolas-peric,G,False,0,23,29,15,0,0,2,0,90,Osvaldo Bosso,osvaldo-bosso,D,False,0,21,6,1,3,0,0,0,90,Carlos Labrín,carlos-labrin,D,False,0,20,12,6,1,0,0,0,90,Ricardo Escobar,ricardo-escobar,D,False,0,32,10,6,1,0,0,0,90,Nicolás Crovetto,nicolas-crovetto,D,False,0,27,12,6,3,0,0,0,90,Fernando Cornejo,fernando-cornejo,M,False,0,21,3,2,0,0,0,0,90,Iván Vásquez,ivan-vasquez,M,False,0,17,1,1,0,0,0,0,73,Joe Abrigo,joe-abrigo,M,False,0,9,0,0,0,0,0,0,90,Ariel Martínez,ariel-martinez,M,False,0,14,1,0,0,0,0,0,65,Sebastián Abreu,sebastian-abreu,F,False,0,12,3,0,0,0,0,0,90,Jorge Faundez,faundez-jorge,M,False,0,8,0,0,0,0,0,0,45,Bryan Carrasco,bryan-carrasco,M,True,0,5,1,0,0,0,0,0,45,Ignacio Jeraldino,ignacio-jeraldino,F,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,Juan Leiva,juan-leiva,M,True,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,17.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7701582,Away,4-2-3-1,Carlos Lampe,carlos-lampe,G,False,0,17,19,7,0,1,1,0,90,Jose Bizama,jose-bizama,D,False,0,22,6,3,3,0,0,0,90,Federico Pereyra,federico-pereyra,D,False,0,25,8,4,7,0,0,0,90,Valber Huerta,valber-huerta,D,False,0,25,10,3,9,0,0,0,90,Claudio Jopia,claudio-jopia,D,False,0,20,4,4,6,0,0,0,90,Claudio Sepúlveda,claudio-sepulveda,M,False,0,35,8,5,2,0,0,0,90,Leonardo Povea,leonardo-povea,M,False,0,26,8,4,3,0,0,0,90,José Caraballo,jose-caraballo,F,False,0,20,0,0,1,0,0,0,55,César Valenzuela,cesar-valenzuela,M,False,0,30,3,2,0,0,0,0,90,Jimmy Martínez,jimmy-martinez,M,False,0,13,0,0,0,0,0,0,76,Sergio Bareiro,bareiro-sergio,F,False,0,19,2,1,0,0,0,0,69,Javier Altamirano,javier-altamirano,M,True,0,8,0,0,0,0,0,0,35,Gabriel Torres,gabriel-torres,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,Sebastián Martínez,sebastian-martinez,M,True,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7704354,Home,4-3-3,Matías Dituro,matias-dituro,G,False,0,39,14,11,0,0,1,0,90,José Pedro Fuenzalida,jose-pedro-fuenzalida,F,False,0,45,10,4,3,0,0,0,90,Benjamin Kuscevic,benjamin-kuscevic,D,False,0,58,4,2,8,0,0,0,90,Branco Ampuero,branco-ampuero,D,False,0,60,5,4,8,0,0,0,90,Fernando Cordero,fernando-cordero,D,False,0,51,9,6,0,0,0,0,90,Marcos Bolados,marcos-bolados,F,False,0,25,0,0,0,0,0,0,77,Jaime Carreño,jaime-carreno,M,False,0,42,5,1,0,0,0,0,66,Luciano Aued,luciano-aued,M,False,0,79,15,9,0,0,0,0,90,Diego Buonanotte,diego-buonanotte,M,False,0,40,3,2,0,0,0,0,90,David Llanos,david-llanos,F,False,0,5,1,1,0,0,0,0,90,David Henríquez,david-henriquez,F,False,0,13,1,0,0,0,0,0,74,Diego Rojas,diego-rojas,F,True,0,12,1,1,0,0,0,0,24,Andrés Vilches,andres-vilches,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,César Fuentes,cesar-fuentes,M,True,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7704354,Away,4-3-3,Gabriel Arias,gabriel-arias,G,False,0,12,20,7,1,2,2,1,90,Matías Navarrete,matias-navarrete,D,False,0,14,4,0,2,0,0,0,90,Pablo Alvarado,pablo-alvarado,D,False,0,20,8,6,7,0,0,0,81,Ángel Rodríguez,angel-rodriguez,M,False,0,20,7,4,6,0,0,0,90,Gonzalo Barriga,gonzalo-barriga,D,False,0,17,5,3,6,0,0,0,90,Yonathan Andía,yonathan-andia,D,False,0,18,1,1,1,0,0,0,80,Fernando Saavedra,fernando-saavedra,M,False,0,22,4,1,1,0,0,0,90,Álvaro Césped,alvaro-cesped,M,False,0,17,5,3,0,0,0,0,90,Francisco Castro,francisco-castro,F,False,0,10,0,0,1,0,0,0,75,Gonzalo Abán,gonzalo-aban,F,False,0,12,0,0,4,0,0,0,90,Mariano Barbieri,mariano-barbieri,M,False,0,21,0,0,0,0,0,0,90,Gonzalo Jara,gonzalo-jara,M,True,0,6,0,0,0,0,0,0,15,Daniel Castro,daniel-castro,F,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7704335,Home,3-4-3,Johnny Herrera,johnny-herrera,G,False,0,16,18,5,0,2,2,0,90,Alejandro Contreras,alejandro-contreras,D,False,0,36,3,1,2,0,0,0,90,Christian Vilches,christian-vilches,D,False,0,42,9,6,7,0,0,0,90,Gonzalo Jara,gonzalo-jara,D,False,0,56,9,7,4,0,0,0,90,Matías Rodríguez,matias-rodriguez,D,False,0,17,3,1,4,0,0,0,78,David Pizarro,david-pizarro,M,False,0,44,13,9,1,0,0,0,77,Lorenzo Reyes,lorenzo-reyes,M,False,0,46,3,1,2,0,0,0,90,Jean Beausejour,jean-beausejour,D,False,0,28,1,0,1,0,0,0,90,Nicolás Guerra,nicolas-guerra,F,False,0,15,1,0,0,0,0,0,90,Mauricio Pinilla,mauricio-pinilla,F,False,0,11,1,0,0,0,0,0,90,Yeferson Soteldo,yeferson-soteldo,M,False,0,24,0,0,0,0,0,0,81,Ángelo Araos,angelo-araos,M,True,0,4,0,0,0,0,0,0,13,Franz Schultz,franz-schultz,M,True,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,12.0,Felipe Seymour,felipe-seymour,M,True,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7704335,Away,4-4-2,Ignacio González,ignacio-gonzalez,G,False,0,15,15,5,1,6,8,0,90,Rodrigo González,rodrigo-gonzalez,D,False,0,13,5,1,0,0,0,0,90,Andrés Robles,andres-robles,D,False,0,17,7,3,3,0,0,0,90,José Rojas,jose-rojas,D,False,0,35,8,5,5,0,0,0,90,Manuel Bravo,manuel-diaz,D,False,0,2,2,0,1,0,0,0,36,Christian Bravo,christian-bravo,M,False,0,9,1,1,0,0,0,0,56,Gonzalo Sepúlveda,gonzalo-sepulveda,D,False,0,33,4,3,1,0,0,0,90,Lucio Compagnucci,lucio-compagnucci,M,False,0,47,3,1,0,0,0,0,90,Boris Sagredo,boris-sagredo,M,False,0,17,2,0,0,0,0,0,90,Mauro Caballero,mauro-caballero,F,False,0,14,1,0,0,0,0,0,90,Carlos Escobar,carlos-escobar,F,False,0,8,1,1,0,0,0,0,78,Camilo Moya,camilo-moya,M,True,0,28,3,3,0,0,0,0,54,Camilo Melivilú,camilo-melivilu,F,True,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,34.0,Daniel Vicencio,daniel-vicencio,D,True,0.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,12.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7704333,Home,4-4-2,Gabriel Arias,gabriel-arias,G,False,0,9,15,4,1,1,1,0,90,Francisco Sánchez,francisco-sanchez,D,False,0,30,7,2,1,0,0,0,90,Marko Biskupovic,marko-biskupovic,D,False,0,19,11,5,3,0,0,0,90,Pablo Alvarado,pablo-alvarado,D,False,0,25,8,4,4,0,0,0,90,Jose Graces,jose-graces,F,False,0,10,5,3,0,0,0,0,67,Fernando Saavedra,fernando-saavedra,M,False,0,33,11,6,0,0,0,0,90,Ángel Rodríguez,angel-rodriguez,M,False,0,28,10,6,2,0,0,0,90,Álvaro Césped,alvaro-cesped,M,False,0,27,2,2,0,0,0,0,90,Francisco Castro,francisco-castro,F,False,0,17,1,0,0,0,0,0,90,Brian Fernández,brian-fernandez,F,False,0,15,1,1,0,0,0,0,90,Gonzalo Abán,gonzalo-aban,F,False,0,14,0,0,0,0,0,0,90,Gonzalo Barriga,gonzalo-barriga,D,True,0,9,1,1,0,0,0,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
7704333,Away,4-2-3-1,Paulo Garces,paulo-garces,G,False,0,11,20,8,0,2,6,0,90,Augusto Barrios,augusto-barrios,D,False,0,29,15,10,3,0,0,0,90,Tomás Astaburuaga,tomas-astaburuaga,D,False,0,8,9,2,5,0,0,0,90,Bruno Romo,bruno-romo,D,False,0,9,11,3,9,0,0,0,90,Paulo Magalhaes,paulo-magalhaes,D,False,0,16,2,1,4,0,0,0,90,Michael Lepe,michael-lepe,M,False,0,18,0,0,1,0,0,0,90,Gabriel Sandoval,gabriel-sandoval,M,False,0,21,2,1,2,0,0,0,90,Eduard Bello,eduard-bello,M,False,0,17,1,0,3,0,0,0,90,Renato González,renato-gonzalez,M,False,0,15,3,2,1,0,0,0,89,Francisco Sasmay,francisco-sasmay,F,False,0,11,1,0,1,0,0,0,82,Flavio Ciampichetti,flavio-ciampichetti,F,False,0,10,0,0,3,0,0,0,43,Rodrigo Contreras,rodrigo-contreras,F,True,0,13,2,2,1,0,0,0,47,Cristián Rojas,cristian-rojas,D,True,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,Felipe Flores,felipe-flores,F,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
