EventId,Team,Formation,Player1_Name,Player1_code,Player1_Position,Player1_substitute,Player1_Rating,Player1_accuratePass,Player1_totalLongBalls,Player1_accurateLongBalls,Player1_totalClearance,Player1_savedShotsFromInsideTheBox,Player1_saves,Player1_punches,Player1_minutesPlayed,Player2_Name,Player2_code,Player2_Position,Player2_substitute,Player2_Rating,Player2_accuratePass,Player2_totalLongBalls,Player2_accurateLongBalls,Player2_totalClearance,Player2_savedShotsFromInsideTheBox,Player2_saves,Player2_punches,Player2_minutesPlayed,Player3_Name,Player3_code,Player3_Position,Player3_substitute,Player3_Rating,Player3_accuratePass,Player3_totalLongBalls,Player3_accurateLongBalls,Player3_totalClearance,Player3_savedShotsFromInsideTheBox,Player3_saves,Player3_punches,Player3_minutesPlayed,Player4_Name,Player4_code,Player4_Position,Player4_substitute,Player4_Rating,Player4_accuratePass,Player4_totalLongBalls,Player4_accurateLongBalls,Player4_totalClearance,Player4_savedShotsFromInsideTheBox,Player4_saves,Player4_punches,Player4_minutesPlayed,Player5_Name,Player5_code,Player5_Position,Player5_substitute,Player5_Rating,Player5_accuratePass,Player5_totalLongBalls,Player5_accurateLongBalls,Player5_totalClearance,Player5_savedShotsFromInsideTheBox,Player5_saves,Player5_punches,Player5_minutesPlayed,Player6_Name,Player6_code,Player6_Position,Player6_substitute,Player6_Rating,Player6_accuratePass,Player6_totalLongBalls,Player6_accurateLongBalls,Player6_totalClearance,Player6_savedShotsFromInsideTheBox,Player6_saves,Player6_punches,Player6_minutesPlayed,Player7_Name,Player7_code,Player7_Position,Player7_substitute,Player7_Rating,Player7_accuratePass,Player7_totalLongBalls,Player7_accurateLongBalls,Player7_totalClearance,Player7_savedShotsFromInsideTheBox,Player7_saves,Player7_punches,Player7_minutesPlayed,Player8_Name,Player8_code,Player8_Position,Player8_substitute,Player8_Rating,Player8_accuratePass,Player8_totalLongBalls,Player8_accurateLongBalls,Player8_totalClearance,Player8_savedShotsFromInsideTheBox,Player8_saves,Player8_punches,Player8_minutesPlayed,Player9_Name,Player9_code,Player9_Position,Player9_substitute,Player9_Rating,Player9_accuratePass,Player9_totalLongBalls,Player9_accurateLongBalls,Player9_totalClearance,Player9_savedShotsFromInsideTheBox,Player9_saves,Player9_punches,Player9_minutesPlayed,Player10_Name,Player10_code,Player10_Position,Player10_substitute,Player10_Rating,Player10_accuratePass,Player10_totalLongBalls,Player10_accurateLongBalls,Player10_totalClearance,Player10_savedShotsFromInsideTheBox,Player10_saves,Player10_punches,Player10_minutesPlayed,Player11_Name,Player11_code,Player11_Position,Player11_substitute,Player11_Rating,Player11_accuratePass,Player11_totalLongBalls,Player11_accurateLongBalls,Player11_totalClearance,Player11_savedShotsFromInsideTheBox,Player11_saves,Player11_punches,Player11_minutesPlayed,Player12_Name,Player12_code,Player12_Position,Player12_substitute,Player12_Rating,Player12_accuratePass,Player12_totalLongBalls,Player12_accurateLongBalls,Player12_totalClearance,Player12_savedShotsFromInsideTheBox,Player12_saves,Player12_punches,Player12_minutesPlayed,Player13_Name,Player13_code,Player13_Position,Player13_substitute,Player13_Rating,Player13_accuratePass,Player13_totalLongBalls,Player13_accurateLongBalls,Player13_totalClearance,Player13_savedShotsFromInsideTheBox,Player13_saves,Player13_punches,Player13_minutesPlayed,Player14_Name,Player14_code,Player14_Position,Player14_substitute,Player14_Rating,Player14_accuratePass,Player14_totalLongBalls,Player14_accurateLongBalls,Player14_totalClearance,Player14_savedShotsFromInsideTheBox,Player14_saves,Player14_punches,Player14_minutesPlayed,Player15_Name,Player15_code,Player15_Position,Player15_substitute,Player15_Rating,Player15_accuratePass,Player15_totalLongBalls,Player15_accurateLongBalls,Player15_totalClearance,Player15_savedShotsFromInsideTheBox,Player15_saves,Player15_punches,Player15_minutesPlayed,Player16_Name,Player16_code,Player16_Position,Player16_substitute,Player16_Rating,Player16_accuratePass,Player16_totalLongBalls,Player16_accurateLongBalls,Player16_totalClearance,Player16_savedShotsFromInsideTheBox,Player16_saves,Player16_punches,Player16_minutesPlayed,PlayerCount,AverageTeamRating,Player17_Name,Player17_code,Player17_Position,Player17_substitute,Player17_Rating,Player17_accuratePass,Player17_totalLongBalls,Player17_accurateLongBalls,Player17_totalClearance,Player17_savedShotsFromInsideTheBox,Player17_saves,Player17_punches,Player17_minutesPlayed,Player18_Name,Player18_code,Player18_Position,Player18_substitute,Player18_Rating,Player18_accuratePass,Player18_totalLongBalls,Player18_accurateLongBalls,Player18_totalClearance,Player18_savedShotsFromInsideTheBox,Player18_saves,Player18_punches,Player18_minutesPlayed,Player19_Name,Player19_code,Player19_Position,Player19_substitute,Player19_Rating,Player19_accuratePass,Player19_totalLongBalls,Player19_accurateLongBalls,Player19_totalClearance,Player19_savedShotsFromInsideTheBox,Player19_saves,Player19_punches,Player19_minutesPlayed,Player20_Name,Player20_code,Player20_Position,Player20_substitute,Player20_Rating,Player20_accuratePass,Player20_totalLongBalls,Player20_accurateLongBalls,Player20_totalClearance,Player20_savedShotsFromInsideTheBox,Player20_saves,Player20_punches,Player20_minutesPlayed,Player23_Name,Player23_code,Player23_Position,Player23_substitute,Player23_Rating,Player23_accuratePass,Player23_totalLongBalls,Player23_accurateLongBalls,Player23_totalClearance,Player23_savedShotsFromInsideTheBox,Player23_saves,Player23_punches,Player23_minutesPlayed
9644908,Home,3-5-1-1,Samir Handanović,samir-handanovic,G,False,0,22,5,5,0,2,4,0,90,Milan Škriniar,milan-skriniar,D,False,0,58,4,3,5,0,0,0,90,Stefan de Vrij,stefan-de-vrij,D,False,0,70,7,6,2,0,0,0,90,Alessandro Bastoni,alessandro-bastoni,D,False,0,54,1,1,1,0,0,0,84,Matteo Darmian,matteo-darmian,D,False,0,29,0,0,1,0,0,0,90,Nicolò Barella,nicolo-barella,M,False,0,45,5,4,0,0,0,0,77,Marcelo Brozović,marcelo-brozovic,M,False,0,88,8,7,1,0,0,0,90,Hakan Çalhanoğlu,hakan-calhanoglu,M,False,0,46,8,8,0,0,0,0,77,Ivan Perišić,ivan-perisic,M,False,0,16,1,1,0,0,0,0,69,Stefano Sensi,stefano-sensi,M,False,0,28,1,1,0,0,0,0,69,Edin Džeko,edin-dzeko,F,False,0,25,2,2,2,0,0,0,90,Federico Dimarco,federico-dimarco,M,True,0.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,Arturo Vidal,arturo-vidal,M,True,0.0,22.0,1.0,0.0,1.0,0.0,0.0,0.0,21.0,Matías Vecino,matias-vecino,M,True,0.0,17.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,Martín Satriano,martin-satriano,F,True,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Denzel Dumfries,denzel-dumfries,M,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9644908,Away,3-4-1-2,Salvatore Sirigu,salvatore-sirigu,G,False,0,26,7,4,1,2,4,0,90,Davide Biraschi,davide-biraschi,D,False,0,18,3,1,4,0,0,0,45,Zinho Vanheusden,zinho-vanheusden,D,False,0,43,2,1,6,0,0,0,90,Domenico Criscito,domenico-criscito,M,False,0,49,10,5,3,0,0,0,90,Stefano Sturaro,stefano-sturaro,M,False,0,22,3,3,2,0,0,0,71,Nicolò Rovella,nicolo-rovella,M,False,0,45,3,2,1,0,0,0,90,Milan Badelj,milan-badelj,M,False,0,52,4,4,0,0,0,0,90,Andrea Cambiaso,cambiaso-andrea,M,False,0,5,0,0,1,0,0,0,45,Hernani,hernani,M,False,0,12,1,0,0,0,0,0,45,Yayah Kallon,yayah-kallon,F,False,0,4,0,0,0,0,0,0,54,Goran Pandev,goran-pandev,F,False,0,17,1,0,0,0,0,0,90,Laurens Serpe,laurens-serpe,D,True,0.0,26.0,2.0,0.0,1.0,0.0,0.0,0.0,45.0,Stefano Sabelli,stefano-sabelli,M,True,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,45.0,Flavio Bianchi,flavio-bianchi,F,True,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,Andrea Favilli,favilli-andrea,F,True,0.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,36.0,Filippo Melegoni,melegoni-filippo,M,True,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,19.0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9644940,Home,4-4-2,Emil Audero,emil-audero,G,False,0,20,12,3,1,1,1,0,90,Bartosz Bereszyński,bartosz-bereszynski,D,False,0,31,3,0,0,0,0,0,90,Maya Yoshida,maya-yoshida,D,False,0,52,8,7,2,0,0,0,90,Omar Colley,omar-colley,D,False,0,42,4,2,4,0,0,0,90,Tommaso Augello,tommaso-augello,D,False,0,24,3,1,0,0,0,0,78,Antonio Candreva,antonio-candreva,F,False,0,30,7,2,0,0,0,0,90,Morten Thorsby,morten-thorsby,M,False,0,16,0,0,0,0,0,0,90,Adrien Silva,adrien-silva,M,False,0,50,5,4,5,0,0,0,88,Mikkel Damsgaard,damsgaard-mikkel,M,False,0,21,1,0,1,0,0,0,78,Francesco Caputo,francesco-caputo,F,False,0,17,0,0,0,0,0,0,90,Fabio Quagliarella,fabio-quagliarella,F,False,0,14,2,1,1,0,0,0,68,Kristoffer Askildsen,askildsen-kristoffer,M,True,0.0,7.0,2.0,2.0,0.0,0.0,0.0,0.0,22.0,Nicola Murru,nicola-murru,D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Valerio Verre,valerio-verre,M,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,Ernesto Torregrossa,ernesto-torregrossa,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,,,,,,,,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9644940,Away,3-5-2,Samir Handanović,samir-handanovic,G,False,0,17,12,7,2,0,0,1,90,Milan Škriniar,milan-skriniar,D,False,0,39,4,3,4,0,0,0,90,Stefan de Vrij,stefan-de-vrij,D,False,0,39,5,2,3,0,0,0,90,Federico Dimarco,federico-dimarco,M,False,0,19,6,1,0,0,0,0,67,Matteo Darmian,matteo-darmian,D,False,0,21,2,2,1,0,0,0,90,Nicolò Barella,nicolo-barella,M,False,0,35,5,4,0,0,0,0,90,Marcelo Brozović,marcelo-brozovic,M,False,0,21,2,2,1,0,0,0,54,Hakan Çalhanoğlu,hakan-calhanoglu,M,False,0,16,3,1,1,0,0,0,67,Ivan Perišić,ivan-perisic,M,False,0,10,2,0,1,0,0,0,54,Edin Džeko,edin-dzeko,F,False,0,25,3,2,4,0,0,0,90,Lautaro Martínez,lautaro-martinez,F,False,0,6,1,1,1,0,0,0,62,Danilo D'Ambrosio,danilo-dambrosio,D,True,0.0,13.0,2.0,0.0,0.0,0.0,0.0,0.0,36.0,Arturo Vidal,arturo-vidal,M,True,0.0,14.0,3.0,2.0,0.0,0.0,0.0,0.0,36.0,Joaquín Correa,joaquin-correa,F,True,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,Denzel Dumfries,denzel-dumfries,M,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,Stefano Sensi,stefano-sensi,M,True,0.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,20.0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9644906,Home,3-5-1-1,Marco Silvestri,marco-silvestri,G,False,0,16,8,4,0,0,1,0,90,Rodrigo Becão,rodrigo-becao,D,False,0,41,6,2,0,0,0,0,90,Bram Nuytinck,bram-nuytinck,D,False,0,44,6,3,0,0,0,0,90,Samir Caetano,samir-caetano,D,False,0,39,1,0,1,0,0,0,89,Nahuel Molina,nahuel-molina,D,False,0,26,1,1,0,0,0,0,90,Tolgay Arslan,tolgay-arslan,M,False,0,30,1,1,1,0,0,0,80,Walace,walace,M,False,0,50,6,1,0,0,0,0,90,Jean-Victor Makengo,jean-victor-makengo,M,False,0,12,1,1,1,0,0,0,57,Destiny Udogie,destiny-udogie,D,False,0,13,0,0,0,0,0,0,57,Roberto Pereyra,roberto-pereyra,M,False,0,30,3,2,0,0,0,0,90,Ignacio Pussetto,ignacio-pussetto,F,False,0,9,1,1,2,0,0,0,80,Jens Stryger Larsen,jens-stryger-larsen,D,True,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,33.0,Gerard Deulofeu,gerard-deulofeu,F,True,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,Mato Jajalo,mato-jajalo,M,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,Stefano Okaka,stefano-okaka,F,True,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,Marvin Zeegelaar,marvin-zeegelaar,D,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9644906,Away,4-4-2,Wojciech Szczęsny,wojciech-szczesny,G,False,0,24,4,2,1,3,4,1,90,Danilo,danilo,D,False,0,62,9,8,3,0,0,0,90,Matthijs de Ligt,matthijs-de-ligt,D,False,0,63,4,3,2,0,0,0,90,Leonardo Bonucci,leonardo-bonucci,D,False,0,65,12,6,2,0,0,0,90,Alex Sandro,alex-sandro,D,False,0,40,4,1,1,0,0,0,90,Juan Cuadrado,juan-cuadrado,M,False,0,34,4,4,1,0,0,0,74,Rodrigo Bentancur,bentancur-rodrigo,M,False,0,37,3,1,1,0,0,0,89,Aaron Ramsey,aaron-ramsey,M,False,0,44,5,4,0,0,0,0,59,Federico Bernardeschi,federico-bernardeschi,F,False,0,8,0,0,0,0,0,0,60,Paulo Dybala,paulo-dybala,F,False,0,34,7,4,0,0,0,0,90,Álvaro Morata,alvaro-morata,F,False,0,7,0,0,1,0,0,0,59,Giorgio Chiellini,giorgio-chiellini,D,True,0.0,18.0,4.0,2.0,0.0,0.0,0.0,0.0,31.0,Cristiano Ronaldo,cristiano-ronaldo,F,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,Dejan Kulusevski,dejan-kulusevski,M,True,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,30.0,Federico Chiesa,federico-chiesa,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,Manuel Locatelli,manuel-locatelli,M,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9644936,Home,3-4-2-1,Marco Sportiello,marco-sportiello,G,False,0,10,6,4,1,0,0,0,90,Rafael Tolói,rafael-toloi,D,False,0,64,11,8,2,0,0,0,90,José Luis Palomino,jose-luis-palomino,D,False,0,38,5,1,4,0,0,0,90,Berat Djimsiti,berat-djimsiti,D,False,0,55,8,3,1,0,0,0,90,Davide Zappacosta,davide-zappacosta,M,False,0,42,2,1,0,0,0,0,90,Remo Freuler,remo-freuler,M,False,0,59,2,2,0,0,0,0,90,Mario Pašalić,mario-pasalic,M,False,0,42,4,3,0,0,0,0,82,Joakim Mæhle,joakim-maehle,M,False,0,14,0,0,0,0,0,0,50,Aleksei Miranchuk,aleksei-miranchuk,F,False,0,10,0,0,0,0,0,0,50,Matteo Pessina,matteo-pessina,M,False,0,34,1,1,0,0,0,0,85,Duván Zapata,duvan-zapata,F,False,0,10,1,1,0,0,0,0,82,Ruslan Malinovskyi,ruslan-malinovskyi,M,True,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,Robin Gosens,robin-gosens,M,True,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,Josip Iličić,josip-ilicic,M,True,0.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,Roberto Piccoli,roberto-piccoli,F,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,Teun Koopmeiners,teun-koopmeiners,F,True,0.0,6.0,1.0,1.0,0.0,0.0,0.0,0.0,10.0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9644936,Away,4-3-3,Pietro Terracciano,pietro-terracciano,G,False,0,44,32,19,4,4,4,0,90,Lorenzo Venuti,lorenzo-venuti,D,False,0,13,2,1,0,0,0,0,25,Nikola Milenković,nikola-milenkovic,D,False,0,18,3,2,8,0,0,0,90,Igor Júlio,igor-julio,D,False,0,45,5,3,4,0,0,0,90,Cristiano Biraghi,cristiano-biraghi,D,False,0,50,10,7,4,0,0,0,90,Giacomo Bonaventura,giacomo-bonaventura,M,False,0,35,4,2,0,0,0,0,90,Lucas Torreira,lucas-torreira,M,False,0,25,1,1,2,0,0,0,66,Alfred Duncan,alfred-duncan,M,False,0,21,2,1,0,0,0,0,76,José Callejón,jose-callejon,F,False,0,27,3,1,0,0,0,0,76,Dušan Vlahović,dusan-vlahovic,F,False,0,13,1,1,1,0,0,0,90,Riccardo Sottil,riccardo-sottil,F,False,0,19,2,1,1,0,0,0,66,Álvaro Odriozola,alvaro-odriozola,D,True,0.0,27.0,5.0,4.0,3.0,0.0,0.0,0.0,65.0,Riccardo Saponara,riccardo-saponara,M,True,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,Sofyan Amrabat,sofyan-amrabat,M,True,0.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,24.0,Gaetano Castrovilli,gaetano-castrovilli,M,True,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,Nicolás González,nicolas-gonzalez,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9644902,Home,4-4-2,Emil Audero,emil-audero,G,False,0,17,14,6,0,1,3,0,90,Bartosz Bereszyński,bartosz-bereszynski,D,False,0,22,2,1,5,0,0,0,90,Maya Yoshida,maya-yoshida,D,False,0,41,9,4,1,0,0,0,90,Omar Colley,omar-colley,D,False,0,33,4,1,2,0,0,0,90,Tommaso Augello,tommaso-augello,D,False,0,22,1,0,1,0,0,0,71,Antonio Candreva,antonio-candreva,F,False,0,39,5,4,0,0,0,0,90,Morten Thorsby,morten-thorsby,M,False,0,24,1,1,0,0,0,0,90,Albin Ekdal,albin-ekdal,M,False,0,36,4,1,1,0,0,0,86,Mikkel Damsgaard,damsgaard-mikkel,M,False,0,31,3,0,2,0,0,0,90,Manolo Gabbiadini,manolo-gabbiadini,F,False,0,12,3,0,0,0,0,0,71,Fabio Quagliarella,fabio-quagliarella,F,False,0,17,3,2,1,0,0,0,90,Nicola Murru,nicola-murru,D,True,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,Valerio Verre,valerio-verre,M,True,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,19.0,Adrien Silva,adrien-silva,M,True,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9644902,Away,4-2-3-1,Mike Maignan,mike-maignan,G,False,0,25,24,9,0,2,3,0,90,Davide Calabria,davide-calabria,D,False,0,27,4,2,1,0,0,0,88,Simon Kjær,simon-kjaer,D,False,0,32,5,1,3,0,0,0,90,Fikayo Tomori,fikayo-tomori,D,False,0,41,8,5,4,0,0,0,90,Theo Hernández,theo-hernandez,D,False,0,18,3,2,1,0,0,0,90,Sandro Tonali,sandro-tonali,M,False,0,33,3,1,2,0,0,0,90,Rade Krunić,rade-krunic,M,False,0,46,2,0,2,0,0,0,90,Alexis Saelemaekers,alexis-saelemaekers,M,False,0,27,0,0,0,0,0,0,81,Brahim Díaz,brahim-diaz,M,False,0,32,1,1,1,0,0,0,69,Rafael Leão,rafael-leao,F,False,0,20,3,2,0,0,0,0,69,Olivier Giroud,olivier-giroud,F,False,0,16,1,1,0,0,0,0,90,Ismaël Bennacer,ismael-bennacer,M,True,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,Ante Rebić,ante-rebic,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,Alessandro Florenzi,alessandro-florenzi,D,True,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,Alessio Romagnoli,alessio-romagnoli,D,True,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,,,,,,,,,,,,,15,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
