EventId,Team,Formation,Player1_Name,Player1_code,Player1_Position,Player1_substitute,Player1_Rating,Player1_accuratePass,Player1_totalLongBalls,Player1_accurateLongBalls,Player1_totalClearance,Player1_savedShotsFromInsideTheBox,Player1_saves,Player1_punches,Player1_minutesPlayed,Player2_Name,Player2_code,Player2_Position,Player2_substitute,Player2_Rating,Player2_accuratePass,Player2_totalLongBalls,Player2_accurateLongBalls,Player2_totalClearance,Player2_savedShotsFromInsideTheBox,Player2_saves,Player2_punches,Player2_minutesPlayed,Player3_Name,Player3_code,Player3_Position,Player3_substitute,Player3_Rating,Player3_accuratePass,Player3_totalLongBalls,Player3_accurateLongBalls,Player3_totalClearance,Player3_savedShotsFromInsideTheBox,Player3_saves,Player3_punches,Player3_minutesPlayed,Player4_Name,Player4_code,Player4_Position,Player4_substitute,Player4_Rating,Player4_accuratePass,Player4_totalLongBalls,Player4_accurateLongBalls,Player4_totalClearance,Player4_savedShotsFromInsideTheBox,Player4_saves,Player4_punches,Player4_minutesPlayed,Player5_Name,Player5_code,Player5_Position,Player5_substitute,Player5_Rating,Player5_accuratePass,Player5_totalLongBalls,Player5_accurateLongBalls,Player5_totalClearance,Player5_savedShotsFromInsideTheBox,Player5_saves,Player5_punches,Player5_minutesPlayed,Player6_Name,Player6_code,Player6_Position,Player6_substitute,Player6_Rating,Player6_accuratePass,Player6_totalLongBalls,Player6_accurateLongBalls,Player6_totalClearance,Player6_savedShotsFromInsideTheBox,Player6_saves,Player6_punches,Player6_minutesPlayed,Player7_Name,Player7_code,Player7_Position,Player7_substitute,Player7_Rating,Player7_accuratePass,Player7_totalLongBalls,Player7_accurateLongBalls,Player7_totalClearance,Player7_savedShotsFromInsideTheBox,Player7_saves,Player7_punches,Player7_minutesPlayed,Player8_Name,Player8_code,Player8_Position,Player8_substitute,Player8_Rating,Player8_accuratePass,Player8_totalLongBalls,Player8_accurateLongBalls,Player8_totalClearance,Player8_savedShotsFromInsideTheBox,Player8_saves,Player8_punches,Player8_minutesPlayed,Player9_Name,Player9_code,Player9_Position,Player9_substitute,Player9_Rating,Player9_accuratePass,Player9_totalLongBalls,Player9_accurateLongBalls,Player9_totalClearance,Player9_savedShotsFromInsideTheBox,Player9_saves,Player9_punches,Player9_minutesPlayed,Player10_Name,Player10_code,Player10_Position,Player10_substitute,Player10_Rating,Player10_accuratePass,Player10_totalLongBalls,Player10_accurateLongBalls,Player10_totalClearance,Player10_savedShotsFromInsideTheBox,Player10_saves,Player10_punches,Player10_minutesPlayed,Player11_Name,Player11_code,Player11_Position,Player11_substitute,Player11_Rating,Player11_accuratePass,Player11_totalLongBalls,Player11_accurateLongBalls,Player11_totalClearance,Player11_savedShotsFromInsideTheBox,Player11_saves,Player11_punches,Player11_minutesPlayed,Player12_Name,Player12_code,Player12_Position,Player12_substitute,Player12_Rating,Player12_accuratePass,Player12_totalLongBalls,Player12_accurateLongBalls,Player12_totalClearance,Player12_savedShotsFromInsideTheBox,Player12_saves,Player12_punches,Player12_minutesPlayed,Player13_Name,Player13_code,Player13_Position,Player13_substitute,Player13_Rating,Player13_accuratePass,Player13_totalLongBalls,Player13_accurateLongBalls,Player13_totalClearance,Player13_savedShotsFromInsideTheBox,Player13_saves,Player13_punches,Player13_minutesPlayed,Player14_Name,Player14_code,Player14_Position,Player14_substitute,Player14_Rating,Player14_accuratePass,Player14_totalLongBalls,Player14_accurateLongBalls,Player14_totalClearance,Player14_savedShotsFromInsideTheBox,Player14_saves,Player14_punches,Player14_minutesPlayed,Player15_Name,Player15_code,Player15_Position,Player15_substitute,Player15_Rating,Player15_accuratePass,Player15_totalLongBalls,Player15_accurateLongBalls,Player15_totalClearance,Player15_savedShotsFromInsideTheBox,Player15_saves,Player15_punches,Player15_minutesPlayed,Player16_Name,Player16_code,Player16_Position,Player16_substitute,Player16_Rating,Player16_accuratePass,Player16_totalLongBalls,Player16_accurateLongBalls,Player16_totalClearance,Player16_savedShotsFromInsideTheBox,Player16_saves,Player16_punches,Player16_minutesPlayed,PlayerCount,AverageTeamRating
10411197,Home,4-3-3,Wladimiro Falcone,wladimiro-falcone,G,False,0.0,9,20,5,5,5,7,3,90,Valentin Gendrey,valentin-gendrey,D,False,0.0,24,2,0,4,0,0,0,90,Mert Çetin,mert-cetin,D,False,0.0,2,1,0,1,0,0,0,21,Federico Baschirotto,federico-baschirotto,D,False,0.0,25,6,4,10,0,0,0,90,Antonino Gallo,antonino-gallo,D,False,0.0,16,6,2,2,0,0,0,90,Kristijan Bistrović,kristijan-bistrovic,M,False,0.0,10,1,1,2,0,0,0,74,Morten Hjulmand,hjulmand-morten,M,False,0.0,24,5,4,4,0,0,0,90,Joan González,joan-gonzalez,M,False,0.0,10,2,0,1,0,0,0,74,Gabriel Strefezza,gabriel-strefezza,F,False,0.0,13,5,1,1,0,0,0,90,Assan Ceesay,assan-ceesay,F,False,0.0,7,0,0,0,0,0,0,63,Federico Di Francesco,federico-di-francesco,F,False,0.0,9,1,0,1,0,0,0,74,Alexis Blin,alexis-blin,M,True,0.0,26,2,2,8,0,0,0,69,Lorenzo Colombo,lorenzo-colombo,F,True,0.0,3,0,0,0,0,0,0,27,Þórir Jóhann Helgason,thorir-johann-helgason,M,True,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,16.0,Marcin Listkowski,listkowski-marcin,M,True,0.0,4.0,2.0,1.0,1.0,0.0,0.0,0.0,16.0,Lameck Banda,lameck-banda,F,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,16,0.0
10411197,Away,3-5-2,Samir Handanović,samir-handanovic,G,False,0.0,28,7,5,0,1,3,0,90,Milan Škriniar,milan-skriniar,D,False,0.0,91,6,4,2,0,0,0,87,Stefan de Vrij,stefan-de-vrij,D,False,0.0,77,4,1,1,0,0,0,90,Federico Dimarco,federico-dimarco,M,False,0.0,49,10,4,1,0,0,0,90,Matteo Darmian,matteo-darmian,D,False,0.0,29,1,1,2,0,0,0,67,Nicolò Barella,nicolo-barella,M,False,0.0,52,1,0,0,0,0,0,90,Marcelo Brozović,marcelo-brozovic,M,False,0.0,62,4,4,1,0,0,0,57,Hakan Çalhanoğlu,hakan-calhanoglu,M,False,0.0,39,2,1,0,0,0,0,67,Robin Gosens,robin-gosens,M,False,0.0,18,2,0,0,0,0,0,57,Romelu Lukaku,romelu-lukaku,F,False,0.0,15,0,0,1,0,0,0,90,Lautaro Martínez,lautaro-martinez,F,False,0.0,15,1,1,0,0,0,0,90,Alessandro Bastoni,alessandro-bastoni,D,True,0.0,20,8,3,0,0,0,0,33,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,True,0.0,17,0,0,0,0,0,0,33,Denzel Dumfries,denzel-dumfries,M,True,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,Edin Džeko,edin-dzeko,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,Joaquín Correa,joaquin-correa,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,16,0.0
10411195,Home,4-2-3-1,Mike Maignan,mike-maignan,G,False,0.0,19,9,6,0,1,2,0,90,Davide Calabria,davide-calabria,D,False,0.0,60,14,3,0,0,0,0,90,Pierre Kalulu,pierre-kalulu,D,False,0.0,62,8,4,0,0,0,0,90,Fikayo Tomori,fikayo-tomori,D,False,0.0,60,12,7,2,0,0,0,90,Theo Hernández,theo-hernandez,D,False,0.0,44,7,4,2,0,0,0,90,Ismaël Bennacer,ismael-bennacer,M,False,0.0,56,7,4,0,0,0,0,90,Rade Krunić,rade-krunic,M,False,0.0,32,3,2,0,0,0,0,84,Junior Messias,junior-messias,M,False,0.0,20,0,0,1,0,0,0,71,Brahim Díaz,brahim-diaz,M,False,0.0,24,1,0,0,0,0,0,71,Rafael Leão,rafael-leao,F,False,0.0,19,3,3,0,0,0,0,84,Ante Rebić,ante-rebic,F,False,0.0,19,0,0,0,0,0,0,72,Alexis Saelemaekers,alexis-saelemaekers,M,True,0.0,3,0,0,0,0,0,0,19,Charles De Ketelaere,charles-de-ketelaere,F,True,0.0,9,2,2,0,0,0,0,19,Olivier Giroud,olivier-giroud,F,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,Tommaso Pobega,tommaso-pobega,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,Divock Origi,divock-origi,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,16,0.0
10411195,Away,3-5-2,Marco Silvestri,marco-silvestri,G,False,0.0,16,10,6,1,1,1,0,90,Rodrigo Becão,rodrigo-becao,D,False,0.0,25,2,2,2,0,0,0,90,Bram Nuytinck,bram-nuytinck,D,False,0.0,17,5,5,5,0,0,0,90,Nehuén Pérez,nehuen-perez,D,False,0.0,21,4,2,3,0,0,0,67,Brandon Soppy,brandon-soppy,M,False,0.0,20,4,1,1,0,0,0,90,Roberto Pereyra,roberto-pereyra,M,False,0.0,38,3,2,0,0,0,0,90,Walace,walace,M,False,0.0,31,3,3,0,0,0,0,76,Jean-Victor Makengo,jean-victor-makengo,M,False,0.0,18,1,1,0,0,0,0,76,Adam Masina,adam-masina,D,False,0.0,22,3,1,3,0,0,0,83,Isaac Success,isaac-success,F,False,0.0,10,2,1,1,0,0,0,67,Gerard Deulofeu,gerard-deulofeu,F,False,0.0,28,2,1,1,0,0,0,90,Enzo Ebosse,enzo-ebosse,D,True,0.0,10,1,1,2,0,0,0,23,Beto,beto,F,True,0.0,4,0,0,0,0,0,0,23,Lazar Samardžić,lazar-samardzic,M,True,0.0,11.0,3.0,3.0,0.0,0.0,0.0,0.0,14.0,Sandi Lovrić,sandi-lovric,M,True,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,Festy Ebosele,festy-ebosele,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,16,0.0
10411724,Home,3-5-2,Samir Handanović,samir-handanovic,G,False,0.0,35,8,7,0,0,0,0,90,Milan Škriniar,milan-skriniar,D,False,0.0,81,12,9,0,0,0,0,90,Stefan de Vrij,stefan-de-vrij,D,False,0.0,61,5,1,1,0,0,0,90,Alessandro Bastoni,alessandro-bastoni,D,False,0.0,77,10,8,1,0,0,0,90,Denzel Dumfries,denzel-dumfries,M,False,0.0,17,0,0,1,0,0,0,90,Nicolò Barella,nicolo-barella,M,False,0.0,45,6,4,0,0,0,0,90,Marcelo Brozović,marcelo-brozovic,M,False,0.0,40,3,2,0,0,0,0,85,Hakan Çalhanoğlu,hakan-calhanoglu,M,False,0.0,34,2,2,0,0,0,0,75,Federico Dimarco,federico-dimarco,M,False,0.0,15,1,0,1,0,0,0,68,Romelu Lukaku,romelu-lukaku,F,False,0.0,10,0,0,0,0,0,0,68,Lautaro Martínez,lautaro-martinez,F,False,0.0,10,3,2,0,0,0,0,75,Robin Gosens,robin-gosens,M,True,0.0,4,2,0,1,0,0,0,22,Edin Džeko,edin-dzeko,F,True,0.0,4,2,1,0,0,0,0,22,Roberto Gagliardini,roberto-gagliardini,M,True,0.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,15.0,Joaquín Correa,joaquin-correa,F,True,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,15.0,Kristjan Asllani,kristjan-asllani,M,True,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,8.0,16,0.0
10411724,Away,3-5-2,Bartłomiej Drągowski,bartlomiej-dragowski,G,False,0.0,22,8,4,1,5,5,1,90,Mattia Caldara,mattia-caldara,D,False,0.0,28,1,0,5,0,0,0,67,Jakub Kiwior,kiwior-jakub,D,False,0.0,66,4,3,5,0,0,0,90,Dimitris Nikolaou,dimitris-nikolaou,D,False,0.0,55,9,3,0,0,0,0,90,Emmanuel Gyasi,emmanuel-gyasi,F,False,0.0,15,0,0,2,0,0,0,89,Jacopo Sala,jacopo-sala,M,False,0.0,24,2,0,0,0,0,0,67,Mehdi Bourabia,mehdi-bourabia,M,False,0.0,41,0,0,1,0,0,0,90,Simone Bastoni,simone-bastoni,D,False,0.0,22,3,0,0,0,0,0,79,Arkadiusz Reca,arkadiusz-reca,M,False,0.0,13,2,0,2,0,0,0,90,Kevin Agudelo,kevin-agudelo,M,False,0.0,23,2,2,0,0,0,0,89,M'Bala Nzola,mbala-nzola,F,False,0.0,20,0,0,1,0,0,0,90,Petko Hristov,hristov-petko,D,True,0.0,14,1,0,0,0,0,0,23,David Strelec,david-strelec,F,True,0.0,4,0,0,0,0,0,0,23,Viktor Kovalenko,viktor-kovalenko,M,True,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,11.0,Emil Holm,emil-holm,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Mikael Ellertsson,mikael-ellertsson,M,True,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,16,0.0
10411748,Home,3-5-2,Bartłomiej Drągowski,bartlomiej-dragowski,G,False,0.0,21,26,6,1,4,6,0,90,Petko Hristov,hristov-petko,D,False,0.0,21,8,4,1,0,0,0,45,Jakub Kiwior,kiwior-jakub,D,False,0.0,43,9,2,4,0,0,0,90,Dimitris Nikolaou,dimitris-nikolaou,D,False,0.0,41,4,1,3,0,0,0,90,Emmanuel Gyasi,emmanuel-gyasi,F,False,0.0,12,0,0,2,0,0,0,90,Simone Bastoni,simone-bastoni,D,False,0.0,16,2,0,2,0,0,0,78,Mehdi Bourabia,mehdi-bourabia,M,False,0.0,42,3,1,1,0,0,0,66,Kevin Agudelo,kevin-agudelo,M,False,0.0,23,3,1,0,0,0,0,66,Arkadiusz Reca,arkadiusz-reca,M,False,0.0,29,6,2,3,0,0,0,90,David Strelec,david-strelec,F,False,0.0,11,0,0,0,0,0,0,58,M'Bala Nzola,mbala-nzola,F,False,0.0,11,0,0,1,0,0,0,90,Mattia Caldara,mattia-caldara,D,True,0.0,14,2,0,2,0,0,0,45,Viktor Kovalenko,viktor-kovalenko,M,True,0.0,8,0,0,2,0,0,0,32,Albin Ekdal,albin-ekdal,M,True,0.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,15.0,Daniele Verde,daniele-verde,F,True,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,24.0,Jacopo Sala,jacopo-sala,M,True,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,16,0.0
10411748,Away,4-3-3,Andrea Consigli,andrea-consigli,G,False,0.0,33,12,4,1,0,0,0,90,Jeremy Toljan,jeremy-toljan,D,False,0.0,50,6,3,1,0,0,0,90,Martin Erlić,martin-erlic,D,False,0.0,55,3,2,5,0,0,0,90,Gian Marco Ferrari,gian-marco-ferrari,D,False,0.0,60,8,6,2,0,0,0,90,Rogério,rogerio,D,False,0.0,50,9,5,1,0,0,0,90,Davide Frattesi,davide-frattesi,M,False,0.0,13,1,0,0,0,0,0,69,Maxime López,maxime-lopez,M,False,0.0,70,3,2,0,0,0,0,90,Matheus Henrique,matheus-henrique,M,False,0.0,36,3,1,0,0,0,0,90,Domenico Berardi,domenico-berardi,F,False,0.0,31,7,5,0,0,0,0,90,Andrea Pinamonti,andrea-pinamonti,F,False,0.0,13,0,0,0,0,0,0,77,Georgios Kyriakopoulos,georgios-kyriakopoulos,M,False,0.0,19,5,4,2,0,0,0,78,Kristian Thorstvedt,kristian-thorstvedt,M,True,0.0,13,0,0,0,0,0,0,21,Grégoire Defrel,gregoire-defrel,F,True,0.0,0,0,0,0,0,0,0,13,Emil Konradsen Ceide,emil-konradsen-ceide,F,True,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.0
10411202,Home,3-5-2,Luigi Sepe,luigi-sepe,G,False,0.0,20,11,6,0,3,3,0,90,Dylan Bronn,dylan-bronn,D,False,0.0,41,4,1,5,0,0,0,90,Norbert Gyömbér,norbert-gyomber,D,False,0.0,49,6,3,1,0,0,0,90,Federico Fazio,federico-fazio,D,False,0.0,42,4,0,3,0,0,0,90,Antonio Candreva,antonio-candreva,F,False,0.0,29,8,3,2,0,0,0,90,Grīgorīs Kastanos,grigoris-kastanos,M,False,0.0,15,3,1,0,0,0,0,54,Lassana Coulibaly,coulibaly-lassana,M,False,0.0,51,1,1,0,0,0,0,73,Tonny Vilhena,tonny-vilhena,M,False,0.0,45,9,4,0,0,0,0,90,Pasquale Mazzocchi,pasquale-mazzocchi,M,False,0.0,10,1,1,1,0,0,0,62,Federico Bonazzoli,federico-bonazzoli,F,False,0.0,23,2,1,0,0,0,0,90,Erik Botheim,erik-botheim,F,False,0.0,8,0,0,0,0,0,0,62,Franck Ribéry,franck-ribery,M,True,0.0,19,0,0,0,0,0,0,36,Junior Sambia,junior-sambia,M,True,0.0,14,0,0,0,0,0,0,28,Diego Valencia,diego-valencia,F,True,0.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,28.0,Julian Kristoffersen,julian-kristoffersen,F,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,,,,,,,,,,,,,,15,0.0
10411202,Away,3-4-2-1,Rui Patrício,rui-patricio,G,False,0.0,16,8,2,0,1,2,0,90,Gianluca Mancini,gianluca-mancini,D,False,0.0,42,6,4,1,0,0,0,90,Chris Smalling,chris-smalling,D,False,0.0,36,5,3,2,0,0,0,90,Roger Ibañez,roger-ibanez,D,False,0.0,44,6,4,1,0,0,0,90,Rick Karsdorp,rick-karsdorp,M,False,0.0,19,2,1,3,0,0,0,90,Lorenzo Pellegrini,lorenzo-pellegrini,M,False,0.0,46,5,1,0,0,0,0,90,Bryan Cristante,bryan-cristante,M,False,0.0,46,8,2,1,0,0,0,90,Leonardo Spinazzola,leonardo-spinazzola,M,False,0.0,32,4,2,0,0,0,0,90,Paulo Dybala,paulo-dybala,F,False,0.0,21,0,0,0,0,0,0,89,Nicolò Zaniolo,nicolo-zaniolo,M,False,0.0,9,1,1,0,0,0,0,79,Tammy Abraham,tammy-abraham,F,False,0.0,5,0,0,1,0,0,0,68,Nemanja Matić,nemanja-matic,M,True,0.0,14,2,2,0,0,0,0,22,Georginio Wijnaldum,georginio-wijnaldum,M,True,0.0,10,0,0,0,0,0,0,11,Stephan El Shaarawy,stephan-el-shaarawy,F,True,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.0
