Fecha,Local,Visita,Goles Local,Goles Visita,Estado
,,,,,
14/7/23,Cobresal,Huachipato,2,0,Final
15/7/23,Colo-Colo,O'Higgins,2,0,Final
16/7/23,Deportes Copiapó,Audax Italiano,1,0,Final
16/7/23,Ñublense,Magallanes,1,1,Final
16/7/23,Unión La Calera,Everton,2,1,Final
16/7/23,Curicó Unido,Universidad Católica,2,0,Final
17/7/23,Coquimbo Unido,Palestino,1,1,Final
17/7/23,Unión Española,Universidad de Chile,3,0,Final
,,,,,
6/7/23,Unión Española,Ñublense,1,0,Final
7/7/23,Palestino,Audax Italiano,3,0,Final
8/7/23,Universidad de Chile,Huachipato,2,1,Final
8/7/23,Everton,Universidad Católica,1,0,Final
8/7/23,Cobresal,Unión La Calera,1,1,Final
9/7/23,Deportes Copiapó,,,,Aplazado
9/7/23,Magallanes,O'Higgins,2,1,Final
12/7/23,Coquimbo Unido,Curicó Unido,1,0,Final
