Fecha,Local,Visita,Goles Local,Goles Visita,Estado
,,,,,
14/7/23,Cobresal,Huachipato,2,0,Final
15/7/23,Colo-Colo,O'Higgins,2,0,Final
16/7/23,Deportes Copiapó,Audax Italiano,1,0,Final
16/7/23,Ñublense,Magallanes,1,1,Final
16/7/23,Unión La Calera,Everton,2,1,Final
16/7/23,Curicó Unido,Universidad Católica,2,0,Final
17/7/23,Coquimbo Unido,Palestino,1,1,Final
17/7/23,Unión Española,Universidad de Chile,3,0,Final
,,,,,
6/7/23,Unión Española,Ñublense,1,0,Final
7/7/23,Palestino,Audax Italiano,3,0,Final
8/7/23,Universidad de Chile,Huachipato,2,1,Final
8/7/23,Everton,Universidad Católica,1,0,Final
8/7/23,Cobresal,Unión La Calera,1,1,Final
9/7/23,Deportes Copiapó,,,,Aplazado
9/7/23,Magallanes,O'Higgins,2,1,Final
12/7/23,Coquimbo Unido,Curicó Unido,1,0,Final
,,,,,
15/5/23,Universidad de Chile,,,,Aplazado
18/5/23,Curicó Unido,Colo-Colo,1,0,Final
19/5/23,O'Higgins,Palestino,1,0,Final
19/5/23,Audax Italiano,Huachipato,1,0,Final
19/5/23,Coquimbo Unido,Magallanes,1,0,Final
20/5/23,Universidad de Chile,Ñublense,1,1,Final
20/5/23,Everton,Deportes Copiapó,2,1,Final
20/5/23,Unión La Calera,Universidad Católica,1,1,Final
21/5/23,Unión Española,Cobresal,0,0,Final
,,,,,
13/5/23,Audax Italiano,Magallanes,2,1,Final
13/5/23,Colo-Colo,Unión Española,1,1,Final
14/5/23,Huachipato,Ñublense,2,0,Final
14/5/23,Coquimbo Unido,Unión La Calera,2,1,Final
14/5/23,Universidad Católica,Deportes Copiapó,4,1,Final
14/5/23,Palestino,Curicó Unido,1,0,Final
15/5/23,Cobresal,Universidad de Chile,0,0,Final
15/5/23,Everton,O'Higgins,1,1,Final
,,,,,
7/5/23,Universidad de Chile,,,,Aplazado
9/5/23,Curicó Unido,Magallanes,2,1,Final
9/5/23,Ñublense,Deportes Copiapó,1,0,Final
9/5/23,Unión Española,Unión La Calera,3,2,Final
9/5/23,Colo-Colo,Audax Italiano,2,1,Final
10/5/23,Cobresal,O'Higgins,1,0,Final
10/5/23,Coquimbo Unido,Universidad de Chile,2,1,Final
10/5/23,Huachipato,Universidad Católica,2,1,Final
11/5/23,Palestino,Everton,2,2,Final
,,,,,
28/4/23,Colo-Colo,Unión La Calera,0,0,Final
28/4/23,Magallanes,,,,Aplazado
29/4/23,Ñublense,Palestino,2,1,Final
29/4/23,Everton,Curicó Unido,3,2,Final
29/4/23,Audax Italiano,Cobresal,1,0,Final
30/4/23,Universidad de Chile,Universidad Católica,3,0,Final
30/4/23,Unión Española,O'Higgins,1,1,Final
30/4/23,Deportes Copiapó,Coquimbo Unido,1,0,Final
17/6/23,Magallanes,,,,Aplazado
25/6/23,Magallanes,,,,Aplazado
3/7/23,Magallanes,Huachipato,1,1,Final
,,,,,
22/4/23,Unión La Calera,Huachipato,3,2,Final
22/4/23,Universidad de Chile,Everton,2,1,Final
22/4/23,O'Higgins,Universidad Católica,1,0,Final
23/4/23,Cobresal,Curicó Unido,2,0,Final
23/4/23,Deportes Copiapó,Magallanes,2,0,Final
23/4/23,Colo-Colo,Palestino,3,1,Final
23/4/23,Unión Española,Coquimbo Unido,2,0,Final
24/4/23,Audax Italiano,Ñublense,5,2,Final
,,,,,
14/4/23,Cobresal,Palestino,5,1,Final
14/4/23,Coquimbo Unido,Ñublense,3,1,Final
14/4/23,Everton,Magallanes,2,0,Final
15/4/23,Colo-Colo,Universidad Católica,0,0,Final
15/4/23,Huachipato,Deportes Copiapó,1,1,Final
16/4/23,Universidad de Chile,Audax Italianox2,2,1,Final
16/4/23,O'Higgins,Unión La Calera,1,0,Final
17/4/23,Unión Española,Curicó Unido,1,0,Final
,,,,,
17/3/23,Curicó Unido,Ñublense,2,1,Final
18/3/23,Huachipato,Everton,3,0,Final
18/3/23,Cobresal,Colo-Colo,3,1,Final
18/3/23,Coquimbo Unido,O'Higgins,2,0,Final
18/3/23,Audax Italiano,Unión La Calera,0,0,Final
19/3/23,Deportes Copiapó,Universidad de Chile,0,0,Final
19/3/23,Universidad Católica,Magallanes,1,1,Final
19/3/23,Unión Española,Palestino,2,0,Final
,,,,,
10/3/23,Unión La Calera,Deportes Copiapó,0,0,Final
11/3/23,Everton,Ñublense,1,0,Final
11/3/23,Huachipato,Curicó Unido,3,1,Final
12/3/23,Unión Española,Universidad Católica,2,2,Final
12/3/23,Universidad de Chile,Colo-Colo,0,0,Final
13/3/23,Magallanes,,,,Aplazado
13/3/23,O'Higgins,Audax Italianox2,2,2,Final
13/3/23,Cobresal,Coquimbo Unido,0,1,Concedido
1/4/23,Palestino,Magallanes,3,2,Final
,,,,,
2/3/23,Unión La Calera,Universidad de Chile,1,1,Final
3/3/23,Coquimbo Unido,Audax Italiano,3,1,Final
3/3/23,Palestino,Huachipato,2,1,Final
3/3/23,Universidad Católica,Ñublensex3,2,1,Final
4/3/23,Curicó Unido,O'Higgins,2,2,Final
4/3/23,Unión Española,Deportes Copiapó,3,0,Final
5/3/23,Colo-Colo,Magallanes,2,0,Final
5/3/23,Cobresal,Everton,3,2,Final
,,,,,
24/2/23,Unión Española,,,,Aplazado
24/2/23,Universidad de Chile,Curicó Unido,3,1,Final
25/2/23,Audax Italiano,,,,Aplazado
25/2/23,Universidad Católica,Palestino,5,2,Final
26/2/23,Magallanes,Cobresal,2,1,Final
26/2/23,Ñublense,Unión La Calera,1,1,Final
26/2/23,Coquimbo Unido,Colo-Colo,3,2,Final
27/2/23,O'Higgins,Deportes Copiapó,2,2,Final
27/2/23,Everton,Audax Italiano,3,1,Final
5/4/23,Huachipato,Unión Española,1,0,Final
,,,,,
16/2/23,Deportes Copiapó,Curicó Unido,2,1,Final
17/2/23,Magallanes,Unión Española,2,1,Final
18/2/23,Huachipato,Coquimbo Unido,2,1,Final
18/2/23,Ñublense,Cobresal,1,1,Final
18/2/23,Universidad Católicax2,Audax Italianox2,2,1,Final
19/2/23,Universidad de Chile,O'Higgins,1,0,Final
19/2/23,Everton,Colo-Colo,1,1,Final
20/2/23,Unión La Calera,Palestino,1,1,Final
,,,,,
9/2/23,Unión Española,Audax Italiano,1,1,Final
10/2/23,Palestino,Deportes Copiapó,3,1,Final
10/2/23,Unión La Calera,Curicó Unido,3,2,Final
11/2/23,Universidad de Chile,Magallanes,2,1,Final
11/2/23,Everton,Coquimbo Unido,2,0,Final
12/2/23,Colo-Colo,,,,Aplazado
12/2/23,O'Higgins,,,,Aplazado
12/2/23,Cobresal,Universidad Católica,3,3,Final
31/3/23,Ñublense,O'Higgins,2,1,Final
1/4/23,Colo-Colo,Huachipatox2,1,0,Final
,,,,,
3/2/23,Coquimbo Unido,Universidad Católica,2,1,Final
3/2/23,Curicó Unido,Audax Italiano,2,1,Final
4/2/23,Unión La Calera,Magallanes,1,1,Final
4/2/23,Everton,Unión Española,1,1,Final
5/2/23,Palestino,Universidad de Chile,2,0,Final
5/2/23,Cobresal,Deportes Copiapó,1,0,Final
6/2/23,Ñublense,,,,Aplazado
6/2/23,Huachipato,O'Higgins,1,0,Final
13/2/23,Colo-Colo,Ñublense,1,0,Final
,,,,,
27/1/23,Ñublense,Magallanes,3,2,Final
27/1/23,Unión La Calera,Everton,3,2,Final
28/1/23,Palestino,Coquimbo Unido,1,1,Final
28/1/23,Universidad de Chile,Unión Española,1,0,Final
28/1/23,Universidad Católica,Curicó Unido,3,1,Final
29/1/23,Huachipato,Cobresal,2,1,Final
29/1/23,O'Higgins,Colo-Colo,5,1,Final
29/1/23,Audax Italiano,Deportes Copiapó,3,0,Final
,,,,,
20/1/23,O'Higgins,Magallanes,1,0,Final
20/1/23,Ñublense,Unión Española,1,0,Final
21/1/23,Audax Italiano,Palestino,1,1,Final
