round,team_home,team_away,score_home,score_away,expected_goals_home,expected_goals_away,possession_home,possession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corners_home,corners_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possession_lost_home,possession_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearances_home,clearances_away
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Hellas Verona,Sassuolo,2,3,,,39,61,15,18,4,7,8,6,3,5,7,4,0,1,11,12,3,2,1,0,12,11,14,6,6,12,5,2,4,0,,,,,11,9,4,9,4,2,312,525,257,465,30,27,9,1,7,12,95,86,40,39,9,9,12,7,7,5,8,15
1,Inter,Genoa,4,0,,,60,40,16,10,8,4,5,4,3,2,8,2,2,2,18,7,1,2,0,0,6,18,15,12,7,9,4,1,1,1,1,1,1,1,12,5,4,5,4,4,592,399,539,348,39,20,8,1,8,10,100,96,40,49,8,8,18,13,5,15,13,22
1,Empoli,Lazio,1,3,,,45,55,16,8,4,4,7,3,5,1,5,3,2,0,13,10,2,1,0,0,8,13,28,15,4,9,1,2,1,0,1,0,1,0,11,8,5,0,1,2,451,567,372,491,29,42,4,4,5,8,134,125,42,54,6,7,23,26,12,15,14,16
1,Torino,Atalanta,1,2,,,48,52,21,7,8,2,5,1,8,4,5,1,,,17,13,2,2,0,0,13,17,18,28,1,9,1,1,1,0,,,,,10,5,11,2,0,6,380,418,279,298,23,30,5,2,12,9,165,164,62,86,23,43,14,17,13,8,9,22
1,Bologna,Salernitana,3,2,,,73,27,18,10,7,4,3,4,8,2,9,4,0,2,13,15,6,3,2,1,14,13,18,27,6,7,2,2,0,1,,,,,10,6,8,4,2,4,549,196,459,108,23,12,5,2,6,4,135,139,49,47,18,15,12,15,6,7,20,24
1,Udinese,Juventus,2,2,,,44,56,12,10,6,3,4,7,2,0,3,3,2,3,13,14,1,3,0,0,14,13,19,22,6,5,3,3,1,2,,,,,9,7,3,3,1,4,396,524,334,452,16,35,3,3,5,6,101,105,39,39,9,9,11,12,8,13,6,13
1,Napoli,Venezia,2,0,,,56,44,13,8,4,4,4,4,5,0,2,2,3,1,5,22,1,7,1,0,20,3,14,14,8,7,3,1,2,1,,,,,6,5,7,3,4,2,560,424,499,379,21,20,1,4,6,5,85,86,44,23,6,5,13,10,12,10,8,6
1,Roma,Fiorentina,3,1,,,42,58,11,11,6,8,5,2,0,1,4,4,4,2,12,15,3,2,1,1,14,12,18,19,3,6,5,2,2,1,3,0,2,0,8,8,3,3,7,3,365,515,301,460,31,40,6,5,12,8,100,105,51,39,12,9,13,12,11,13,16,5
1,Cagliari,Spezia,2,2,,,59,41,20,12,9,4,6,5,5,3,11,4,1,4,17,15,2,3,0,0,13,15,21,12,8,13,5,1,4,0,,,,,16,3,4,9,2,6,476,338,380,259,29,18,7,2,14,11,148,127,56,60,17,21,12,15,11,10,19,26
1,Sampdoria,Milan,0,1,,,50,50,16,11,3,4,7,5,6,2,8,3,3,3,17,15,3,1,0,0,14,16,18,13,9,8,1,2,1,1,,,,,10,5,6,6,3,3,395,409,309,327,23,24,6,2,4,6,140,137,54,54,19,17,18,16,7,9,13,14
2,Udinese,Venezia,3,0,,,44,56,21,11,10,3,2,6,9,2,7,2,4,2,11,8,2,3,0,0,6,9,19,14,12,6,6,3,3,3,2,0,2,0,14,8,7,3,3,7,426,529,336,447,22,36,7,4,13,7,134,134,41,45,7,12,15,17,13,9,17,7
