number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Goiás,São Paulo,0,3,41,59,9,15,3,6,4,6,2,3,2,9,0,1,16,19,3,0,0,0,18,16,,,9,7,0,3,0,1,,,,,,,3,7,6,8,3,3,317,456,238,386,24,22,6,11,4,10,,,46,54,13,15,12,13,12,12,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Palmeiras,Vasco da Gama,1,1,55,45,14,12,3,3,7,5,4,4,6,3,0,2,19,11,1,1,0,0,11,17,,,9,8,4,0,3,0,,,2,1,,,7,5,7,7,2,2,477,390,401,306,30,18,5,3,3,8,,,45,42,13,12,18,6,11,14,,
8,Grêmio,Fluminense,1,0,53,47,15,10,4,4,6,3,5,3,6,3,2,1,24,16,2,3,0,0,15,23,,,6,7,1,0,,,,,,,,,8,2,7,8,4,3,496,447,399,362,29,24,6,1,10,11,,,63,69,25,19,14,16,17,21,,
7,Santos,Red Bull Bragantino,1,1,54,46,10,18,4,6,5,8,1,4,4,2,4,2,10,19,0,1,0,0,19,9,,,12,8,2,1,2,1,1,0,1,0,,,6,6,4,12,5,3,444,377,362,303,28,25,4,3,8,14,,,53,52,11,15,17,15,11,15,,
14,1,2,2,1,79,21,19,13,4,3,9,6,6,4,3,3,1,1,16,18,3,3,0,0,17,15,,,10,14,3,2,2,1,1,0,,,,,11,8,8,5,2,2,728,196,672,143,59,19,4,2,13,8,,,54,61,15,17,10,21,2,2,,
0,Fortaleza,Athletico Paranaense,0,2,44,56,11,13,3,5,5,4,3,4,4,4,1,1,14,10,3,2,1,0,10,13,,,7,9,0,4,0,2,,,,,,,5,9,6,4,3,3,414,549,357,494,42,46,2,1,9,3,,,33,33,8,10,8,8,13,7,,
1,Coritiba,Internacional,0,1,43,57,2,11,0,4,2,4,0,3,2,6,3,2,11,21,3,4,0,0,18,11,,,8,7,0,2,0,1,1,0,,,,,1,7,1,4,3,0,382,504,283,411,28,26,1,5,5,12,,,64,55,25,19,16,14,14,9,,
10,Botafogo,Bahia,1,2,61,39,15,12,2,4,8,7,5,1,8,5,0,1,18,14,2,3,1,0,14,14,,,10,11,2,4,1,2,,,,,,,8,6,7,6,2,1,502,322,435,239,33,15,3,6,9,9,,,62,68,24,26,15,20,8,6,,
5,Flamengo,Atlético Mineiro,0,1,62,38,17,10,2,4,10,2,5,4,9,2,2,3,12,24,3,2,0,0,21,10,,,4,12,5,1,5,1,1,0,1,1,,,11,2,6,8,4,2,525,321,424,228,34,21,3,0,17,6,,,75,37,22,5,16,16,3,17,,
11,Corinthians,Atlético Goianiense,0,0,54,46,12,18,4,6,8,7,0,5,4,7,4,2,18,12,2,0,0,0,10,18,,,10,9,1,3,1,3,0,1,1,1,,,10,7,2,11,5,4,461,397,386,323,23,36,8,5,10,9,,,45,52,15,15,10,11,10,11,,
2,Sport Recife,Ceará SC,3,2,40,60,9,11,3,5,4,4,2,2,2,4,3,0,15,18,3,3,0,0,17,15,,,7,10,3,4,1,3,1,0,,,,,5,7,4,4,3,0,324,487,250,403,20,20,3,3,9,12,,,58,55,15,12,17,16,13,2,,
15,Atlético Mineiro,Corinthians,3,2,55,45,25,8,13,5,9,3,3,0,8,4,3,1,19,11,0,1,0,0,11,18,,,3,11,2,2,1,0,2,0,,,,,17,6,8,2,2,10,515,426,422,319,28,30,7,3,12,4,,,54,48,14,15,17,11,19,16,,
