number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
4,1,2,0,1,48,52,20,11,3,3,9,7,8,1,7,4,1,1,0,0,3,4,1,1,21,20,,,8,11,,,,,3,1,,,,,10,6,10,5,2,3,393,430,309,360,,,,,,,,,60,54,25,27,,,,,,
38,1X,12,0,3,20,80,5,18,2,6,2,9,1,3,1,5,7,2,0,0,2,1,0,0,8,10,,,17,4,,,,,0,1,2,0,,,2,10,3,8,3,2,189,772,110,712,,,,,,,,,43,47,11,13,,,,,,
14,1X,12,1,2,26,74,8,21,1,9,4,8,3,4,5,6,1,6,0,0,3,4,0,1,15,17,,,12,7,,,,,1,3,,,,,4,16,4,5,7,0,222,608,126,516,,,,,,,,,47,65,17,23,,,,,,
30,1X,12,0,0,35,65,5,17,1,3,1,9,3,5,2,5,3,3,0,0,2,3,0,0,15,10,,,9,6,,,,,,,,,,,1,4,4,13,3,1,300,539,186,431,,,,,,,,,70,62,21,25,,,,,,
8,1,2,1,3,56,44,28,9,8,5,9,4,11,0,13,3,4,5,0,0,3,2,0,0,8,13,,,7,11,,,,,2,1,1,2,,,17,5,11,4,2,6,395,320,301,214,,,,,,,,,58,55,26,23,,,,,,
1,1,2,0,1,57,43,9,14,3,5,5,8,1,1,6,2,3,5,0,0,2,3,0,0,13,19,,,6,7,,,,,,,,,,,4,6,5,8,4,3,467,360,324,222,,,,,,,,,77,82,46,44,,,,,,
19,1X,12,2,1,48,52,6,17,3,7,3,7,0,3,3,8,4,0,0,0,3,2,0,1,9,16,,,12,4,,,,,1,0,,,,,4,8,2,9,6,1,379,404,285,309,,,,,,,,,62,73,26,28,,,,,,
2,1,2,2,1,57,43,25,6,9,2,11,3,5,1,13,5,2,1,0,0,1,0,0,0,17,12,,,3,16,,,,,,,3,0,,,21,4,4,2,1,7,396,300,295,173,,,,,,,,,107,75,46,24,,,,,,
28,1X,12,0,1,72,28,16,5,4,3,9,1,3,1,10,4,3,3,0,0,3,1,0,0,16,12,,,6,17,,,,,,,1,0,,,9,3,7,2,2,4,603,232,475,105,,,,,,,,,99,75,47,35,,,,,,
16,1X,12,0,4,34,66,3,18,2,8,1,7,0,3,1,4,4,3,0,0,2,3,0,0,14,17,,,9,5,,,,,,,,,,,2,16,1,2,4,2,296,556,170,428,,,,,,,,,63,76,32,31,,,,,,
41,1X,12,2,0,55,45,14,9,4,4,8,4,2,1,7,5,0,2,0,0,1,2,0,0,8,16,,,8,10,,,,,,,,,,,11,4,3,5,4,2,562,449,476,370,,,,,,,,,57,67,20,23,,,,,,
21,1X,12,0,0,30,70,5,15,1,2,2,6,2,7,4,6,2,3,0,0,3,2,0,0,16,11,,,8,9,,,,,,,,,,,2,8,3,7,3,1,203,471,98,375,,,,,,,,,61,63,24,31,,,,,,
18,1X,12,3,0,56,44,9,12,5,1,2,7,2,4,2,3,2,0,0,0,1,2,0,0,16,11,,,10,2,,,,,,,1,0,,,5,8,4,4,1,2,571,452,480,347,,,,,,,,,66,60,20,22,,,,,,
22,1X,12,0,1,63,37,10,16,2,3,5,8,3,5,3,4,2,3,0,0,3,3,0,0,16,22,,,10,5,,,,,1,1,1,0,,,4,7,6,9,2,2,495,288,386,198,,,,,,,,,80,73,40,40,,,,,,
9,1X,12,1,1,51,49,10,9,2,3,4,6,4,0,6,2,1,4,0,0,0,1,0,0,16,11,,,10,8,,,,,0,2,,,,,7,5,3,4,2,1,430,417,334,306,,,,,,,,,86,88,41,38,,,,,,
49,1X,12,1,0,66,34,20,3,6,2,10,1,4,0,11,3,4,0,0,0,3,0,0,0,11,15,,,4,10,,,,,2,0,1,0,,,14,2,6,1,2,5,582,306,462,176,,,,,,,,,68,59,28,20,,,,,,
12,1X,12,1,1,77,23,21,9,5,3,10,3,6,3,6,6,4,2,0,0,1,2,0,0,18,16,,,8,15,,,,,1,0,0,1,,,10,4,11,5,3,4,602,171,507,79,,,,,,,,,78,54,34,24,,,,,,
54,1X,12,1,1,59,41,15,16,4,5,7,7,4,4,8,4,2,1,0,0,2,3,0,0,15,14,,,7,7,,,,,,,0,1,,,7,7,8,9,4,3,482,334,387,228,,,,,,,,,69,64,25,25,,,,,,
58,1X,12,1,3,50,50,23,9,6,5,8,4,9,0,12,3,3,3,0,0,4,1,0,0,14,14,,,4,11,,,,,,,,,,,17,8,6,2,3,6,405,408,292,284,,,,,,,,,76,69,33,27,,,,,,
34,1X,12,1,3,61,39,10,16,5,6,3,4,2,6,7,3,3,5,0,0,2,4,0,0,20,13,,,7,8,,,,,,,2,3,,,4,10,6,6,3,4,500,326,373,202,,,,,,,,,62,82,21,39,,,,,,
7,1,2,2,1,61,39,5,13,3,6,2,3,0,4,7,3,3,7,0,0,1,1,0,0,19,14,,,4,8,,,,,,,,,,,3,9,2,4,5,1,590,367,498,286,,,,,,,,,61,44,12,12,,,,,,
55,1X,12,0,3,29,71,6,17,1,9,3,7,2,1,3,4,2,4,0,0,1,1,0,0,11,17,,,8,6,,,,,1,0,,,,,6,7,0,10,6,1,301,738,203,667,,,,,,,,,46,61,12,17,,,,,,
20,1X,12,3,0,47,53,18,11,6,4,7,4,5,3,8,5,4,3,0,0,0,2,0,0,12,7,,,5,8,,,,,2,1,,,,,13,5,5,6,4,3,405,449,317,365,,,,,,,,,63,56,26,17,,,,,,
48,1X,12,2,0,52,48,16,13,8,7,4,5,4,1,6,1,0,3,0,0,1,1,0,0,14,12,,,8,10,,,,,0,1,2,0,,,12,9,4,4,6,6,477,451,366,355,,,,,,,,,51,62,19,36,,,,,,
60,1X,12,0,1,49,51,13,10,3,5,6,4,4,1,4,4,0,1,0,0,1,3,0,0,12,13,,,5,9,,,,,0,1,1,1,,,4,8,9,2,4,5,481,489,397,396,,,,,,,,,63,77,20,30,,,,,,
13,1X,12,0,1,40,60,5,11,3,4,2,4,0,3,3,8,2,1,0,0,,,0,0,20,15,,,6,5,,,,,0,1,1,1,,,0,6,5,5,3,3,341,490,219,394,,,,,,,,,89,71,44,32,,,,,,
31,1X,12,2,4,28,72,5,17,3,6,0,8,2,3,2,4,2,3,0,0,3,1,0,0,16,14,,,12,7,,,,,,,,,,,4,10,1,8,3,1,251,623,168,536,,,,,,,,,54,60,18,26,,,,,,
46,1X,12,5,1,63,37,18,7,12,2,5,4,1,1,5,1,3,1,11,12,1,2,0,0,12,10,,,6,6,,,,,1,1,,,,,10,2,8,5,1,6,773,447,692,366,,,,,,,,,58,43,17,11,,,,,,
47,1X,12,0,1,46,54,12,8,2,3,7,5,3,0,8,5,3,0,0,0,2,1,0,0,16,14,,,6,8,,,,,,,1,0,,,6,4,6,4,2,2,347,404,233,280,,,,,,,,,69,87,32,42,,,,,,
35,1X,12,2,1,61,39,24,15,7,4,9,7,8,4,5,7,2,3,0,0,1,3,0,0,19,18,,,8,11,,,,,0,1,2,2,,,17,11,7,4,3,6,465,290,370,202,,,,,,,,,85,73,35,24,,,,,,
25,1X,12,3,1,61,39,15,4,6,4,7,0,2,0,5,1,4,1,0,0,0,2,0,0,11,15,,,6,13,,,,,,,1,0,,,8,4,7,0,3,3,573,351,485,247,,,,,,,,,70,51,24,14,,,,,,
63,1,2,2,3,38,62,14,14,4,7,8,3,2,4,2,6,0,6,0,0,1,2,0,0,20,12,,,6,11,,,,,,,,,,,8,10,6,4,4,2,283,460,156,347,,,,,,,,,81,73,41,33,,,,,,
57,1X,12,0,3,36,64,9,17,0,7,5,8,4,2,2,6,4,7,0,0,1,2,0,0,14,13,,,8,8,,,,,1,2,,,,,5,11,4,6,3,0,288,515,163,389,,,,,,,,,92,89,35,44,,,,,,
42,1X,12,0,1,54,46,26,10,9,6,16,3,1,1,6,5,2,1,0,0,3,3,0,0,16,10,,,5,12,,,,,,,1,2,,,19,6,7,4,5,9,434,374,324,251,,,,,,,,,71,74,23,28,,,,,,
