number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
10,Olympique Lyon,SM Caen,2,0,69,31,22,7,7,1,5,6,10,0,13,3,,,17,14,3,4,0,0,12,16,,,10,7,,,,,0,1,,,,,13,4,9,3,1,5,524,225,451,143,,,,,,,,,70,61,22,13,,,,,,
3,SM Caen,Lorient,3,2,58,42,16,8,7,2,5,4,4,2,10,2,2,0,13,9,1,2,0,1,8,13,,,6,7,,,,,1,0,0,1,,,12,4,4,4,0,4,474,356,394,267,,,,,,,,,59,45,25,13,,,,,,
19,Paris Saint-Germain,Metz,3,0,66,34,28,11,8,6,12,3,8,2,15,2,3,2,10,6,1,1,0,0,6,10,,,9,16,,,,,2,0,,,,,16,5,12,6,7,3,606,310,535,233,,,,,,,,,71,50,18,8,,,,,,
0,1,2,0,1,26,74,10,9,0,6,9,3,1,0,2,6,0,3,15,16,3,3,0,0,14,15,,,10,10,,,,,,,,,,,4,6,6,3,5,0,215,600,134,529,,,,,,,,,59,54,14,14,,,,,,
46,Toulouse,Guingamp,2,1,58,42,13,5,5,3,6,2,2,0,8,1,2,3,18,11,4,3,0,1,10,16,,,5,8,,,,,,,,,,,8,2,5,3,2,3,454,320,385,236,,,,,,,,,62,49,22,13,,,,,,
14,Lorient,Bastia,0,3,52,48,10,16,3,7,3,9,4,0,2,5,1,1,16,10,2,4,2,0,10,14,,,10,11,,,,,0,2,,,,,3,12,7,4,4,3,455,412,394,347,,,,,,,,,44,49,10,8,,,,,,
27,Bordeaux,Nantes,1,0,45,55,10,16,7,6,2,6,1,4,4,8,1,3,16,16,2,1,0,0,16,15,,,8,3,,,,,,,1,0,,,7,8,3,8,6,5,381,451,287,362,,,,,,,,,65,73,16,24,,,,,,
44,Lorient,Lille,1,0,37,63,9,10,4,0,3,7,2,3,4,2,2,0,12,10,2,2,0,0,7,12,,,10,5,,,,,,,,,,,4,7,5,3,0,3,356,589,263,499,,,,,,,,,46,55,12,22,,,,,,
43,Dijon FCO,Metz,0,0,61,39,15,7,6,3,7,4,2,0,8,3,3,1,15,18,4,5,0,1,17,13,,,7,14,,,,,0,1,,,,,11,6,4,1,3,6,402,253,327,171,,,,,,,,,63,55,24,17,,,,,,
60,Toulouse,Paris Saint-Germain,2,0,28,72,11,12,3,3,3,3,5,6,3,7,2,2,12,11,3,4,0,1,11,11,,,5,3,,,,,,,,,,,5,6,6,6,2,1,282,691,202,599,,,,,,,,,48,57,15,16,,,,,,
33,Bastia,Toulouse,2,1,46,54,5,8,4,3,0,3,1,2,5,1,5,3,15,21,4,4,0,0,20,15,,,8,4,,,,,,,,,,,3,7,2,1,2,2,274,330,164,188,,,,,,,,,46,79,10,38,,,,,,
22,SM Caen,Bastia,2,0,52,48,17,5,4,1,11,3,2,1,5,2,2,0,15,20,1,5,0,0,18,14,,,6,18,,,,,1,0,,,,,9,4,8,1,1,2,394,371,318,273,,,,,,,,,60,53,18,24,,,,,,
40,SM Caen,Paris Saint-Germain,0,6,33,67,13,21,1,9,9,9,3,3,4,3,,,9,10,1,1,0,0,9,9,,,9,10,,,,,,,,,,,5,13,8,8,2,1,313,692,228,609,,,,,,,,,45,47,12,16,,,,,,
9,Olympique Marseille,Toulouse,0,0,58,42,10,6,2,2,6,4,2,0,9,6,2,0,14,13,3,1,0,0,12,14,,,8,14,,,,,1,0,,,,,5,3,5,3,2,2,457,339,369,229,25,14,3,4,11,14,,,62,66,21,16,21,22,16,18,,
4,Dijon FCO,Nantes,0,1,51,49,6,10,2,3,4,6,0,1,3,4,2,2,6,11,0,2,0,0,11,6,,,9,7,,,,,,,,,,,2,7,4,3,1,2,502,471,414,382,,,,,,,,,69,52,21,12,,,,,,
32,Angers SCO,Dijon FCO,3,1,40,60,13,6,7,2,2,2,4,2,6,1,1,2,13,9,3,4,1,1,9,12,,,7,5,,,,,1,1,,,,,5,3,8,3,1,4,359,535,294,463,,,,,,,,,48,65,14,16,,,,,,
54,Guingamp,Lorient,1,0,42,58,8,13,4,3,4,5,0,5,3,7,3,1,10,14,1,3,0,0,14,10,,,9,7,,,,,,,,,,,3,7,5,6,2,3,410,549,345,481,,,,,,,,,58,47,15,8,,,,,,
15,Stade Rennais,AS Nancy,2,0,54,46,9,8,3,1,4,5,2,2,3,7,0,3,11,8,4,2,0,0,8,10,,,10,7,,,,,0,1,,,,,6,3,3,5,1,1,539,444,420,355,,,,,,,,,47,51,14,19,,,,,,
35,Lille,AS Monaco,1,4,52,48,6,9,3,6,2,2,1,1,8,1,4,2,19,13,3,1,0,0,13,19,,,3,4,,,,,1,0,,,,,2,6,4,3,2,1,459,430,366,349,,,,,,,,,64,65,15,12,,,,,,
31,Olympique Lyon,Bordeaux,1,3,49,51,11,10,4,6,6,2,1,2,4,4,1,2,14,7,2,1,1,0,7,13,,,5,8,,,,,1,0,,,,,8,6,3,4,3,3,436,439,359,377,,,,,,,,,42,38,11,10,,,,,,
48,Saint-Étienne,Bastia,1,0,61,39,13,8,3,3,8,4,2,1,4,4,3,2,19,11,2,4,0,0,11,19,,,5,10,,,,,,,,,,,9,6,4,2,3,2,455,280,372,181,,,,,,,,,44,58,11,17,,,,,,
24,Montpellier,Stade Rennais,1,1,43,57,11,12,5,2,4,8,2,2,4,4,1,3,13,16,1,2,0,0,16,13,,,11,6,,,,,0,1,,,,,5,6,6,6,1,4,415,542,294,420,,,,,,,,,69,74,27,25,,,,,,
23,Metz,Angers SCO,2,0,42,58,7,23,2,7,2,11,3,5,5,9,1,0,9,11,2,2,0,0,9,9,,,13,6,,,,,0,1,,,,,3,13,4,10,7,0,321,426,229,347,,,,,,,,,50,56,18,23,,,,,,
57,Nice,AS Monaco,4,0,49,51,9,16,7,7,1,2,1,7,2,6,1,3,12,16,1,1,0,1,16,12,,,7,3,,,,,,,,,,,7,11,2,5,7,3,466,457,394,395,,,,,,,,,53,51,12,7,,,,,,
63,Bastia,Guingamp,1,0,62,38,11,3,6,3,5,0,0,0,5,1,4,1,17,17,3,3,1,1,17,17,,,5,10,,,,,1,0,,,,,4,1,7,2,2,6,405,254,312,148,,,,,,,,,72,81,25,30,,,,,,
62,AS Monaco,Angers SCO,2,1,58,42,14,11,4,4,5,3,5,4,12,7,1,1,10,9,1,1,0,0,9,10,,,6,5,,,,,,,,,,,10,8,5,3,3,3,498,358,407,273,,,,,,,,,48,52,11,29,,,,,,
56,Nantes,Saint-Étienne,0,0,53,47,19,6,6,0,8,5,5,1,6,2,4,2,16,14,4,0,0,1,14,16,,,9,11,,,,,,,,,,,10,1,9,5,0,6,384,352,309,264,,,,,,,,,57,76,18,17,,,,,,
