number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
11,1,2,2,0,64,36,,,11,4,8,0,,,2,2,2,2,11,10,0,1,0,0,12,13,,,4,11,,,,,,,,,,,,,,,4,8,,,,,,,,,,,,,,,,,,,,,,
16,1,2,1,1,42,58,,,2,5,2,7,,,4,5,0,2,10,10,1,3,1,0,12,10,,,14,7,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,
0,1,2,1,2,63,37,,,5,3,5,0,,,1,1,1,1,13,20,2,4,0,0,21,14,,,2,9,,,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,,,,,,,,,
14,1,2,1,0,62,38,,,4,0,2,5,,,3,1,3,1,14,16,2,1,0,0,17,17,,,9,3,,,,,,,,,,,,,,,0,3,,,,,,,,,,,,,,,,,,,,,,
20,1,2,0,0,33,67,,,4,1,4,3,,,3,6,2,2,7,13,2,2,0,0,15,9,,,9,12,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,
6,1,2,2,1,76,24,,,4,2,6,0,,,9,1,0,1,13,19,2,3,0,1,20,13,,,2,12,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,
23,1,2,1,0,42,58,,,3,5,7,7,,,4,6,,,9,10,1,2,0,0,10,9,,,8,12,,,,,,,,,,,,,,,0,2,,,,,,,,,,,,,,,,,,,,,,
40,1,2,2,2,53,47,,,4,5,9,3,,,10,1,0,1,6,15,2,4,0,0,16,6,,,5,12,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,
12,1,2,1,3,44,56,,,3,10,2,1,,,1,3,1,3,14,11,1,3,0,0,14,15,,,3,4,,,,,,,,,,,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,
21,1,2,0,1,73,27,,,2,2,5,3,,,11,4,1,2,14,5,2,1,0,0,7,15,,,5,11,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,
