number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away,home_odd,draw_odd,away_odd
4,Universidad Católica,Universidad de Concepcion,0,0,,,14,10,0,0,2,0,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126,302,,,,,,,,,,,,,,,,,,,1.7,2.2857142857142856,0.36363636363636365
3,Audax Italiano,Palestino,2,1,,,0,14,8,2,6,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118,524,,,,,,,,,,,,,,,,,,,1.8333333333333333,3.2,1.0
8,Universidad de Chile,Deportes Temuco,2,1,,,8,12,2,0,10,4,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632,14,,,,,,,,,,,,,,,,,,,1.0,0.125,1.0
0,San Luis de Quillota,Huachipato,2,0,,,20,8,4,2,6,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178,328,,,,,,,,,,,,,,,,,,,0.8,1.8888888888888888,1.9
39,O'Higgins,Antofagasta,0,2,,,12,0,2,0,4,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,552,152,,,,,,,,,,,,,,,,,,,2.142857142857143,1.4,1.6
26,Unión Española,San Luis de Quillota,1,0,,,18,2,0,2,14,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,234,,,,,,,,,,,,,,,,,,,2.6666666666666665,1.3,0.36363636363636365
19,Universidad Católica,Everton de Viña del Mar,1,1,,,20,4,10,2,0,6,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206,472,,,,,,,,,,,,,,,,,,,0.2727272727272727,0.5,1.9
16,O'Higgins,Unión Española,0,2,,,4,18,4,6,2,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308,460,,,,,,,,,,,,,,,,,,,6.5,1.5,1.875
13,O'Higgins,Colo-Colo,1,3,,,8,6,0,2,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,560,526,,,,,,,,,,,,,,,,,,,1.8,9.5,2.3333333333333335
34,Deportes Temuco,Everton de Viña del Mar,0,1,,,8,20,6,0,6,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,382,,,,,,,,,,,,,,,,,,,1.2727272727272727,0.6666666666666666,0.5
17,Curicó Unido,Santiago Wanderers,1,1,,,32,2,6,4,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,646,0,,,,,,,,,,,,,,,,,,,1.2,2.5,0.09090909090909091
2,Curico Unido,Universidad de Chile,0,1,,,12,8,4,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,112,,,,,,,,,,,,,,,,,,,2.3333333333333335,0.7777777777777778,1.5
9,Palestino,Curicó Unido,2,1,,,10,16,2,4,0,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,450,,,,,,,,,,,,,,,,,,,2.75,4.666666666666667,1.7777777777777777
7,Colo-Colo,Antofagasta,0,0,,,22,6,2,0,10,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,138,,,,,,,,,,,,,,,,,,,1.8,2.8333333333333335,1.8
20,San Luis de Quillota,Universidad de Chile,2,0,,,2,10,0,2,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,146,,,,,,,,,,,,,,,,,,,4.75,0.3333333333333333,2.8333333333333335
24,Audax Italiano,Deportes Temuco,2,1,,,32,10,6,6,10,0,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,408,138,,,,,,,,,,,,,,,,,,,3.6666666666666665,7.0,1.0
6,Deportes Temuco,O'Higgins,2,0,,,14,4,6,0,10,2,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144,352,,,,,,,,,,,,,,,,,,,0.5454545454545454,1.0909090909090908,2.25
1,Deportes Iquique,Everton de Viña del Mar,0,1,,,6,4,0,2,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,206,,,,,,,,,,,,,,,,,,,0.0,1.4444444444444444,2.2857142857142856
28,1,2,1,2,,,8,2,6,4,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,4,,,,,,,,,,,,,,,,,,,0,0,0
31,Universidad de Chile,Huachipato,3,2,,,14,2,4,4,2,2,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,310,,,,,,,,,,,,,,,,,,,1.3636363636363635,2.25,1.625
11,Unión Española,Universidad Católica,1,0,,,22,22,0,4,4,8,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240,8,,,,,,,,,,,,,,,,,,,3.5,1.6666666666666667,3.6666666666666665
12,Everton de Viña del Mar,San Luis de Quillota,4,0,,,14,6,2,0,4,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344,100,,,,,,,,,,,,,,,,,,,0.0,0.875,0.8181818181818182
22,Audax Italiano,Deportes Iquique,1,3,,,14,26,4,10,6,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364,468,,,,,,,,,,,,,,,,,,,0.0,3.1666666666666665,1.5714285714285714
10,Universidad de Concepcion,Santiago Wanderers,2,2,,,0,10,0,4,4,12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,302,,,,,,,,,,,,,,,,,,,9.5,4.75,8.5
50,Universidad de Chile,Everton de Viña del Mar,2,2,,,0,14,4,6,10,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,572,94,,,,,,,,,,,,,,,,,,,1.0,3.5,2.1666666666666665
25,Santiago Wanderers,Universidad Católica,1,1,,,18,18,2,4,6,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,558,382,,,,,,,,,,,,,,,,,,,1.4,0.4,1.2222222222222223
23,Palestino,Colo-Colo,1,1,,,0,18,2,4,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,162,,,,,,,,,,,,,,,,,,,1.7142857142857142,1.0,0.2
21,Universidad de Concepcion,Antofagasta,0,0,,,6,30,0,0,2,16,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,378,182,,,,,,,,,,,,,,,,,,,3.0,2.6666666666666665,1.3333333333333333
14,Huachipato,Audax Italiano,2,1,,,12,0,0,0,0,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,420,218,,,,,,,,,,,,,,,,,,,0.5714285714285714,2.8,0.0
59,Huachipato,Santiago Wanderers,1,0,,,18,4,10,6,2,6,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238,296,,,,,,,,,,,,,,,,,,,3.8,0.6,1.1428571428571428
5,Santiago Wanderers,Unión Española,0,0,,,6,24,6,2,0,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570,240,,,,,,,,,,,,,,,,,,,3.0,0.3333333333333333,2.5714285714285716
33,Palestino,San Luis de Quillota,1,3,,,16,0,2,0,20,0,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,158,,,,,,,,,,,,,,,,,,,2.0,0.0,0.16666666666666666
49,Antofagasta,Unión Española,0,0,,,18,0,6,0,4,8,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,710,226,,,,,,,,,,,,,,,,,,,2.8,2.5,1.25
52,O'Higgins,Palestino,2,1,,,14,22,8,6,4,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374,420,,,,,,,,,,,,,,,,,,,0.5714285714285714,0.8571428571428571,0.6363636363636364
15,Antofagasta,Deportes Iquique,0,0,,,8,6,0,2,6,0,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,414,12,32,12,2,12,2,,,,,,,,,18,2,,,1.7,1.3333333333333333,2.8333333333333335
18,Deportes Temuco,Huachipato,0,0,,,22,16,0,0,4,2,6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354,116,,,,,,,,,,,,,,,,,,,4.75,0.3333333333333333,0.2
58,Deportes Iquique,Universidad de Concepción,0,4,,,4,8,4,0,8,8,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,366,90,,,,,,,,,,,,,,,,,,,1.3,4.75,0.4
37,Colo-Colo,Universidad de Chile,4,1,,,2,8,6,0,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,430,,,,,,,,,,,,,,,,,,,3.2,1.1111111111111112,9.5
53,Deportes Temuco,Universidad Católica,1,0,,,0,2,2,10,2,4,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330,300,,,,,,,,,,,,,,,,,,,2.8333333333333335,2.6,1.0
60,San Luis de Quillota,O'Higgins,2,1,,,2,16,2,4,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,200,,,,,,,,,,,,,,,,,,,0.0,0.42857142857142855,1.25
40,Unión Española,Universidad de Concepción,1,0,,,8,10,0,0,4,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,294,130,,,,,,,,,,,,,,,,,,,1.2222222222222223,0.5,0.1
