number_of_match,team_home,team_away,home_score,away_score,posession_home,posession_away,total_shots_home,total_shots_away,shots_on_target_home,shots_on_target_away,shots_off_target_home,shots_off_target_away,blocked_shots_home,blocked_shots_away,corner_kicks_home,corner_kicks_away,offsides_home,offsides_away,fouls_home,fouls_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,free_kicks_home,free_kicks_away,throw_ins_home,throw_ins_away,goal_kicks_home,goal_kicks_away,big_chances_home,big_chances_away,big_chances_missed_home,big_chances_missed_away,hit_woodwork_home,hit_woodwork_away,counter_attacks_home,counter_attacks_away,counter_attacks_shots_home,counter_attacks_shots_away,shots_inside_box_home,shots_inside_box_away,shots_outside_box_home,shots_outside_box_away,goalkeeper_saves_home,goalkeeper_saves_away,passes_home,passes_away,accurate_passes_home,accurate_passes_away,long_balls_home,long_balls_away,crosses_home,crosses_away,dribbles_home,dribbles_away,possesion_lost_home,possesion_lost_away,duels_won_home,duels_won_away,aerials_won_home,aerials_won_away,tackles_home,tackles_away,interceptions_home,interceptions_away,clearences_home,clearences_away
34,Inter,Milan,1,2,55,45,18,11,6,4,6,6,6,1,3,5,2,2,18,11,3,3,0,0,11,18,,,7,7,4,4,3,2,,,1,0,,,15,8,3,3,2,4,446,363,365,277,30,24,7,4,12,11,,,49,68,16,26,11,14,14,18,,
19,Bologna,Parma,4,1,58,42,12,9,8,3,3,5,1,1,8,9,2,0,12,9,1,2,0,1,9,12,,,7,6,4,2,2,1,,,,,,,9,6,3,3,2,4,516,363,448,286,24,18,3,2,14,11,,,56,56,9,15,24,20,12,9,,
26,Lazio,Inter,1,1,40,60,12,12,4,3,6,6,2,3,7,8,,,14,13,3,4,1,1,13,14,,,9,8,2,0,1,0,0,1,1,0,,,10,7,2,5,2,3,401,597,330,522,22,39,6,6,7,13,,,49,50,13,8,16,15,15,10,,
39,Torino,Cagliari,2,3,59,41,13,12,6,5,5,5,2,2,2,4,1,4,14,16,2,3,1,0,16,13,,,5,7,1,2,,,,,0,1,,,9,8,4,4,2,4,519,356,467,295,34,33,7,2,8,6,,,49,48,13,16,12,13,11,4,,
21,Sassuolo,Crotone,4,1,55,45,7,15,4,6,2,5,1,4,3,4,2,3,15,15,2,3,0,0,13,15,,,7,4,2,1,,,0,1,3,0,,,6,10,1,5,5,0,481,387,397,308,29,19,3,5,6,8,,,49,47,6,10,24,14,14,8,,
16,Crotone,Milan,0,2,47,53,5,16,0,6,5,6,0,4,2,5,3,3,14,15,1,3,0,0,15,14,,,9,9,0,2,,,0,2,0,2,,,4,11,1,5,4,0,424,486,343,397,30,32,4,5,7,10,,,50,59,14,13,15,23,11,7,,
4,Sassuolo,Cagliari,1,1,68,32,33,8,9,4,13,4,11,0,7,3,2,2,9,18,1,3,0,0,18,8,,,5,16,2,1,2,0,,,,,,,14,5,19,3,3,8,659,313,602,257,25,26,3,3,12,7,,,58,43,9,11,19,17,7,11,,
11,Cagliari,Lazio,0,2,45,55,9,16,2,6,6,4,1,6,3,6,2,2,8,13,1,1,0,0,12,8,,,5,10,1,2,1,1,,,0,1,,,4,10,5,6,4,2,412,514,340,435,20,49,3,3,6,9,,,48,41,11,11,20,13,11,12,,
12,Sampdoria,Benevento,2,3,41,59,9,14,3,5,4,6,2,3,6,4,4,1,17,12,3,1,0,0,10,17,,,10,6,2,0,,,1,0,1,1,,,7,8,2,6,2,1,326,493,229,403,24,35,5,6,6,1,,,41,44,16,18,9,10,16,8,,
1,Hellas Verona,Roma,3,0,40,60,8,21,3,4,3,10,2,7,0,6,3,2,19,20,2,0,0,0,19,18,,,9,5,1,3,1,3,2,1,1,1,,,6,9,2,12,4,3,351,520,237,400,26,28,1,3,11,15,,,58,69,18,24,11,12,17,8,,
54,Inter,Parma,2,2,69,31,25,5,9,3,10,1,6,1,15,2,3,2,13,7,1,1,0,0,7,13,,,1,16,6,2,5,0,,,0,1,,,13,3,12,2,1,7,594,279,524,189,30,27,11,0,8,7,,,45,64,20,20,11,24,16,11,,
58,Torino,Lazio,3,4,45,55,11,12,4,5,3,4,4,3,7,1,2,3,11,11,2,4,0,0,11,9,,,10,5,5,2,2,1,1,0,,,,,7,9,4,3,0,1,445,540,383,473,30,27,3,4,11,3,,,45,48,12,11,11,26,8,16,,
7,Benevento,Inter,2,5,34,66,11,18,5,8,6,8,0,2,5,1,1,3,10,15,1,0,0,0,15,10,,,8,8,3,7,2,4,1,2,1,1,,,9,13,2,5,3,3,330,676,262,614,23,32,3,4,5,5,,,39,30,7,8,12,7,14,12,,
